DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs SD,L 10-2,5.1,8,6,4,0,0,9,6,9,94,24,39,L(6-8),-,4.69
Jul 12,@ BAL,W 5-4,6.2,5,3,3,1,1,7,12,6,102,26,58,W(6-7),-,4.58
Jul 6,@ PIT,W 17-5,2.2,5,3,1,0,2,2,9,2,74,16,40,-,-,4.62
Jul 1,vs WSH,W 4-3,1.0,0,0,0,0,1,1,1,1,19,4,-,W(5-7),-,4.66
Jun 29,vs WSH,L 17-7,1.2,7,7,7,3,2,2,4,6,58,14,13,L(4-7),-,4.71
Jun 24,@ WSH,L 8-6,5.0,8,2,2,1,2,7,10,5,87,24,48,-,-,4.06
Jun 18,vs STL,W 6-5,7.1,4,2,2,2,1,13,5,9,108,28,74,-,-,4.08
Jun 13,vs COL,L 7-2,5.0,8,6,6,1,3,5,8,9,91,25,29,L(4-6),-,4.25
Jun 7,@ CHC,L 4-3,5.0,6,4,4,1,1,6,7,7,86,22,44,L(4-5),-,3.76
Jun 1,@ SF,L 4-0,4.0,5,3,3,0,3,3,8,6,91,21,40,L(4-4),-,3.48
May 27,vs TOR,L 5-3,5.0,4,2,2,0,2,7,4,6,86,19,56,L(4-3),-,3.26
May 21,vs ATL,W 3-0,7.0,4,0,0,0,1,7,7,11,107,26,75,W(4-2),-,3.23
May 16,@ BAL,W 4-1,7.0,2,1,1,1,1,11,2,10,99,24,79,W(3-2),-,3.72
May 9,vs SF,W 11-3,5.0,4,0,0,0,0,7,5,7,96,19,66,W(2-2),-,4.15
May 4,@ WSH,L 7-3,1.0,5,6,6,2,3,1,2,5,46,11,-,L(1-2),-,4.76
Apr 28,vs ATL,L 4-1,5.0,6,4,4,1,3,6,8,7,82,24,42,L(1-1),-,3.27
Apr 22,vs PIT,W 3-2,6.1,5,2,2,1,2,7,6,9,93,24,60,-,-,2.57
Apr 17,@ ATL,W 5-1,5.0,5,1,1,0,0,2,9,9,98,21,-,-,-,2.49
Apr 11,vs CIN,W 4-3,7.0,5,2,2,0,0,7,11,8,103,26,-,-,-,2.70
Apr 5,vs MIA,W 5-0,5.2,4,0,0,0,0,9,5,7,97,21,-,W(1-0),-,2.79
Mar 30,@ ATL,W 5-4,4.0,5,3,3,0,2,3,5,7,73,18,-,-,-,6.75
