DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ARI,L 8-2,Did not play
Mar 30,@ ARI,L 9-8,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,@ ARI,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 2,@ SD,W 7-4,Did not play
Apr 3,@ SD,L 8-4,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 4,@ SD,W 5-2,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Apr 5,@ SD,W 3-1,2,0,0,0,0,0,0,1,0,0,0,.100,.000,.100,.000
Apr 6,vs ATL,L 8-3,1,0,0,0,0,0,0,0,1,0,0,.091,.000,.091,.000
Apr 7,vs ATL,W 3-2,1,0,0,0,0,0,0,0,1,0,0,.083,.000,.083,.000
Apr 8,vs ATL,L 4-0,3,0,1,1,0,0,0,0,1,0,0,.133,.143,.276,.071
Apr 9,vs SD,L 7-6,4,0,0,0,0,0,0,0,0,0,0,.105,.111,.216,.056
Apr 10,vs SD,L 5-2,3,0,0,0,0,0,0,0,0,0,0,.091,.095,.186,.048
Apr 11,vs SD,W 6-4,3,0,1,0,0,0,1,0,1,0,0,.120,.125,.245,.083
Apr 12,@ WSH,W 5-1,4,0,0,0,0,0,0,0,1,0,0,.103,.107,.210,.071
Apr 13,@ WSH,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.100,.103,.203,.069
Apr 14,@ WSH,L 6-2,1,0,0,0,0,0,0,0,0,0,0,.097,.100,.197,.067
Apr 15,@ WSH,W 6-5,1,0,0,0,0,0,0,0,0,0,0,.094,.097,.191,.065
Apr 16,@ PIT,W 6-2,3,0,0,0,0,0,0,1,0,0,0,.111,.088,.199,.059
Apr 17,@ PIT,W 2-0,Did not play
Apr 18,@ PIT,L 10-2,1,0,0,0,0,0,0,0,1,0,0,.108,.086,.194,.057
Apr 20,vs CHC,L 16-5,1,0,1,1,0,0,0,0,0,0,0,.132,.139,.271,.083
Apr 21,vs CHC,W 5-2,1,0,0,0,0,0,0,0,0,0,0,.128,.135,.263,.081
Apr 22,vs CHC,L 9-7,1,0,0,0,0,0,0,0,1,0,0,.125,.132,.257,.079
Apr 23,vs SD,L 13-5,2,0,1,0,0,0,0,0,0,0,0,.143,.150,.293,.100
Apr 24,vs SD,W 8-0,Did not play
Apr 25,vs SD,W 5-2,1,0,0,0,0,0,0,0,0,0,0,.140,.146,.286,.098
Apr 27,@ MIA,W 1-0,2,0,0,0,0,0,0,0,1,0,0,.133,.140,.273,.093
Apr 28,@ MIA,L 4-1,4,0,1,1,0,0,0,0,1,0,0,.143,.170,.313,.106
Apr 29,@ MIA,L 3-0,3,0,0,0,0,0,0,0,2,0,0,.135,.160,.295,.100
Apr 30,@ CHC,L 3-2,2,1,0,0,0,0,0,1,0,0,0,.145,.154,.299,.096
May 1,@ CHC,W 3-1,Did not play
May 2,@ CHC,W 11-2,3,1,0,0,0,0,0,2,1,0,0,.167,.145,.312,.091
May 4,@ NYM,W 8-7,Did not play
May 5,@ NYM,W 2-0,3,0,1,0,0,0,0,0,1,0,0,.175,.155,.330,.103
May 6,@ NYM,W 3-2,Did not play
May 14,@ SD,W 6-4,1,0,1,0,0,0,0,0,0,0,0,.188,.169,.357,.119
May 15,@ SD,L 4-0,2,0,0,0,0,0,0,1,0,0,0,.194,.164,.358,.115
May 17,@ SF,W 5-3,1,0,0,0,0,0,0,0,1,0,0,.191,.161,.352,.113
May 18,@ SF,W 6-1,Did not play
May 19,@ SF,L 9-4,2,0,0,0,0,0,0,0,1,0,0,.186,.156,.342,.109
May 20,@ SF,L 9-5,4,0,2,1,0,0,0,0,1,0,0,.203,.191,.394,.132
May 21,@ LAD,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.195,.183,.378,.127
May 22,@ LAD,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.192,.181,.373,.125
May 23,@ LAD,L 3-0,0,0,0,0,0,0,0,0,0,0,0,.192,.181,.373,.125
May 25,vs CIN,W 5-4,3,0,0,0,0,0,0,0,0,0,0,.185,.173,.358,.120
Jun 23,vs MIA,L 6-2,Did not play
Jun 24,vs MIA,L 8-5,Did not play
Jun 26,@ SF,L 3-2,Did not play
Jun 27,@ SF,L 1-0,Did not play
Jun 28,@ SF,W 9-8,0,1,0,0,0,0,0,0,0,0,0,.185,.173,.358,.120
Jun 29,@ LAD,W 3-1,3,1,1,0,0,1,1,0,1,0,0,.190,.218,.408,.128
Jun 30,@ LAD,W 3-1,Did not play
Jul 1,@ LAD,L 6-4,1,0,0,0,0,0,0,0,0,0,0,.188,.215,.403,.127
Jul 2,vs SF,W 5-2,1,1,1,0,0,0,0,0,0,0,0,.198,.225,.423,.138
Jul 3,vs SF,W 8-1,Did not play
Jul 4,vs SF,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.191,.217,.408,.133
Jul 6,@ SEA,W 7-1,Did not play
Jul 7,@ SEA,W 5-1,3,1,2,0,0,0,0,1,0,0,0,.215,.233,.448,.151
Jul 8,@ SEA,L 6-4,Did not play
Jul 10,vs ARI,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.213,.230,.443,.149
Jul 11,vs ARI,W 19-2,2,0,0,0,0,0,0,0,0,0,0,.208,.225,.433,.146
Jul 12,vs ARI,W 5-1,Did not play
Jul 13,vs SEA,W 10-7,Did not play
Jul 14,vs SEA,W 4-1,3,0,0,0,0,0,0,1,2,0,0,.210,.217,.427,.141
Jul 15,vs SEA,W 4-3,Did not play
Jul 20,@ ARI,W 11-10,3,0,0,0,0,0,0,1,1,0,0,.212,.211,.423,.137
Jul 21,@ ARI,W 6-5,Did not play
Jul 22,@ ARI,L 6-1,Did not play
Jul 24,vs HOU,L 8-2,Did not play
