DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 10,@ TOR,L 13-3,1.0,4,4,4,2,2,1,2,4,31,9,-,-,-,7.71
Jun 2,vs NYY,L 8-5,1.0,1,0,0,0,0,0,2,2,13,4,-,-,-,6.67
May 27,@ TB,L 8-3,1.2,1,1,1,1,3,0,3,3,47,9,-,-,-,6.92
May 23,@ CHW,L 11-1,1.1,2,3,3,1,2,0,3,2,31,7,-,-,-,7.03
May 20,@ BOS,L 5-0,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,6.26
May 17,@ BOS,L 6-2,1.0,1,0,0,0,0,0,2,2,15,4,-,-,-,6.55
May 12,vs TB,L 10-3,0.2,1,2,2,0,3,0,1,2,29,7,-,-,-,6.86
May 8,vs KC,L 15-7,2.1,4,3,3,1,1,3,2,5,52,11,-,-,-,6.20
May 5,@ OAK,L 2-0,0.1,2,2,2,1,0,0,0,3,13,3,-,L(1-3),-,5.50
May 2,@ LAA,L 10-7,2.0,1,1,1,1,1,2,2,3,34,8,-,-,-,4.58
Apr 28,vs DET,L 9-5,2.2,3,1,1,0,0,3,3,5,38,11,-,-,-,4.60
Apr 25,vs TB,L 8-4,2.0,0,0,0,0,1,1,1,3,16,6,-,-,-,4.85
Apr 19,@ DET,L 13-8,1.1,3,1,1,0,0,2,0,5,25,7,-,-,-,5.73
Apr 18,@ DET,L 6-5,0.0,1,1,1,1,0,0,0,1,2,1,-,L(1-2),-,INF
Apr 13,@ BOS,L 7-3,2.0,1,0,0,0,1,3,1,3,34,8,-,-,-,4.66
Apr 8,@ NYY,W 8-7,2.1,1,0,0,0,0,5,1,2,34,8,-,-,-,5.87
Apr 6,@ NYY,W 7-3,2.0,0,0,0,0,1,1,0,5,26,7,-,W(1-1),-,8.44
Apr 3,@ HOU,L 10-6,0.2,1,4,4,0,2,2,0,1,26,6,-,L(0-1),-,13.50
Apr 1,vs MIN,L 7-0,1.2,2,1,1,1,1,2,4,1,36,8,-,-,-,3.38
Mar 31,vs MIN,L 6-2,1.0,0,0,0,0,0,1,2,0,11,3,-,-,-,0.00
