DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TB,L 6-4,4,0,1,1,0,0,2,0,0,0,0,.250,.500,.750,.250
Mar 30,@ TB,W 1-0,4,0,1,0,0,0,1,0,1,0,0,.250,.375,.625,.250
Mar 31,@ TB,W 3-2,Did not play
Apr 1,@ TB,W 2-1,4,0,1,0,0,0,1,1,1,0,0,.308,.333,.641,.250
Apr 2,@ MIA,W 7-3,5,0,2,1,0,0,1,0,2,0,1,.333,.412,.745,.294
Apr 3,@ MIA,W 4-2,5,0,2,1,0,0,0,0,0,0,0,.348,.455,.803,.318
Apr 5,vs TB,W 3-2,3,0,0,0,0,0,0,2,1,0,0,.357,.400,.757,.280
Apr 7,vs TB,W 10-3,3,1,2,0,0,1,2,1,0,0,0,.406,.536,.942,.321
Apr 8,vs TB,W 8-7,3,1,1,1,0,0,2,1,1,0,0,.417,.548,.965,.323
Apr 10,vs NYY,W 14-1,3,0,0,0,0,0,1,1,2,0,0,.390,.500,.890,.294
Apr 11,vs NYY,L 10-7,5,0,0,0,0,0,0,0,2,0,0,.348,.436,.784,.256
Apr 12,vs NYY,W 6-3,4,0,0,0,0,0,0,0,1,0,0,.320,.395,.715,.233
Apr 13,vs BAL,W 7-3,5,2,3,1,0,0,0,0,1,0,0,.345,.438,.783,.271
Apr 14,vs BAL,W 10-3,5,0,0,0,0,0,0,0,0,0,0,.317,.396,.713,.245
Apr 15,vs BAL,W 3-1,3,0,1,0,0,0,0,1,2,0,0,.328,.393,.721,.250
Apr 17,@ LAA,W 10-1,5,1,2,0,0,1,1,0,1,0,0,.333,.443,.776,.262
Apr 18,@ LAA,W 9-0,5,1,2,1,0,1,4,0,2,0,0,.338,.500,.838,.273
Apr 19,@ LAA,W 8-2,4,0,3,0,0,0,2,1,0,0,0,.367,.514,.881,.300
Apr 20,@ OAK,W 7-3,4,1,1,0,0,0,0,0,0,0,0,.361,.500,.861,.297
Apr 21,@ OAK,L 3-0,3,0,0,0,0,0,0,0,2,0,0,.349,.481,.830,.286
Apr 22,@ OAK,L 4-1,4,1,1,0,0,0,0,0,2,0,0,.344,.469,.813,.284
Apr 24,@ TOR,L 4-3,4,1,1,0,0,0,0,0,0,0,0,.340,.459,.799,.282
Apr 25,@ TOR,W 4-3,5,0,0,0,0,0,0,0,3,0,0,.323,.433,.756,.267
Apr 26,@ TOR,W 5-4,2,0,0,0,0,0,1,1,2,1,0,.320,.424,.744,.261
Apr 27,vs TB,L 4-3,0,0,0,0,0,0,0,0,0,0,0,.320,.424,.744,.261
Apr 28,vs TB,L 12-6,5,1,3,0,0,1,2,0,2,0,0,.333,.464,.797,.278
Apr 29,vs TB,W 4-3,4,0,0,0,0,0,0,0,2,0,0,.321,.446,.767,.267
Apr 30,vs KC,W 10-6,4,1,0,0,0,0,1,0,2,0,0,.310,.429,.739,.257
May 1,vs KC,L 7-6,5,2,2,2,0,0,0,1,1,0,0,.320,.445,.765,.264
May 2,vs KC,W 5-4,4,0,1,0,0,0,0,0,0,0,0,.317,.439,.756,.263
May 3,@ TEX,L 11-5,5,1,1,0,0,0,0,0,1,0,0,.313,.429,.742,.261
May 4,@ TEX,W 5-1,4,2,3,0,0,2,2,0,1,0,0,.326,.488,.814,.276
May 5,@ TEX,W 6-5,4,0,0,0,0,0,0,0,1,0,0,.317,.472,.789,.268
May 6,@ TEX,W 6-1,4,0,0,0,0,0,0,0,1,0,0,.308,.458,.766,.260
May 8,@ NYY,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.299,.444,.743,.252
May 9,@ NYY,L 9-6,4,0,2,0,0,0,0,0,2,0,0,.305,.446,.751,.259
May 10,@ NYY,W 5-4,4,0,1,0,0,0,0,0,1,0,0,.303,.441,.744,.259
May 11,@ TOR,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.301,.438,.739,.257
May 12,@ TOR,W 5-2,4,0,2,0,0,0,1,0,2,0,0,.306,.439,.745,.264
May 13,@ TOR,W 5-3,4,0,0,0,0,0,0,0,1,0,0,.299,.428,.727,.257
May 14,vs OAK,L 6-5,4,1,1,0,0,1,1,0,1,0,0,.298,.442,.740,.256
May 15,vs OAK,L 5-3,4,1,0,0,0,0,0,0,2,0,0,.291,.431,.722,.250
May 16,vs OAK,W 6-4,3,0,0,0,0,0,0,0,0,0,0,.286,.423,.709,.245
May 17,vs BAL,W 6-2,3,0,0,0,0,0,0,1,0,0,0,.285,.416,.701,.241
May 18,vs BAL,L 7-4,3,0,1,0,0,0,0,1,0,0,0,.290,.414,.704,.243
May 19,vs BAL,W 6-3,4,1,1,0,0,1,1,0,0,0,0,.289,.428,.717,.243
May 20,vs BAL,W 5-0,4,0,0,0,0,0,0,1,1,0,0,.286,.418,.704,.237
May 22,@ TB,W 4-2,3,1,1,0,0,1,1,1,0,0,0,.291,.433,.724,.239
May 23,@ TB,W 4-1,3,1,0,0,0,0,0,1,1,0,0,.290,.426,.716,.235
