DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jun 30,@ LAD,W 3-1,Did not play
Jul 1,@ LAD,L 6-4,3,0,0,0,0,0,0,1,2,0,0,.250,.000,.250,.000
Jul 2,vs SF,W 5-2,0,0,0,0,0,0,0,0,0,0,0,.250,.000,.250,.000
Jul 3,vs SF,W 8-1,1,0,0,0,0,0,0,0,0,0,0,.200,.000,.200,.000
Jul 4,vs SF,W 1-0,Did not play
Jul 6,@ SEA,W 7-1,3,2,1,1,0,0,0,1,0,0,0,.333,.286,.619,.143
Jul 7,@ SEA,W 5-1,Did not play
Jul 8,@ SEA,L 6-4,1,0,0,0,0,0,0,0,1,0,0,.300,.250,.550,.125
Jul 10,vs ARI,L 5-3,Did not play
Jul 11,vs ARI,W 19-2,2,0,1,1,0,0,0,0,0,0,0,.333,.400,.733,.200
Jul 12,vs ARI,W 5-1,1,0,1,0,0,0,1,0,0,0,0,.385,.455,.840,.273
Jul 13,vs SEA,W 10-7,1,0,0,0,0,0,0,0,0,0,0,.357,.417,.774,.250
Jul 14,vs SEA,W 4-1,Did not play
Jul 15,vs SEA,W 4-3,1,0,0,0,0,0,0,0,0,0,0,.333,.385,.718,.231
Jul 20,@ ARI,W 11-10,1,1,1,0,0,1,4,0,0,0,0,.375,.643,1.018,.286
Jul 21,@ ARI,W 6-5,1,0,0,0,0,0,0,0,0,0,0,.353,.600,.953,.267
Jul 22,@ ARI,L 6-1,1,0,0,0,0,0,0,0,1,0,0,.333,.563,.896,.250
Jul 24,vs HOU,L 8-2,1,0,0,0,0,0,0,0,1,0,0,.316,.529,.845,.235
