DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ SEA,W 4-3,0.1,1,0,0,0,1,0,1,1,14,3,-,-,BlSv(3),1.80
Jul 21,@ OAK,L 4-3,2.0,0,0,0,0,1,1,2,2,21,6,-,-,-,1.81
Jul 20,@ OAK,W 5-1,0.2,0,0,0,0,0,0,1,1,5,2,-,-,H(8),1.90
Jul 15,vs OAK,L 6-2,1.0,1,1,1,1,1,1,1,1,17,4,-,-,-,1.93
Jul 13,vs OAK,W 7-1,1.0,0,0,0,0,0,1,1,1,13,3,-,-,H(7),1.76
Jul 11,vs CHC,W 5-4,0.1,0,0,0,0,1,0,1,0,11,2,-,-,H(6),1.80
Jul 9,vs CHC,W 2-1,1.0,0,0,0,0,1,2,1,0,16,4,-,-,-,1.82
Jul 8,vs STL,W 13-8,0.2,0,0,0,0,0,2,0,0,11,2,-,-,H(5),1.86
Jul 6,vs STL,W 3-2,0.1,0,0,0,0,0,1,0,0,6,1,-,W(5-1),-,1.89
Jul 2,@ COL,L 5-2,1.0,0,0,0,0,1,1,2,0,22,4,-,-,BlSv(2),1.91
Jun 29,@ ARI,W 2-1,1.0,0,0,0,0,0,0,3,0,8,3,-,-,H(4),1.96
Jun 27,vs COL,W 1-0,0.2,0,0,0,0,0,0,1,1,6,2,-,W(4-1),-,2.02
Jun 26,vs COL,W 3-2,0.1,0,0,0,0,0,1,0,0,5,1,-,-,-,2.06
Jun 24,vs SD,W 3-2,0.2,0,1,1,0,1,1,1,0,16,3,-,-,-,2.08
Jun 23,vs SD,W 5-3,1.0,0,0,0,0,1,1,0,2,13,4,-,W(3-1),-,1.85
Jun 20,vs MIA,W 6-5,0.1,0,0,0,0,0,1,0,0,4,1,-,-,Sv(1),1.91
Jun 16,@ LAD,L 3-1,2.0,1,0,0,0,0,3,1,2,22,6,-,-,-,1.93
Jun 13,@ MIA,L 5-4,0.0,1,1,1,0,1,0,0,1,7,2,-,L(2-1),-,INF
Jun 11,@ MIA,L 7-5,1.0,0,1,1,0,1,1,0,1,16,3,-,-,-,1.76
Jun 9,@ WSH,L 7-5,1.0,0,0,0,0,0,1,0,2,16,3,-,-,-,1.52
Jun 8,@ WSH,W 9-5,0.2,0,0,0,0,0,0,0,2,6,2,-,W(2-0),-,1.57
Jun 6,vs ARI,W 5-4,1.0,2,1,1,0,1,2,1,1,22,5,-,-,-,1.61
Jun 4,vs ARI,W 10-3,1.0,0,0,0,0,0,2,0,1,12,3,-,-,-,1.33
Jun 3,vs PHI,W 6-1,1.0,0,0,0,0,0,1,1,1,7,3,-,-,-,1.38
May 30,@ COL,W 7-4,1.0,0,0,0,0,0,1,2,0,7,3,-,-,H(3),1.44
May 28,@ COL,L 6-5,0.1,0,0,0,0,0,1,1,0,8,2,-,-,H(2),1.50
May 27,@ CHC,L 8-3,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,1.52
May 26,@ CHC,W 5-4,1.0,0,0,0,0,0,0,2,1,15,3,-,-,H(1),1.59
May 22,@ HOU,L 11-2,0.2,2,1,1,0,0,2,2,0,19,4,-,-,-,1.66
May 18,vs COL,L 6-1,2.0,1,0,0,0,1,2,4,1,34,8,-,-,-,1.29
May 13,@ PIT,W 5-0,0.2,2,0,0,0,0,2,1,1,16,4,-,-,-,1.42
May 11,@ PIT,L 11-2,0.2,1,0,0,0,0,1,0,2,19,3,-,-,-,1.47
May 10,@ PHI,L 6-3,1.0,0,0,0,0,0,2,0,1,12,3,-,-,-,1.53
May 7,@ PHI,L 11-0,1.0,1,0,0,0,0,1,1,2,16,4,-,-,-,1.62
May 5,@ ATL,W 11-2,0.0,0,0,0,0,2,0,0,0,8,2,-,-,-,1.72
Apr 30,vs SD,W 6-5,1.2,3,3,1,0,1,0,5,4,44,10,-,-,BlSv(1),1.72
Apr 28,vs LAD,W 8-3,0.0,1,1,1,0,2,0,1,0,15,3,-,-,-,INF
Apr 24,vs WSH,W 4-3,2.0,1,0,0,0,0,2,3,1,20,6,-,W(1-0),-,0.64
Apr 22,@ LAA,W 4-2,1.0,0,0,0,0,1,1,1,1,21,4,-,-,-,0.75
Apr 20,@ LAA,W 8-1,2.0,0,0,0,0,0,1,2,3,26,6,-,-,-,0.82
Apr 19,@ ARI,L 3-1,1.0,1,1,1,1,0,0,0,4,13,4,-,-,-,1.00
Apr 15,@ SD,L 10-1,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,0.00
Apr 14,@ SD,L 5-4,1.0,0,0,0,0,1,1,1,1,18,4,-,-,-,0.00
Apr 10,vs ARI,W 5-4,2.0,0,0,0,0,1,3,0,3,31,7,-,-,-,0.00
Apr 7,vs LAD,W 7-5,2.0,1,0,0,0,3,4,0,3,39,10,-,-,-,0.00
Apr 3,vs SEA,L 6-4,0.2,0,0,0,0,2,1,0,1,19,4,-,-,-,0.00
Apr 1,@ LAD,L 9-0,1.0,1,0,0,0,0,1,1,2,18,4,-,-,-,0.00
Mar 31,@ LAD,L 5-0,1.0,0,0,0,0,0,0,1,2,11,3,-,-,-,0.00
