DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ATL,L 8-5,3,1,2,2,0,0,1,0,0,1,0,.750,1.333,2.083,.667
Mar 30,@ ATL,W 5-4,5,1,2,0,0,1,1,0,1,0,0,.556,1.125,1.681,.500
Mar 31,@ ATL,L 15-2,2,0,1,0,0,0,1,1,0,0,0,.583,1.000,1.583,.500
Apr 3,@ NYM,L 2-0,4,0,1,0,0,0,0,0,2,0,0,.500,.786,1.286,.429
Apr 4,@ NYM,L 4-2,3,0,2,1,0,0,0,1,1,1,0,.550,.824,1.374,.471
Apr 5,vs MIA,W 5-0,3,1,0,0,0,0,0,1,2,0,0,.500,.700,1.200,.400
Apr 7,vs MIA,W 20-1,3,3,2,1,0,0,3,2,1,0,0,.533,.739,1.272,.435
Apr 8,vs MIA,L 6-3,2,0,1,1,0,0,1,2,0,0,1,.559,.760,1.319,.440
Apr 9,vs CIN,W 6-5,3,1,1,0,0,1,2,1,0,0,0,.553,.821,1.374,.429
Apr 10,vs CIN,W 6-1,4,0,0,0,0,0,0,0,3,0,0,.500,.719,1.219,.375
Apr 11,vs CIN,W 4-3,1,0,0,0,0,0,0,0,1,0,0,.488,.697,1.185,.364
Apr 13,@ TB,W 2-1,3,0,0,0,0,0,0,1,1,0,0,.468,.639,1.107,.333
Apr 14,@ TB,W 9-4,5,1,1,0,0,0,1,0,0,0,0,.442,.585,1.027,.317
Apr 15,@ TB,W 10-4,2,2,1,0,0,0,1,2,0,1,0,.474,.581,1.055,.326
Apr 16,@ ATL,L 2-1,1,0,1,1,0,0,0,3,0,0,0,.508,.614,1.122,.341
Apr 17,@ ATL,W 5-1,5,1,1,1,0,0,2,0,3,0,0,.485,.592,1.077,.327
Apr 18,@ ATL,L 7-3,3,1,1,0,0,0,0,1,1,0,0,.486,.577,1.063,.327
Apr 19,vs PIT,W 7-0,3,1,1,0,0,1,1,1,2,0,0,.486,.618,1.104,.327
Apr 20,vs PIT,W 2-1,3,0,0,0,0,0,1,1,0,0,0,.474,.586,1.060,.310
Apr 21,vs PIT,W 6-2,3,2,2,0,0,1,4,1,0,0,0,.488,.639,1.127,.328
Apr 22,vs PIT,W 3-2,4,0,1,0,0,0,0,1,3,0,1,.483,.615,1.098,.323
Apr 24,vs ARI,L 8-4,2,1,1,0,0,0,0,2,1,0,0,.495,.612,1.107,.328
Apr 25,vs ARI,W 5-3,4,0,1,0,0,0,0,0,2,0,0,.484,.592,1.076,.324
Apr 26,vs ARI,L 8-2,3,0,2,1,0,0,0,1,0,0,0,.495,.608,1.103,.338
Apr 27,vs ATL,W 7-3,4,0,2,0,0,0,0,0,1,0,0,.495,.603,1.098,.346
Apr 28,vs ATL,L 4-1,3,0,0,0,0,0,0,1,1,0,0,.486,.580,1.066,.333
Apr 29,vs ATL,L 10-1,4,0,0,0,0,0,0,0,2,0,0,.468,.553,1.021,.318
Apr 30,@ MIA,L 8-4,4,0,0,0,0,0,0,1,1,0,0,.457,.528,.985,.303
May 1,@ MIA,L 2-1,4,0,1,1,0,0,1,1,2,0,0,.455,.527,.982,.301
May 2,@ MIA,W 6-0,5,1,1,0,0,0,0,0,4,0,0,.444,.510,.954,.296
May 4,@ WSH,L 7-3,4,0,0,0,0,0,0,0,0,0,0,.431,.490,.921,.284
May 5,@ WSH,W 3-1,3,1,1,0,0,1,2,2,1,0,0,.437,.514,.951,.286
May 6,@ WSH,L 5-4,5,1,1,1,0,0,1,0,3,0,0,.429,.509,.938,.282
May 7,vs SF,W 11-0,4,2,1,0,0,0,0,1,0,0,0,.428,.500,.928,.281
May 8,vs SF,W 4-2,3,0,0,0,0,0,0,1,2,0,0,.423,.487,.910,.274
May 9,vs SF,W 11-3,0,0,0,0,0,0,1,0,0,0,0,.420,.487,.907,.274
May 10,vs SF,W 6-3,4,1,1,0,0,0,1,0,3,0,0,.416,.479,.895,.273
May 11,vs NYM,L 3-1,2,0,0,0,0,0,0,1,1,0,0,.418,.472,.890,.268
May 13,vs NYM,W 4-2,4,0,1,1,0,0,0,0,2,0,0,.414,.472,.886,.268
May 16,@ BAL,W 4-1,5,0,1,1,0,0,1,0,1,0,0,.407,.470,.877,.265
May 17,@ STL,W 6-2,5,0,1,0,0,0,0,0,2,0,0,.401,.460,.861,.263
May 18,@ STL,L 12-4,3,1,0,0,0,0,0,1,1,0,0,.398,.450,.848,.257
May 19,@ STL,W 7-6,4,1,0,0,0,0,0,1,2,0,0,.392,.438,.830,.250
May 20,@ STL,L 5-1,4,1,1,0,0,1,1,0,0,0,0,.389,.453,.842,.250
May 21,vs ATL,W 3-0,4,0,0,0,0,0,0,0,1,0,0,.381,.441,.822,.243
May 22,vs ATL,L 3-1,4,0,0,0,0,0,0,0,2,0,0,.373,.429,.802,.237
May 23,vs ATL,W 4-0,3,1,1,0,0,0,0,1,0,0,0,.376,.428,.804,.239
May 25,vs TOR,L 6-5,4,0,1,1,0,0,1,1,1,0,0,.376,.429,.805,.239
May 26,vs TOR,W 2-1,4,0,1,0,0,0,0,0,0,0,0,.374,.425,.799,.240
May 27,vs TOR,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.367,.415,.782,.234
May 28,@ LAD,L 5-4,4,1,0,0,0,0,0,0,3,0,0,.360,.406,.766,.229
May 29,@ LAD,W 6-1,1,1,1,1,0,0,0,0,0,0,0,.363,.415,.778,.233
May 30,@ LAD,L 8-2,Did not play
May 31,@ LAD,W 2-1,Did not play
Jun 1,@ SF,L 4-0,Did not play
Jun 2,@ SF,L 2-0,Did not play
Jun 3,@ SF,L 6-1,Did not play
Jun 5,@ CHC,W 6-1,Did not play
Jun 6,@ CHC,L 7-5,Did not play
Jun 7,@ CHC,L 4-3,Did not play
Jun 8,vs MIL,L 12-4,Did not play
Jun 9,vs MIL,L 12-3,4,1,2,0,0,1,3,0,0,0,0,.365,.433,.798,.239
Jun 10,vs MIL,W 4-3,3,0,0,0,0,0,2,0,0,0,0,.359,.426,.785,.235
Jun 12,vs COL,W 5-4,2,1,0,0,0,0,0,2,1,0,0,.361,.422,.783,.232
Jun 13,vs COL,L 7-2,3,0,1,0,0,0,0,1,1,0,0,.364,.420,.784,.234
Jun 14,vs COL,W 9-3,5,2,3,1,0,1,3,0,2,0,0,.369,.446,.815,.244
Jun 15,@ MIL,L 13-2,4,0,0,0,0,0,0,0,0,0,0,.363,.437,.800,.239
Jun 16,@ MIL,W 4-1,4,1,3,1,0,1,1,1,1,0,0,.371,.463,.834,.249
Jun 17,@ MIL,W 10-9,5,1,1,0,0,1,2,0,1,0,0,.368,.471,.839,.248
Jun 18,vs STL,W 6-5,4,2,1,0,0,0,0,1,0,0,0,.369,.467,.836,.248
