DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ BAL,W 5-3,6.0,6,0,0,0,1,6,7,9,90,23,65,W(12-4),-,3.93
Jul 13,vs TOR,L 13-7,2.0,7,8,8,2,4,2,4,7,64,17,8,L(11-4),-,4.13
Jul 8,@ KC,W 7-4,7.0,9,3,3,0,1,9,6,15,111,31,55,W(11-3),-,3.58
Jul 2,@ WSH,W 4-3,6.0,7,2,2,2,2,5,10,9,92,26,53,W(10-3),-,3.57
Jun 27,vs LAA,W 9-6,5.2,8,4,4,2,2,5,9,11,104,27,-,-,-,3.60
Jun 21,@ MIN,W 9-2,7.0,1,0,0,0,1,5,4,13,97,24,79,W(9-3),-,3.44
Jun 15,@ SEA,L 7-6,6.0,7,4,4,1,1,9,9,7,100,26,-,-,-,3.70
Jun 10,vs CHW,L 5-2,6.0,5,3,2,0,3,5,8,11,105,28,-,L(8-3),-,3.54
Jun 3,@ HOU,W 9-3,6.1,5,3,2,1,2,5,8,12,88,29,56,W(8-2),-,3.59
May 29,vs TOR,W 8-3,6.2,5,3,2,1,2,5,9,10,96,28,57,W(7-2),-,3.65
May 24,@ TB,L 6-3,3.2,8,6,4,0,2,2,8,8,92,22,25,L(6-2),-,3.74
May 19,vs BAL,W 6-3,6.0,6,3,3,1,3,9,7,8,107,27,54,W(6-1),-,3.39
May 14,vs OAK,L 6-5,6.0,9,5,5,2,0,5,9,12,108,26,39,L(5-1),-,3.28
May 9,@ NYY,L 9-6,5.1,8,5,5,0,3,3,12,8,91,27,32,-,-,2.79
May 4,@ TEX,W 5-1,6.0,3,1,1,1,1,8,4,8,96,21,69,W(5-0),-,2.14
Apr 29,vs TB,W 4-3,7.2,7,3,3,1,0,6,10,13,116,29,-,-,-,2.23
Apr 24,@ TOR,L 4-3,7.0,3,3,3,0,3,9,10,6,103,28,65,-,-,1.93
Apr 18,@ LAA,W 9-0,6.0,6,0,0,0,0,6,8,10,101,25,-,W(4-0),-,1.40
Apr 12,vs NYY,W 6-3,7.0,2,0,0,0,0,6,9,8,99,24,-,W(3-0),-,1.83
Apr 7,vs TB,W 10-3,7.1,6,3,3,0,0,7,12,9,94,28,61,W(2-0),-,2.84
Mar 31,@ TB,W 3-2,5.1,6,1,1,0,1,4,9,9,89,23,55,W(1-0),-,1.69
