DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ CHC,L 2-1,7.0,4,1,1,0,1,6,11,3,97,23,70,-,-,4.90
Jul 20,vs COL,L 11-10,5.1,8,5,5,2,1,2,8,14,93,26,33,-,-,5.37
Jul 12,@ COL,L 5-1,5.1,5,2,2,0,3,8,5,8,102,25,55,L(3-2),-,5.03
Jul 7,vs SD,W 20-5,4.1,4,4,4,3,4,7,3,6,96,20,42,-,-,5.23
Jul 2,vs STL,L 6-3,5.0,9,6,6,2,1,7,4,12,94,24,-,L(3-1),-,4.89
Jun 27,@ MIA,W 2-1,6.0,2,0,0,0,2,6,6,7,83,21,72,W(3-0),-,4.01
Apr 29,@ WSH,L 3-1,1.1,1,0,0,0,0,2,3,0,21,5,54,-,-,4.88
Apr 24,@ PHI,W 8-4,4.2,5,3,3,0,3,11,1,7,107,22,50,-,-,5.13
Apr 18,vs SF,L 4-3,6.0,5,2,2,1,3,9,6,7,99,26,60,-,-,4.98
Apr 11,@ SF,W 7-3,4.2,5,3,3,1,3,6,7,6,100,22,45,-,-,5.74
Apr 5,@ STL,W 3-1,6.0,2,1,1,0,5,9,3,7,98,24,68,W(2-0),-,5.73
Mar 30,vs COL,W 9-8,5.0,7,7,6,3,3,8,3,10,85,25,32,W(1-0),-,10.80
