DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 25,@ CIN,W 5-4,5,1,1,0,0,0,0,0,2,0,0,.200,.200,.400,.200
Apr 26,@ CIN,W 7-4,4,2,3,1,0,1,2,0,0,0,0,.444,.889,1.333,.444
Apr 27,@ PHI,L 7-3,4,0,2,1,0,0,1,0,1,0,0,.462,.846,1.308,.462
Apr 28,@ PHI,W 4-1,3,0,0,0,0,0,0,1,1,0,0,.412,.688,1.100,.375
Apr 29,@ PHI,W 10-1,3,0,2,2,0,0,1,2,0,1,0,.500,.789,1.289,.421
May 1,@ NYM,W 3-2,5,1,2,1,0,0,0,0,1,0,0,.481,.750,1.231,.417
May 2,@ NYM,W 7-0,5,0,0,0,0,0,0,0,2,0,0,.406,.621,1.027,.345
May 3,@ NYM,W 11-0,5,1,3,0,0,1,1,0,1,0,1,.432,.706,1.138,.382
May 4,vs SF,L 9-4,4,0,0,0,0,0,0,0,0,0,0,.390,.632,1.022,.342
May 5,vs SF,L 11-2,4,1,0,0,0,0,0,0,0,0,0,.356,.571,.927,.310
May 6,vs SF,L 4-3,4,1,2,0,0,0,0,0,1,0,0,.367,.565,.932,.326
May 8,@ TB,W 1-0,4,1,1,0,0,1,1,0,1,0,0,.358,.600,.958,.320
May 9,@ TB,W 5-2,3,1,0,0,0,0,0,0,3,0,0,.351,.566,.917,.302
May 10,@ MIA,W 9-2,5,1,1,0,0,0,0,1,1,0,0,.349,.534,.883,.293
May 11,@ MIA,L 6-3,4,0,0,0,0,0,0,0,2,0,0,.328,.500,.828,.274
May 12,@ MIA,W 10-5,5,1,1,0,0,0,0,0,2,0,0,.319,.478,.797,.269
May 13,@ MIA,W 4-3,2,1,1,1,0,0,0,2,1,1,0,.342,.493,.835,.275
May 14,@ CHC,W 6-5,4,0,0,0,0,0,0,1,3,0,0,.333,.466,.799,.260
May 15,vs CHC,L 3-2,3,1,1,0,0,1,1,1,1,0,0,.341,.500,.841,.263
May 16,vs CHC,W 4-1,4,1,2,0,0,0,1,0,1,0,0,.348,.500,.848,.275
May 18,vs MIA,L 2-0,4,0,0,0,0,0,0,0,1,0,0,.333,.476,.809,.262
May 19,vs MIA,W 8-1,3,1,0,0,0,0,0,1,1,0,0,.330,.460,.790,.253
May 20,vs MIA,W 10-9,4,1,2,0,0,0,3,0,1,0,0,.333,.462,.795,.264
May 21,@ PHI,L 3-0,4,0,0,0,0,0,0,0,1,0,0,.321,.442,.763,.253
May 22,@ PHI,W 3-1,5,0,2,1,0,0,1,0,2,0,0,.324,.450,.774,.260
May 23,@ PHI,L 4-0,4,0,0,0,0,0,0,0,2,0,0,.313,.433,.746,.250
May 25,@ BOS,L 6-2,5,1,1,0,0,0,0,0,3,0,0,.308,.422,.730,.248
May 26,@ BOS,L 8-6,5,1,3,0,0,1,1,0,0,0,0,.320,.456,.776,.263
May 27,@ BOS,W 7-1,3,1,1,0,0,0,0,1,2,0,0,.326,.453,.779,.265
May 28,vs NYM,W 4-3,Did not play
May 28,vs NYM,L 8-5,Did not play
May 29,vs NYM,W 7-6,Did not play
May 30,vs NYM,L 4-1,Did not play
May 31,vs WSH,W 4-2,Did not play
Jun 1,vs WSH,W 4-0,Did not play
Jun 2,vs WSH,L 5-3,Did not play
Jun 3,vs WSH,W 4-2,Did not play
Jun 4,@ SD,L 11-4,Did not play
Jun 5,@ SD,W 14-1,Did not play
Jun 6,@ SD,L 3-1,Did not play
Jun 8,@ LAD,L 7-3,Did not play
Jun 9,@ LAD,W 5-3,Did not play
Jun 10,@ LAD,L 7-2,Did not play
Jun 12,vs NYM,W 8-2,Did not play
Jun 13,vs NYM,W 2-0,Did not play
Jun 14,vs SD,W 4-2,Did not play
Jun 15,vs SD,L 9-3,Did not play
Jun 16,vs SD,W 1-0,Did not play
Jun 17,vs SD,W 4-1,Did not play
Jun 19,@ TOR,W 11-4,Did not play
Jun 20,@ TOR,L 5-4,Did not play
Jun 22,vs BAL,L 10-7,Did not play
Jun 23,vs BAL,L 7-5,Did not play
Jun 24,vs BAL,W 7-3,Did not play
Jun 25,vs CIN,W 5-4,Did not play
Jun 26,vs CIN,L 5-3,Did not play
Jun 27,vs CIN,L 6-5,Did not play
Jun 29,@ STL,W 5-1,4,0,0,0,0,0,0,1,1,0,0,.321,.438,.759,.256
Jun 30,@ STL,W 11-4,5,3,3,1,0,1,2,0,1,0,0,.331,.476,.807,.270
Jul 1,@ STL,W 6-5,4,1,1,0,0,0,0,0,1,0,0,.329,.469,.798,.269
Jul 2,@ NYY,W 5-3,5,1,2,1,0,1,3,0,3,0,0,.331,.496,.827,.274
Jul 3,@ NYY,L 8-5,4,0,1,0,0,0,0,0,1,0,0,.329,.489,.818,.273
Jul 4,@ NYY,L 6-2,4,0,0,0,0,0,0,0,3,0,0,.321,.476,.797,.266
Jul 5,@ MIL,L 7-2,2,0,0,0,0,0,0,0,0,0,0,.321,.469,.790,.262
Jul 6,@ MIL,L 5-4,3,0,1,0,0,0,1,0,2,0,0,.321,.466,.787,.264
Jul 7,@ MIL,W 5-1,Did not play
Jul 8,@ MIL,L 10-3,1,0,1,0,0,0,0,0,0,0,0,.325,.470,.795,.268
Jul 10,vs TOR,L 6-2,4,0,0,0,0,0,0,0,2,0,0,.317,.458,.775,.261
Jul 11,vs TOR,W 9-5,5,0,1,1,0,0,0,0,2,0,0,.314,.456,.770,.259
Jul 13,vs ARI,L 2-1,3,0,1,1,0,0,0,1,1,0,0,.318,.460,.778,.261
Jul 14,vs ARI,L 3-0,4,0,0,0,0,0,0,0,2,0,0,.311,.448,.759,.255
Jul 15,vs ARI,W 5-1,4,0,0,0,0,0,0,0,0,0,0,.304,.438,.742,.249
Jul 20,@ WSH,W 8-5,4,3,3,1,0,1,1,1,0,2,0,.317,.468,.785,.260
Jul 22,@ WSH,L 6-2,5,0,3,1,0,0,0,0,2,0,0,.325,.478,.803,.270
Jul 23,@ MIA,W 12-1,4,2,2,1,0,0,2,2,1,0,0,.335,.484,.819,.275
Jul 24,@ MIA,L 9-3,3,1,0,0,0,0,0,1,0,0,0,.333,.476,.809,.270
