DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 30,vs LAA,W 6-1,Did not play
May 31,vs LAA,W 6-2,4,1,2,0,0,0,0,0,1,0,0,.500,.500,1.000,.500
Jun 1,vs TOR,W 5-2,3,0,0,0,0,0,0,0,2,0,0,.286,.286,.572,.286
Jun 2,vs TOR,W 7-4,0,1,0,0,0,0,0,0,0,0,0,.286,.286,.572,.286
Jun 3,vs TOR,L 8-4,4,0,0,0,0,0,0,0,2,0,0,.182,.182,.364,.182
Jun 4,vs NYY,L 7-4,Did not play
Jun 4,vs NYY,W 4-2,3,0,0,0,0,0,1,0,0,0,0,.133,.143,.276,.143
Jun 5,@ BOS,L 6-0,1,0,0,0,0,0,0,0,0,0,0,.125,.133,.258,.133
Jun 6,@ BOS,L 7-1,4,0,0,0,0,0,0,0,1,0,0,.100,.105,.205,.105
Jun 13,vs MIN,W 5-2,0,1,0,0,0,0,0,0,0,0,0,.100,.105,.205,.105
Jun 14,vs MIN,W 3-1,Did not play
Jun 15,@ CHW,W 4-3,Did not play
Jun 16,@ CHW,W 7-5,3,0,0,0,0,0,0,0,1,0,0,.087,.091,.178,.091
Jun 17,@ CHW,W 3-1,Did not play
Jun 19,@ CIN,L 9-5,1,0,0,0,0,0,0,1,1,0,0,.120,.087,.207,.087
Jun 20,@ CIN,L 5-3,Did not play
Jun 22,@ CLE,L 10-0,1,0,0,0,0,0,0,0,0,0,0,.115,.083,.198,.083
Jul 5,vs TEX,L 7-5,4,1,3,0,0,0,1,0,1,0,0,.200,.179,.379,.179
Jul 6,vs TEX,W 3-1,3,0,1,0,0,0,0,0,0,0,0,.212,.194,.406,.194
Jul 7,vs TEX,W 7-2,Did not play
Jul 8,vs TEX,L 3-0,Did not play
Jul 9,@ TB,L 10-9,4,2,1,0,0,0,0,2,0,0,0,.256,.200,.456,.200
Jul 10,@ TB,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.233,.179,.412,.179
Jul 11,@ TB,L 4-2,3,0,0,0,0,0,0,1,1,0,0,.234,.167,.401,.167
Jul 13,@ HOU,L 3-0,4,0,2,0,0,0,0,0,1,0,0,.255,.196,.451,.196
Jul 14,@ HOU,L 9-1,1,0,0,0,0,0,0,0,0,0,0,.250,.191,.441,.191
Jul 15,@ HOU,W 6-3,4,1,1,0,0,0,0,0,2,0,0,.250,.196,.446,.196
Jul 20,vs BOS,L 1-0,Did not play
Jul 21,vs BOS,W 5-0,3,0,1,0,0,0,0,0,1,0,0,.254,.204,.458,.204
Jul 22,vs BOS,L 9-1,4,0,0,0,0,0,0,0,1,0,0,.238,.190,.428,.190
Jul 23,@ KC,W 5-4,5,0,0,0,0,0,0,0,1,0,0,.221,.175,.396,.175
Jul 24,@ KC,L 5-4,Did not play
Jul 25,@ KC,W 8-4,4,0,0,0,0,0,0,0,0,0,0,.208,.164,.372,.164
