DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ MIL,L 5-4,1.0,1,0,0,0,1,0,2,0,13,3,-,-,-,4.79
Jul 22,vs ATL,W 6-2,0.1,1,0,0,0,0,0,1,1,6,2,-,-,H(10),4.93
Jul 15,@ NYM,W 6-1,1.0,0,0,0,0,1,1,1,1,16,4,-,-,-,4.98
Jul 12,@ NYM,W 5-4,1.0,1,0,0,0,0,0,2,1,9,3,-,-,Sv(4),5.13
Jul 10,@ PIT,W 5-1,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,5.29
Jul 8,vs MIA,L 10-2,0.2,4,4,4,0,2,0,2,4,32,8,-,-,-,5.46
Jul 6,vs MIA,W 3-2,1.0,0,0,0,0,1,0,1,2,14,4,-,-,-,4.40
Jul 4,vs BOS,L 3-0,1.0,2,2,1,0,1,0,1,4,25,6,-,L(2-4),-,4.55
Jul 1,@ PHI,L 4-3,0.1,0,0,0,0,0,1,0,0,5,1,-,-,-,4.40
Jun 30,@ PHI,L 3-2,1.0,0,0,0,0,0,1,0,2,9,3,-,-,-,4.45
Jun 28,@ PHI,L 4-3,0.2,2,2,2,1,0,1,2,1,16,4,-,-,-,4.61
Jun 24,vs PHI,W 8-6,1.0,1,0,0,0,0,0,3,0,10,3,-,W(2-3),-,4.05
Jun 23,vs PHI,L 5-3,1.0,0,0,0,0,1,1,1,1,11,4,-,-,-,4.21
Jun 17,@ TOR,L 8-6,1.0,2,2,2,2,0,2,1,2,24,5,-,L(1-3),-,4.38
Jun 13,@ NYY,W 5-4,1.0,1,0,0,0,1,1,1,2,22,5,-,-,H(9),3.80
Jun 9,vs SF,W 7-5,1.0,3,1,1,0,0,2,1,3,14,6,-,-,H(8),3.97
Jun 2,@ ATL,W 5-3,1.0,0,0,0,0,0,1,2,0,7,3,-,-,-,3.74
Jun 1,@ ATL,L 4-0,0.1,0,0,0,0,1,0,1,0,10,2,-,-,-,3.92
May 15,vs NYY,W 5-3,1.0,2,0,0,0,0,0,3,2,12,5,-,-,H(7),3.98
May 13,@ ARI,W 6-4,1.1,0,0,0,0,0,2,1,1,15,4,-,W(1-2),-,4.19
May 12,@ ARI,W 2-1,1.0,0,0,0,0,0,1,3,0,13,4,-,-,Sv(3),4.50
May 10,@ ARI,W 2-1,1.1,0,0,0,0,1,3,1,0,23,5,-,-,-,4.76
May 8,@ SD,W 4-0,0.1,0,0,0,0,0,0,1,0,2,1,-,-,H(6),5.17
May 4,vs PHI,W 7-3,1.0,1,0,0,0,0,1,1,1,8,3,-,-,-,5.28
May 3,vs PIT,W 3-1,0.1,1,1,0,0,0,1,1,1,16,4,-,-,H(5),5.65
Apr 30,vs PIT,W 3-2,1.0,0,0,0,0,0,0,1,2,9,3,-,-,H(4),5.79
Apr 28,vs ARI,L 4-3,1.0,3,1,1,0,0,1,1,4,16,6,-,-,BlSv(2),6.23
Apr 27,vs ARI,L 5-4,0.2,0,0,0,0,0,0,2,0,3,2,-,-,-,6.00
Apr 24,@ SF,L 4-3,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,6.35
Apr 18,@ NYM,L 11-5,0.2,5,6,6,0,1,1,3,3,26,8,-,L(0-2),BlSv(1),6.97
Apr 17,@ NYM,W 5-2,1.0,2,0,0,0,0,2,2,1,21,5,-,-,H(3),1.86
Apr 16,@ NYM,W 8-6,1.0,1,0,0,0,0,1,1,1,11,3,-,-,Sv(2),2.08
Apr 14,vs COL,W 6-2,1.0,1,0,0,0,1,1,1,2,23,5,-,-,-,2.35
Apr 11,vs ATL,L 5-3,1.0,3,2,2,0,2,2,2,2,20,8,-,L(0-1),-,2.70
Apr 10,vs ATL,W 4-1,0.2,1,0,0,0,0,1,0,2,11,3,-,-,Sv(1),0.00
Apr 8,vs NYM,L 6-5,1.0,1,0,0,0,0,0,0,4,11,4,-,-,-,0.00
Apr 7,vs NYM,L 3-2,1.0,0,0,0,0,1,1,1,1,15,4,-,-,-,0.00
Apr 5,vs NYM,L 8-2,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,0.00
Apr 1,@ CIN,W 6-5,1.0,0,0,0,0,0,0,1,1,7,2,-,-,H(2),0.00
Mar 30,@ CIN,W 2-0,1.0,2,0,0,0,0,1,2,2,19,5,-,-,H(1),0.00
