DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs MIA,L 3-2,4.0,2,2,2,0,2,3,4,7,69,16,-,L(8-5),-,3.65
Jul 15,@ MIN,L 11-7,1.2,1,0,0,0,1,2,3,1,35,8,-,-,-,3.61
Jul 13,@ MIN,L 11-8,1.0,2,1,1,0,0,1,1,2,14,4,-,-,-,3.68
Jul 11,vs DET,W 4-2,3.0,1,0,0,0,0,4,2,4,38,10,-,W(8-4),-,3.62
Jul 6,@ NYM,L 5-1,2.0,1,1,0,0,2,3,3,2,35,10,-,-,-,3.75
Jul 3,@ MIA,W 9-6,3.0,4,2,2,0,1,3,5,5,46,14,45,-,-,3.84
Jun 28,vs HOU,L 1-0,6.1,7,1,1,1,1,4,8,11,95,25,-,L(7-4),-,3.76
Jun 24,vs NYY,W 7-6,1.0,0,0,0,0,1,0,3,0,11,4,-,W(7-3),-,3.96
Jun 22,vs NYY,W 2-1,3.1,1,0,0,0,3,4,2,5,65,14,-,W(6-3),-,4.02
Jun 16,@ NYY,L 4-1,3.2,6,4,4,2,3,4,4,10,97,21,-,L(5-3),-,4.21
Jun 11,vs TOR,W 8-4,6.0,7,4,4,1,1,4,8,12,88,25,-,W(5-2),-,3.90
Jun 6,@ WSH,L 11-2,5.1,10,5,4,0,2,3,7,15,99,27,-,-,-,3.68
May 31,@ OAK,L 7-3,5.2,5,3,3,2,3,9,9,6,100,27,-,-,-,3.38
May 25,vs BAL,L 2-0,7.0,7,1,1,1,0,8,11,7,105,26,-,-,-,3.21
May 19,@ LAA,W 5-3,6.1,4,1,1,0,1,4,6,12,92,23,-,W(4-2),-,3.54
May 14,@ KC,W 2-1,5.0,5,1,1,1,3,4,6,8,83,21,54,W(3-2),-,3.93
May 9,vs ATL,L 5-2,5.0,6,5,5,1,0,7,7,7,79,22,42,L(2-2),-,4.30
May 4,vs TOR,W 6-2,5.0,1,0,0,0,0,4,6,6,58,16,-,W(2-1),-,3.33
Apr 28,@ BOS,W 12-6,4.0,3,2,2,1,0,6,4,5,48,15,-,W(1-1),-,4.19
Apr 22,vs MIN,W 8-6,1.1,1,2,2,0,1,0,0,5,26,7,-,-,-,4.11
Apr 20,vs MIN,W 8-7,1.1,1,1,1,1,0,2,0,3,12,5,-,-,-,3.21
Apr 15,vs PHI,L 10-4,4.2,3,5,2,0,2,2,5,11,88,21,44,L(0-1),-,2.84
Apr 8,@ BOS,L 8-7,4.0,2,1,1,0,3,3,3,8,73,17,-,-,-,2.25
Apr 5,@ BOS,L 3-2,0.0,1,0,0,0,1,0,0,1,9,2,-,-,-,2.25
Mar 31,vs BOS,L 3-2,4.0,4,1,1,0,3,3,3,11,73,20,-,-,-,2.25
