DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs NYY,W 3-2,1.0,1,0,0,0,0,2,0,1,22,4,53,-,-,1.86
Jul 23,vs NYY,W 7-6,1.0,2,0,0,0,0,1,1,3,20,5,-,-,H(4),1.91
Jul 22,vs MIA,W 6-4,1.0,0,0,0,0,0,1,1,1,8,3,-,-,-,1.96
Jul 21,vs MIA,L 3-2,1.0,1,0,0,0,1,1,1,2,25,5,-,-,-,2.02
Jul 15,@ MIN,L 11-7,2.0,2,1,1,0,0,3,1,3,31,8,51,-,-,2.08
Jul 13,@ MIN,L 11-8,1.0,0,0,0,0,0,2,0,1,12,3,-,-,-,1.93
Jul 10,vs DET,W 5-2,2.0,1,0,0,0,0,2,1,4,23,7,56,-,-,1.99
Jul 9,vs DET,W 10-9,0.1,1,1,1,0,0,0,0,2,9,2,-,-,H(3),2.12
Jul 6,@ NYM,L 5-1,2.0,1,0,0,0,1,4,2,1,36,8,57,-,-,1.84
Jul 3,@ MIA,W 9-6,2.0,0,0,0,0,0,3,3,0,23,6,-,-,-,1.98
Jul 2,@ MIA,L 3-2,0.0,2,1,1,0,1,0,1,1,12,3,-,L(1-2),-,INF
Jun 30,vs HOU,W 5-2,1.0,1,0,0,0,0,2,1,1,14,4,53,-,-,1.78
Jun 28,vs HOU,L 1-0,1.2,0,0,0,0,2,3,0,2,32,7,56,-,-,1.85
Jun 23,vs NYY,W 4-0,1.1,0,0,0,0,1,1,1,1,18,4,-,-,H(2),1.99
Jun 22,vs NYY,W 2-1,1.0,1,0,0,0,1,1,1,2,25,5,51,-,-,2.11
Jun 19,@ HOU,W 2-1,1.0,0,0,0,0,0,1,0,2,16,3,-,-,H(1),2.21
Jun 18,@ HOU,L 5-4,1.2,0,0,0,0,0,0,2,3,11,5,55,-,-,2.33
Jun 16,@ NYY,L 4-1,1.1,1,0,0,0,0,1,2,2,21,5,-,-,-,2.55
Jun 12,vs TOR,W 4-1,2.0,0,0,0,0,0,3,2,1,27,6,59,-,-,2.76
Jun 10,vs SEA,L 5-4,1.0,1,0,0,0,1,1,1,2,24,5,-,-,-,3.14
Jun 7,vs SEA,L 5-4,1.0,1,0,0,0,2,2,2,0,30,6,51,-,-,3.38
Jun 5,@ WSH,L 4-2,1.0,0,0,0,0,0,3,0,0,15,3,-,-,-,3.65
Jun 2,@ SEA,L 3-1,1.2,0,0,0,0,0,1,1,3,15,5,-,-,-,3.97
May 31,@ OAK,L 7-3,1.1,1,2,2,0,1,0,1,4,25,6,43,L(1-1),-,4.66
May 28,@ OAK,W 1-0,1.2,1,0,0,0,2,0,2,4,29,8,-,W(1-0),-,3.24
May 26,vs BAL,W 5-1,1.2,0,0,0,0,0,3,1,1,21,5,58,-,-,4.05
May 23,vs BOS,L 4-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,5.40
May 22,vs BOS,L 4-2,1.0,1,0,0,0,1,1,1,1,20,4,-,-,-,5.79
May 19,@ LAA,W 5-3,0.0,2,2,2,1,0,0,0,2,6,2,-,-,-,INF
May 12,@ BAL,L 6-3,1.0,0,0,0,0,0,1,1,1,14,3,-,-,-,2.45
May 11,@ BAL,L 9-4,1.0,1,1,1,1,0,2,0,2,10,4,-,-,-,3.38
May 8,vs ATL,L 1-0,1.2,0,0,0,0,2,4,0,2,40,8,-,-,-,0.00
