DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ATL,L 8-5,Did not play
Mar 30,@ ATL,W 5-4,5,0,2,0,0,0,0,0,1,1,0,.400,.400,.800,.400
Mar 31,@ ATL,L 15-2,4,0,2,2,0,0,0,0,0,0,0,.444,.667,1.111,.444
Apr 3,@ NYM,L 2-0,4,0,0,0,0,0,0,0,1,0,0,.308,.462,.770,.308
Apr 4,@ NYM,L 4-2,1,0,0,0,0,0,0,0,1,0,0,.286,.429,.715,.286
Apr 5,vs MIA,W 5-0,4,1,0,0,0,0,0,1,1,1,0,.263,.333,.596,.222
Apr 7,vs MIA,W 20-1,5,2,2,1,0,0,1,1,2,0,0,.320,.391,.711,.261
Apr 8,vs MIA,L 6-3,1,0,0,0,0,0,0,0,0,0,0,.308,.375,.683,.250
Apr 9,vs CIN,W 6-5,3,1,1,0,0,1,1,1,0,0,0,.333,.481,.814,.259
Apr 10,vs CIN,W 6-1,4,1,1,0,0,1,4,0,2,0,0,.324,.548,.872,.258
Apr 11,vs CIN,W 4-3,5,0,1,0,0,0,1,0,2,0,0,.300,.500,.800,.250
Apr 13,@ TB,W 2-1,4,1,1,1,0,0,0,0,2,0,0,.295,.500,.795,.250
Apr 14,@ TB,W 9-4,5,1,2,2,0,0,2,0,0,0,0,.306,.533,.839,.267
Apr 15,@ TB,W 10-4,5,1,2,1,0,0,3,0,1,0,0,.315,.540,.855,.280
Apr 16,@ ATL,L 2-1,4,0,0,0,0,0,0,1,1,0,0,.305,.500,.805,.259
Apr 17,@ ATL,W 5-1,1,1,0,0,0,0,0,1,0,1,0,.311,.491,.802,.255
Apr 18,@ ATL,L 7-3,3,0,0,0,0,0,0,1,1,0,0,.308,.466,.774,.241
Apr 19,vs PIT,W 7-0,3,1,1,0,0,0,0,0,2,0,0,.319,.459,.778,.246
Apr 20,vs PIT,W 2-1,Did not play
Apr 21,vs PIT,W 6-2,4,0,1,0,0,0,1,0,2,0,0,.315,.446,.761,.246
Apr 22,vs PIT,W 3-2,5,0,0,0,0,0,0,0,2,0,0,.295,.414,.709,.229
Apr 24,vs ARI,L 8-4,4,0,0,0,0,0,0,0,4,0,0,.280,.392,.672,.216
Apr 25,vs ARI,W 5-3,1,0,0,0,0,0,0,0,1,0,0,.277,.387,.664,.213
Apr 26,vs ARI,L 8-2,1,0,0,0,0,0,0,0,0,0,0,.274,.382,.656,.211
Apr 27,vs ATL,W 7-3,4,1,1,0,0,0,0,0,1,0,0,.273,.375,.648,.213
Apr 28,vs ATL,L 4-1,1,0,1,0,0,0,0,0,0,0,0,.281,.383,.664,.222
Apr 29,vs ATL,L 10-1,4,0,1,0,0,0,0,0,1,0,0,.280,.376,.656,.224
Apr 30,@ MIA,L 8-4,4,1,1,1,0,0,0,0,0,0,0,.278,.382,.660,.225
May 1,@ MIA,L 2-1,3,0,0,0,0,0,0,0,0,0,0,.277,.370,.647,.217
May 2,@ MIA,W 6-0,Did not play
May 4,@ WSH,L 7-3,4,0,0,0,0,0,0,0,1,0,0,.267,.354,.621,.208
May 5,@ WSH,W 3-1,3,0,1,0,0,0,0,0,1,0,0,.269,.354,.623,.212
May 6,@ WSH,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.266,.350,.616,.210
May 7,vs SF,W 11-0,4,1,1,0,0,0,0,0,0,1,0,.265,.346,.611,.212
May 8,vs SF,W 4-2,4,0,1,0,0,0,0,0,2,0,0,.265,.343,.608,.213
May 9,vs SF,W 11-3,1,0,1,0,0,0,0,0,0,0,1,.271,.349,.620,.220
May 10,vs SF,W 6-3,3,0,0,0,0,0,0,0,0,0,0,.264,.339,.603,.214
May 11,vs NYM,L 3-1,4,0,2,0,0,0,0,0,1,0,0,.272,.345,.617,.224
May 13,vs NYM,W 4-2,3,1,0,0,0,0,0,1,1,0,0,.271,.336,.607,.218
May 16,@ BAL,W 4-1,Did not play
May 17,@ STL,W 6-2,3,0,0,0,0,0,0,0,1,0,0,.265,.328,.593,.213
May 18,@ STL,L 12-4,2,0,1,0,0,0,0,0,0,0,0,.269,.331,.600,.218
May 19,@ STL,W 7-6,4,1,1,0,1,0,1,0,1,0,0,.268,.344,.612,.219
May 20,@ STL,L 5-1,3,0,0,0,0,0,0,0,2,0,0,.262,.336,.598,.214
May 21,vs ATL,W 3-0,3,1,1,0,0,0,0,0,0,0,0,.264,.336,.600,.216
May 22,vs ATL,L 3-1,4,0,1,1,0,0,0,0,0,0,0,.264,.341,.605,.217
May 23,vs ATL,W 4-0,3,1,0,0,0,0,0,1,1,0,0,.263,.333,.596,.213
May 25,vs TOR,L 6-5,1,0,0,0,0,0,0,1,0,0,0,.266,.331,.597,.211
May 26,vs TOR,W 2-1,3,0,2,0,0,0,0,0,1,0,0,.274,.338,.612,.221
May 27,vs TOR,L 5-3,4,0,1,1,0,0,0,0,1,0,0,.273,.342,.615,.221
May 28,@ LAD,L 5-4,4,1,1,0,0,0,0,0,0,0,0,.273,.340,.613,.222
May 29,@ LAD,W 6-1,5,1,1,1,0,0,0,0,1,0,0,.271,.342,.613,.222
May 30,@ LAD,L 8-2,3,0,0,0,0,0,0,1,1,0,0,.270,.335,.605,.217
May 31,@ LAD,W 2-1,3,1,1,0,0,0,0,0,1,0,0,.271,.335,.606,.220
Jun 1,@ SF,L 4-0,4,0,2,0,0,0,0,0,1,0,0,.276,.339,.615,.226
Jun 2,@ SF,L 2-0,4,0,0,0,0,0,0,0,0,0,0,.270,.331,.601,.221
Jun 3,@ SF,L 6-1,4,0,0,0,0,0,0,0,0,0,0,.265,.324,.589,.216
Jun 5,@ CHC,W 6-1,5,1,1,0,0,0,0,0,1,0,0,.263,.320,.583,.215
Jun 6,@ CHC,L 7-5,3,0,0,0,0,0,0,1,2,0,0,.263,.315,.578,.212
Jun 7,@ CHC,L 4-3,5,0,1,1,0,0,2,0,1,0,0,.261,.317,.578,.212
Jun 8,vs MIL,L 12-4,4,1,1,1,0,0,0,0,2,0,0,.261,.321,.582,.212
Jun 9,vs MIL,L 12-3,2,0,1,0,0,0,0,2,0,0,0,.270,.323,.593,.215
Jun 10,vs MIL,W 4-3,3,0,0,0,0,0,0,1,0,1,0,.270,.318,.588,.212
Jun 12,vs COL,W 5-4,2,1,1,0,0,1,4,1,0,0,0,.274,.335,.609,.215
Jun 13,vs COL,L 7-2,4,0,0,0,0,0,0,0,4,0,0,.269,.328,.597,.211
Jun 14,vs COL,W 9-3,2,1,1,0,0,0,0,0,0,0,0,.271,.330,.601,.214
Jun 15,@ MIL,L 13-2,4,0,2,0,0,0,0,0,1,0,0,.275,.333,.608,.219
