DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 6,vs MIA,W 3-2,1.0,0,0,0,0,0,1,0,2,8,3,-,W(3-2),-,1.45
Jul 5,vs MIA,W 14-12,1.0,2,0,0,0,0,2,2,1,13,5,-,-,Sv(22),1.49
Jul 1,@ PHI,L 4-3,1.2,0,0,0,0,0,2,2,0,14,4,-,-,-,1.53
Jun 24,vs PHI,W 8-6,1.0,0,0,0,0,0,1,2,0,19,3,-,-,Sv(21),1.60
Jun 21,vs BAL,W 4-2,1.0,0,0,0,0,0,0,1,2,14,3,-,-,Sv(20),1.65
Jun 19,vs BAL,W 9-7,1.0,1,1,1,1,0,0,0,4,13,4,-,-,Sv(19),1.71
Jun 13,@ NYY,W 5-4,1.0,0,0,0,0,0,1,0,2,11,3,-,-,Sv(18),1.47
Jun 9,vs SF,W 7-5,1.1,1,0,0,0,0,1,2,2,16,5,-,-,Sv(17),1.52
Jun 5,vs TB,W 4-2,1.0,0,0,0,0,0,1,1,1,7,3,-,-,Sv(16),1.59
Jun 2,@ ATL,W 5-3,1.0,0,0,0,0,0,0,0,3,8,3,-,-,Sv(15),1.65
May 30,@ BAL,W 2-0,1.0,2,0,0,0,0,0,0,4,14,4,-,-,Sv(14),1.71
May 29,@ BAL,W 3-2,1.0,1,0,0,0,0,2,1,1,17,5,-,-,Sv(13),1.78
May 26,@ MIA,W 4-1,1.0,0,0,0,0,0,1,0,2,11,3,-,-,Sv(12),1.85
May 25,@ MIA,W 9-5,1.2,0,0,0,0,0,2,1,2,13,5,-,-,Sv(11),1.93
May 22,vs SD,W 2-1,1.0,0,0,0,0,0,3,0,0,13,3,-,W(2-2),-,2.08
May 19,vs LAD,L 5-4,1.0,3,2,2,0,0,2,0,4,24,6,-,L(1-2),BlSv(1),2.18
May 15,vs NYY,W 5-3,1.0,0,0,0,0,0,2,0,1,14,3,-,-,Sv(10),1.37
May 13,@ ARI,W 6-4,1.0,1,0,0,0,0,1,0,3,16,4,-,-,Sv(9),1.45
May 11,@ ARI,W 3-1,1.0,1,0,0,0,0,2,0,2,17,4,-,-,Sv(8),1.53
May 10,@ ARI,W 2-1,1.0,1,0,0,0,0,1,1,2,11,4,-,-,Sv(7),1.62
May 6,vs PHI,W 5-4,1.0,0,0,0,0,0,2,1,1,17,4,-,W(1-1),-,1.72
May 3,vs PIT,W 3-1,1.2,0,0,0,0,0,0,2,3,17,5,-,-,Sv(6),1.84
Apr 29,vs ARI,W 3-1,1.0,1,0,0,0,0,1,0,3,15,4,-,-,Sv(5),2.08
Apr 28,vs ARI,L 4-3,1.0,0,0,0,0,0,1,0,2,13,3,-,-,-,2.25
Apr 27,vs ARI,L 5-4,1.0,0,0,0,0,0,1,2,0,8,3,-,-,-,2.45
Apr 20,@ LAD,W 5-2,1.0,0,0,0,0,0,1,1,1,10,3,-,-,Sv(4),2.70
Apr 17,@ NYM,W 5-2,1.0,0,0,0,0,0,2,0,1,10,3,-,-,Sv(3),3.00
Apr 15,vs COL,L 6-5,1.0,1,1,1,1,0,3,0,1,22,4,-,L(0-1),-,3.38
Apr 14,vs COL,W 6-2,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,2.57
Apr 11,vs ATL,L 5-3,1.0,0,0,0,0,2,2,0,0,19,4,-,-,-,3.00
Apr 8,vs NYM,L 6-5,1.0,0,0,0,0,0,2,0,1,13,3,-,-,-,3.60
Apr 7,vs NYM,L 3-2,1.0,0,0,0,0,0,2,0,1,9,3,-,-,-,4.50
Apr 5,vs NYM,L 8-2,1.0,1,0,0,0,0,2,2,0,18,4,-,-,-,6.00
Apr 1,@ CIN,W 6-5,1.0,1,2,2,1,0,1,0,3,20,5,-,-,Sv(2),9.00
Mar 30,@ CIN,W 2-0,1.0,0,0,0,0,1,2,0,1,18,4,-,-,Sv(1),0.00
