DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs NYY,W 3-2,1.1,1,0,0,0,0,2,0,2,31,6,-,-,Sv(12),3.63
Jul 21,vs MIA,L 3-2,1.0,1,0,0,0,0,1,2,1,15,4,-,-,-,3.74
Jul 15,@ MIN,L 11-7,1.0,1,0,0,0,1,1,0,2,17,4,-,-,BlSv(6),3.83
Jul 14,@ MIN,W 19-6,0.1,0,0,0,0,1,0,1,0,7,2,-,-,-,3.92
Jul 11,vs DET,W 4-2,1.0,0,0,0,0,0,2,1,0,12,3,-,-,Sv(11),3.95
Jul 10,vs DET,W 5-2,0.1,0,0,0,0,0,1,0,0,3,1,-,-,Sv(10),4.05
Jul 9,vs DET,W 10-9,1.1,2,0,0,0,0,1,1,4,20,6,-,-,BlSv(5),4.08
Jul 7,@ NYM,W 3-0,1.0,0,0,0,0,0,1,0,2,12,3,-,-,Sv(9),4.23
Jul 3,@ MIA,W 9-6,2.0,2,0,0,0,0,2,1,5,42,8,-,-,-,4.34
Jul 1,vs HOU,W 3-2,1.0,1,1,1,1,1,0,2,1,15,4,-,-,Sv(8),4.58
Jun 30,vs HOU,W 5-2,1.0,0,0,0,0,0,0,3,0,11,3,-,-,Sv(7),4.46
Jun 29,vs HOU,W 3-2,0.2,1,0,0,0,0,0,1,2,9,3,-,-,H(5),4.59
Jun 26,vs WSH,W 1-0,0.2,0,0,0,0,0,1,0,1,4,2,-,-,Sv(6),4.68
Jun 24,vs NYY,W 7-6,2.0,1,0,0,0,0,1,3,2,23,6,-,-,-,4.78
Jun 23,vs NYY,W 4-0,1.0,0,0,0,0,0,1,0,2,14,3,-,-,-,5.10
Jun 22,vs NYY,W 2-1,1.0,1,0,0,0,0,0,2,1,10,3,-,-,Sv(5),5.28
Jun 19,@ HOU,W 2-1,0.2,1,0,0,0,0,1,1,1,13,3,-,-,Sv(4),5.46
Jun 18,@ HOU,L 5-4,0.1,2,2,2,0,1,0,1,2,17,5,-,L(1-2),BlSv(4),5.60
Jun 17,@ NYY,W 3-1,1.0,0,0,0,0,1,2,0,1,16,4,-,-,Sv(3),5.00
Jun 12,vs TOR,W 4-1,1.0,1,0,0,0,0,0,2,2,12,4,-,-,Sv(2),5.19
Jun 11,vs TOR,W 8-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,-,5.40
Jun 10,vs SEA,L 5-4,1.0,0,0,0,0,0,1,0,2,10,3,-,-,-,5.63
Jun 6,@ WSH,L 11-2,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,5.87
Jun 1,@ SEA,L 4-3,1.1,0,0,0,0,1,0,4,0,25,5,53,-,-,5.96
May 29,@ OAK,W 4-3,1.0,2,2,2,0,0,0,4,1,22,5,-,-,Sv(1),6.33
May 28,@ OAK,W 1-0,0.2,1,0,0,0,0,1,0,2,11,3,-,-,-,5.75
May 27,vs BAL,W 8-3,0.1,2,3,3,0,1,0,3,0,15,4,34,-,-,5.95
May 25,vs BAL,L 2-0,0.2,2,1,1,0,0,1,1,3,14,5,-,L(1-1),-,4.66
May 20,@ LAA,L 5-2,1.1,0,0,0,0,2,3,1,0,28,6,55,-,-,4.34
May 19,@ LAA,W 5-3,1.0,0,0,0,0,0,3,0,0,18,3,56,-,-,4.67
May 15,@ KC,W 6-5,0.2,1,0,0,0,0,0,1,2,8,3,-,-,BlSv(3),4.96
May 14,@ KC,W 2-1,1.1,0,0,0,0,0,0,3,1,16,4,-,-,H(4),5.17
May 12,@ BAL,W 10-3,1.1,0,0,0,0,0,2,1,1,23,4,-,W(1-0),-,5.65
May 9,vs ATL,L 5-2,1.0,0,0,0,0,0,0,1,2,13,3,-,-,-,6.23
May 5,vs TOR,W 5-3,0.1,3,2,2,1,0,1,0,3,14,4,-,-,H(3),6.75
May 4,vs TOR,W 6-2,1.0,1,1,1,1,0,2,0,2,13,4,-,-,H(2),5.40
May 2,@ DET,L 3-2,1.0,2,0,0,0,0,1,0,4,21,5,-,-,-,5.06
Apr 29,@ BOS,L 4-3,2.0,0,0,0,0,0,3,0,3,23,7,-,-,BlSv(2),5.59
Apr 28,@ BOS,W 12-6,1.0,2,1,1,0,1,2,1,2,30,6,-,-,-,7.04
Apr 26,@ BAL,W 9-5,0.2,2,1,1,1,0,0,2,1,14,4,-,-,-,6.75
Apr 22,vs MIN,W 8-6,0.1,1,0,0,0,1,0,0,2,14,3,-,-,BlSv(1),6.00
Apr 20,vs MIN,W 8-7,0.1,2,3,3,1,1,1,0,2,19,4,-,-,-,6.35
Apr 13,vs PHI,L 2-1,1.0,1,0,0,0,0,0,3,1,15,4,-,-,-,1.69
Apr 9,@ CHW,W 5-4,1.1,1,0,0,0,1,3,1,1,22,6,-,-,H(1),2.08
Apr 7,@ BOS,L 10-3,0.2,0,0,0,0,0,0,1,1,9,2,-,-,-,3.00
Apr 5,@ BOS,L 3-2,1.0,0,0,0,0,1,2,0,1,15,4,-,-,-,3.86
Apr 3,@ NYY,L 11-4,0.2,2,1,1,0,1,2,1,1,22,5,-,-,-,6.75
Mar 31,vs BOS,L 3-2,0.2,0,0,0,0,1,1,0,1,13,3,-,-,-,0.00
