DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs HOU,L 4-1,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,.250
Mar 30,vs HOU,W 5-1,4,0,3,1,0,0,0,0,0,0,0,.500,.625,1.125,.500
Mar 31,vs HOU,L 9-3,3,0,0,0,0,0,0,1,1,0,0,.417,.455,.872,.364
Apr 1,vs HOU,L 8-2,Did not play
Apr 2,@ OAK,L 3-1,4,0,2,0,0,0,0,1,1,0,0,.471,.467,.938,.400
Apr 3,@ OAK,W 4-1,4,0,0,0,0,0,0,0,1,0,0,.381,.368,.749,.316
Apr 4,@ OAK,L 6-2,3,1,1,0,0,1,1,0,0,0,0,.400,.500,.900,.318
Apr 5,@ OAK,W 6-3,5,1,1,0,0,1,2,0,1,0,0,.367,.556,.923,.296
Apr 6,vs TOR,L 8-5,5,2,2,1,0,1,2,0,1,0,0,.371,.656,1.027,.313
Apr 7,vs TOR,W 5-1,3,1,1,0,0,0,0,1,0,0,0,.385,.629,1.014,.314
Apr 8,vs TOR,L 7-4,5,1,2,1,0,0,1,0,1,0,0,.386,.625,1.011,.325
Apr 9,vs LAA,L 8-3,4,0,0,0,0,0,0,1,1,1,0,.367,.568,.935,.295
Apr 10,vs LAA,L 11-1,5,0,0,0,0,0,0,0,1,0,0,.333,.510,.843,.265
Apr 11,vs LAA,L 7-2,4,0,1,0,0,0,0,1,1,0,0,.339,.491,.830,.264
Apr 13,@ HOU,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.317,.456,.773,.246
Apr 14,@ HOU,W 6-5,5,0,0,0,0,0,0,0,3,0,0,.294,.419,.713,.226
Apr 15,@ HOU,W 3-1,5,0,0,0,0,0,0,0,1,0,0,.274,.388,.662,.209
Apr 16,@ TB,L 8-4,4,1,1,0,0,0,0,0,1,0,0,.273,.380,.653,.211
Apr 17,@ TB,W 7-2,2,4,1,0,0,1,2,2,0,0,0,.293,.425,.718,.219
Apr 18,@ TB,L 4-2,3,1,1,0,0,1,1,1,1,0,0,.302,.461,.763,.224
Apr 20,vs SEA,L 6-2,4,1,2,1,0,0,0,0,1,0,0,.311,.475,.786,.238
Apr 21,vs SEA,L 9-7,5,1,2,2,0,0,1,1,1,0,0,.323,.494,.817,.247
Apr 22,vs SEA,W 7-4,4,0,1,0,0,0,1,0,0,0,0,.320,.483,.803,.247
Apr 23,vs OAK,L 9-4,4,0,0,0,0,0,0,0,2,0,0,.308,.462,.770,.237
Apr 24,vs OAK,L 3-2,3,1,2,0,0,0,0,0,1,0,0,.324,.469,.793,.250
Apr 25,vs OAK,W 4-2,3,0,0,0,0,0,0,1,2,0,0,.321,.455,.776,.242
Apr 27,@ TOR,W 6-4,4,1,0,0,0,0,0,1,0,0,0,.316,.437,.753,.233
Apr 28,@ TOR,W 7-4,5,0,2,0,0,0,1,0,1,0,0,.320,.435,.755,.241
Apr 29,@ TOR,L 7-2,4,0,0,0,0,0,0,0,1,0,0,.310,.420,.730,.232
Apr 30,@ CLE,L 7-5,4,2,1,0,0,0,0,1,2,0,0,.313,.414,.727,.233
May 1,@ CLE,W 8-6,3,2,1,1,0,0,0,2,0,0,0,.328,.420,.748,.235
May 2,@ CLE,L 12-4,4,0,2,0,0,0,1,0,0,0,0,.333,.423,.756,.244
May 3,vs BOS,W 11-5,5,1,2,0,0,0,0,0,1,0,0,.336,.422,.758,.250
May 4,vs BOS,L 5-1,3,0,0,0,0,0,0,1,1,0,0,.333,.412,.745,.244
May 5,vs BOS,L 6-5,4,0,1,1,0,0,0,0,3,0,0,.331,.415,.746,.244
May 6,vs BOS,L 6-1,4,0,0,0,0,0,0,0,2,0,0,.323,.403,.726,.237
May 7,vs DET,W 7-6,4,1,1,0,0,0,1,0,1,0,0,.321,.399,.720,.238
May 8,vs DET,L 7-4,4,1,2,1,0,0,1,0,0,0,0,.325,.408,.733,.245
May 9,vs DET,W 5-4,Did not play
May 11,@ HOU,W 1-0,4,0,1,0,0,0,0,0,1,0,0,.324,.404,.728,.245
May 12,@ HOU,L 6-1,4,0,0,0,0,0,0,0,3,0,0,.316,.394,.710,.239
May 13,@ HOU,L 6-1,4,0,2,0,0,0,0,0,2,0,0,.320,.396,.716,.245
May 15,@ SEA,L 9-8,6,0,1,0,0,0,0,0,0,0,0,.315,.388,.703,.242
May 16,@ SEA,W 5-1,5,0,1,0,0,0,1,0,1,0,0,.312,.382,.694,.241
May 17,@ CHW,L 4-2,4,1,2,0,0,0,1,0,1,0,0,.316,.385,.701,.247
May 18,@ CHW,W 12-5,3,2,2,0,0,1,4,2,0,0,0,.328,.407,.735,.254
May 19,@ CHW,L 5-3,2,1,0,0,0,0,0,2,1,0,0,.332,.402,.734,.251
May 20,@ CHW,L 3-0,4,0,1,0,0,0,0,0,1,0,0,.330,.399,.729,.251
May 21,vs NYY,L 10-5,3,0,1,0,0,0,0,1,0,0,0,.333,.398,.731,.253
May 22,vs NYY,W 6-4,3,0,0,0,0,0,0,2,0,0,0,.335,.392,.727,.249
May 23,vs NYY,W 12-10,3,3,2,0,0,0,0,2,1,1,0,.345,.396,.741,.255
May 24,vs KC,L 8-2,3,0,1,0,0,0,0,1,1,0,0,.348,.395,.743,.256
May 25,vs KC,W 8-4,2,1,1,0,0,1,1,3,1,0,0,.358,.411,.769,.259
May 26,vs KC,W 4-3,4,1,1,0,0,1,1,1,1,0,0,.359,.423,.782,.259
May 27,vs KC,L 5-3,3,0,1,1,0,0,0,1,1,0,0,.361,.426,.787,.260
May 28,@ SEA,L 2-1,3,0,1,0,0,0,0,1,1,0,0,.364,.425,.789,.261
May 29,@ SEA,W 9-5,4,1,1,0,0,1,1,2,3,0,0,.367,.436,.803,.261
May 30,@ SEA,W 7-6,5,1,1,0,0,0,0,0,3,0,0,.364,.431,.795,.259
May 31,@ SEA,L 6-1,Did not play
Jun 1,@ LAA,L 6-0,4,0,2,1,0,0,0,0,1,0,0,.366,.436,.802,.264
Jun 2,@ LAA,W 3-2,5,1,1,0,0,0,0,0,1,0,0,.363,.431,.794,.262
Jun 3,@ LAA,L 3-1,4,0,2,2,0,0,0,1,1,0,0,.367,.441,.808,.266
Jun 5,vs OAK,W 7-4,4,1,1,0,0,1,2,1,1,0,0,.368,.451,.819,.266
Jun 6,vs OAK,W 8-2,3,0,0,0,0,0,0,1,2,0,0,.366,.445,.811,.263
Jun 7,vs HOU,L 5-2,4,1,2,0,0,0,0,1,2,0,0,.370,.446,.816,.267
Jun 8,vs HOU,L 7-3,3,2,2,0,0,1,1,1,0,0,0,.375,.461,.836,.272
Jun 9,vs HOU,L 4-3,3,0,0,0,0,0,0,3,1,0,0,.378,.455,.833,.268
Jun 10,vs HOU,L 8-7,5,0,1,0,0,0,2,0,1,0,0,.375,.450,.825,.267
Jun 12,@ LAD,L 12-5,5,2,3,0,0,1,1,0,0,0,0,.379,.465,.844,.273
Jun 13,@ LAD,L 3-2,3,0,1,1,0,0,0,3,0,0,0,.384,.467,.851,.274
Jun 15,vs COL,L 9-5,3,0,0,0,0,0,0,1,2,0,0,.383,.462,.845,.271
Jun 16,vs COL,W 5-2,3,0,2,0,0,0,0,1,0,0,0,.387,.464,.851,.275
Jun 17,vs COL,W 13-12,5,1,1,0,0,0,1,0,2,0,0,.384,.459,.843,.274
Jun 18,@ KC,W 6-3,2,2,2,1,0,1,1,3,0,0,0,.394,.478,.872,.279
Jun 19,@ KC,W 4-1,5,0,1,0,0,0,0,0,2,0,0,.391,.473,.864,.278
Jun 20,@ KC,W 3-2,5,1,1,0,0,0,0,0,2,1,0,.388,.468,.856,.277
Jun 22,@ MIN,W 8-1,4,2,2,0,0,1,3,1,2,0,0,.391,.479,.870,.280
Jun 23,@ MIN,W 9-6,4,1,1,1,0,0,1,1,1,0,0,.391,.479,.870,.279
Jun 24,@ MIN,L 2-0,3,0,1,1,0,0,0,1,0,0,0,.393,.481,.874,.280
Jun 25,vs SD,W 7-4,5,0,3,0,0,0,1,0,1,0,0,.395,.483,.878,.285
Jun 26,vs SD,L 3-2,5,0,1,0,0,0,0,0,2,0,0,.393,.479,.872,.284
Jun 27,vs SD,W 5-2,4,0,2,1,0,0,0,0,0,0,0,.396,.482,.878,.287
Jun 29,vs CHW,W 11-3,4,1,1,0,0,1,2,1,0,0,0,.396,.489,.885,.286
Jun 30,vs CHW,W 13-4,Did not play
Jul 1,vs CHW,L 10-5,4,0,0,0,0,0,0,1,1,0,0,.393,.483,.876,.283
Jul 3,vs HOU,L 5-3,3,1,2,0,0,0,1,2,1,0,0,.398,.484,.882,.286
Jul 4,vs HOU,L 5-4,4,1,2,0,0,1,1,0,0,0,0,.399,.494,.893,.289
Jul 5,@ DET,W 7-5,Did not play
Jul 6,@ DET,L 3-1,4,1,2,0,0,1,1,0,1,0,0,.401,.503,.904,.291
Jul 7,@ DET,L 7-2,4,0,2,2,0,0,0,0,1,0,0,.402,.509,.911,.294
Jul 8,@ DET,W 3-0,5,0,1,0,0,0,0,0,0,0,0,.399,.504,.903,.293
Jul 9,@ BOS,L 5-0,Did not play
Jul 10,@ BOS,L 8-4,3,0,0,0,0,0,0,2,1,0,0,.399,.500,.899,.290
Jul 11,@ BOS,L 4-2,Did not play
Jul 13,@ BAL,W 5-4,5,0,1,0,0,0,0,0,3,0,0,.397,.496,.893,.289
Jul 14,@ BAL,L 1-0,2,0,1,0,0,0,0,2,1,0,0,.400,.496,.896,.290
Jul 15,@ BAL,L 6-5,3,2,2,0,0,1,1,2,0,0,0,.405,.506,.911,.293
Jul 20,vs CLE,L 9-8,6,1,2,0,0,0,1,1,1,0,0,.405,.503,.908,.294
Jul 21,vs CLE,L 16-3,4,0,0,0,0,0,0,0,2,0,0,.401,.497,.898,.291
Jul 22,vs CLE,W 5-0,3,0,0,0,0,0,0,1,1,0,0,.400,.493,.893,.288
Jul 23,vs OAK,L 15-3,1,0,0,0,0,0,0,1,1,0,0,.402,.492,.894,.287
Jul 24,vs OAK,L 13-10,4,2,1,0,0,0,0,1,0,0,0,.402,.489,.891,.287
