DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs NYM,W 7-6,5.1,3,3,2,1,3,6,6,7,94,23,55,W(7-7),-,5.34
Jul 11,@ BAL,W 9-0,6.0,3,0,0,0,1,8,6,7,90,22,73,W(6-7),-,5.46
Jul 6,@ TOR,L 6-2,2.0,6,5,5,1,2,4,5,3,62,15,26,L(5-7),-,5.85
Jun 30,vs BOS,L 11-0,2.1,7,6,6,1,2,0,8,6,68,16,17,L(5-6),-,5.44
Jun 23,@ TB,L 4-0,6.2,6,4,4,1,1,7,10,9,101,27,52,L(5-5),-,4.93
Jun 18,@ WSH,W 4-2,5.0,6,2,2,0,1,7,8,6,86,23,53,W(5-4),-,4.89
Jun 13,vs WSH,L 5-4,5.0,7,4,4,1,2,1,11,6,89,20,36,-,-,4.98
Jun 6,@ TOR,W 3-0,8.0,2,0,0,0,2,8,9,7,99,26,84,-,-,4.81
Jun 1,@ BAL,W 4-1,6.0,4,1,1,1,0,6,7,8,90,22,-,W(4-4),-,5.50
May 26,vs LAA,L 11-4,3.2,7,5,5,1,3,7,3,7,86,21,31,L(3-4),-,5.98
May 20,@ KC,W 10-1,8.0,4,1,1,0,1,5,14,8,92,29,74,W(3-3),-,5.48
May 11,vs OAK,L 10-5,5.0,9,5,5,2,3,2,7,15,93,27,28,L(2-3),-,6.39
May 5,vs CLE,W 5-2,6.0,4,2,2,1,2,7,9,6,93,24,61,W(2-2),-,6.00
Apr 30,@ HOU,L 2-1,6.0,4,2,2,0,3,4,7,11,97,25,57,L(1-2),-,6.67
Apr 25,vs MIN,W 7-4,4.2,6,3,3,1,5,4,4,11,104,24,39,-,-,7.71
Apr 20,vs TOR,L 8-5,3.1,5,5,5,1,4,0,4,11,73,19,26,-,-,8.27
Apr 12,@ BOS,L 6-3,3.0,7,6,6,0,2,3,8,7,68,21,-,L(1-1),-,6.92
Apr 7,vs BAL,W 8-3,6.0,4,3,3,0,2,4,12,7,86,25,54,W(1-0),-,3.60
Apr 1,@ TOR,L 7-4,4.0,7,1,1,0,3,8,7,3,89,21,49,-,-,2.25
