DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 3,vs MIA,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 5,vs MIA,W 6-4,0,0,0,0,0,0,0,1,0,0,0,.200,.000,.200,.000
Apr 6,vs MIA,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.167,.000,.167,.000
Apr 7,@ PHI,W 7-6,1,0,1,0,0,0,0,0,0,0,0,.286,.167,.453,.167
Apr 8,@ PHI,L 17-3,1,0,0,0,0,0,0,0,1,0,0,.250,.143,.393,.143
Apr 9,@ PHI,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.167,.091,.258,.091
Apr 10,vs STL,W 14-6,4,3,3,1,0,0,4,0,1,0,0,.294,.333,.627,.267
Apr 11,vs STL,W 8-3,3,0,0,0,0,0,0,0,0,0,0,.250,.278,.528,.222
Apr 12,vs STL,L 6-1,Did not play
Apr 14,vs PHI,W 3-2,Did not play
Apr 15,vs PHI,L 4-2,Did not play
Apr 16,vs PHI,W 6-4,Did not play
Apr 18,@ ATL,W 3-1,Did not play
Apr 19,@ ATL,W 14-4,Did not play
Apr 20,@ ATL,W 3-2,Did not play
Apr 21,@ NYM,W 4-3,Did not play
Apr 22,@ NYM,W 3-1,Did not play
Apr 23,@ NYM,W 6-3,Did not play
Apr 24,@ COL,L 8-4,Did not play
Apr 25,@ COL,W 15-12,Did not play
Apr 26,@ COL,W 11-4,Did not play
Apr 27,@ COL,W 16-5,Did not play
Apr 28,vs NYM,L 7-5,Did not play
Apr 29,vs NYM,L 5-3,Did not play
Apr 30,vs NYM,W 23-5,Did not play
May 2,vs ARI,L 6-3,Did not play
May 3,vs ARI,W 2-1,Did not play
May 4,vs ARI,W 4-2,Did not play
May 5,@ PHI,W 4-2,Did not play
May 6,@ PHI,W 6-2,Did not play
May 7,@ PHI,L 6-5,Did not play
May 8,@ BAL,L 6-4,Did not play
May 9,@ BAL,L 5-4,Did not play
May 10,vs BAL,W 7-6,Did not play
May 13,vs PHI,W 6-4,Did not play
May 14,vs PHI,L 4-3,Did not play
May 14,vs PHI,W 6-5,Did not play
May 16,@ PIT,W 8-4,Did not play
May 17,@ PIT,L 6-1,Did not play
May 18,@ PIT,L 10-4,Did not play
May 19,@ ATL,L 7-4,Did not play
May 20,@ ATL,L 5-2,Did not play
May 21,@ ATL,W 3-2,Did not play
May 23,vs SEA,W 10-1,Did not play
May 24,vs SEA,W 5-1,Did not play
May 25,vs SEA,L 4-2,Did not play
May 26,vs SD,W 5-1,Did not play
May 27,vs SD,W 3-0,Did not play
May 28,vs SD,L 5-3,Did not play
May 29,@ SF,W 3-0,0,0,0,0,0,0,0,1,0,0,0,.286,.278,.564,.222
May 30,@ SF,W 6-3,Did not play
May 31,@ SF,W 3-1,Did not play
Jun 2,@ OAK,W 13-3,Did not play
Jun 3,@ OAK,L 10-4,3,0,0,0,0,0,1,0,0,0,0,.240,.238,.478,.190
Jun 4,@ OAK,W 11-10,Did not play
Jun 5,@ LAD,W 4-2,Did not play
Jun 6,@ LAD,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.231,.227,.458,.182
Jun 7,@ LAD,L 2-1,Did not play
Jun 8,vs BAL,W 6-1,3,2,2,0,0,1,2,1,0,0,0,.300,.400,.700,.240
Jun 9,vs TEX,L 5-2,1,0,1,0,0,0,1,0,0,0,0,.323,.423,.746,.269
