DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,vs ATL,L 8-5,4.2,8,6,6,0,2,6,6,10,98,24,28,L(6-7),-,3.90
Jun 8,vs SF,L 9-5,2.0,5,3,3,1,0,2,2,6,35,10,36,L(6-6),-,3.46
Jun 1,@ ATL,L 4-0,6.2,7,4,3,1,0,10,10,7,107,27,56,L(6-5),-,3.20
May 27,@ MIA,W 5-2,5.0,3,0,0,0,2,8,2,8,103,21,67,W(6-4),-,3.13
May 20,vs LAD,L 7-2,6.2,5,3,3,2,4,7,7,10,115,28,55,L(5-4),-,3.36
May 12,@ ARI,W 2-1,6.2,5,1,1,0,1,9,5,11,106,27,68,W(5-3),-,3.28
May 7,@ SD,W 8-5,7.0,6,3,3,0,1,5,14,5,109,25,57,W(4-3),-,3.52
May 2,vs PIT,W 9-3,7.0,7,3,2,1,1,11,8,9,104,29,63,W(3-3),-,3.47
Apr 27,vs ARI,L 5-4,6.1,6,5,5,1,2,7,5,13,103,27,46,L(2-3),-,3.63
Apr 21,@ LAD,L 4-0,7.0,5,2,2,2,2,10,4,11,107,28,67,L(2-2),-,2.97
Apr 15,vs COL,L 6-5,6.0,4,4,4,1,1,5,9,8,88,23,52,-,-,3.08
Apr 10,vs ATL,W 4-1,8.0,3,0,0,0,2,8,9,9,103,28,82,W(2-1),-,2.21
Apr 5,vs NYM,L 8-2,6.0,5,4,4,2,2,6,9,7,92,25,50,L(1-1),-,3.65
Mar 31,@ CIN,W 13-7,6.1,8,3,1,1,1,7,11,10,99,29,55,W(1-0),-,1.42
