DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 3,vs TB,L 9-6,1.0,2,0,0,0,0,1,0,4,19,5,-,-,-,4.28
Jul 1,vs NYM,L 5-2,1.0,0,2,0,0,2,1,0,3,25,6,-,-,-,4.38
Jun 28,vs ARI,L 4-0,1.0,0,0,0,0,1,1,0,1,14,3,-,-,-,4.50
Jun 27,vs ARI,L 2-1,1.0,0,0,0,0,1,1,1,1,20,4,-,-,-,4.62
Jun 24,@ COL,W 8-5,2.0,0,0,0,0,0,4,0,2,29,6,-,-,-,4.75
Jun 22,@ COL,L 11-3,1.0,1,0,0,0,1,1,1,2,15,5,-,-,-,5.03
Jun 20,@ SF,L 6-5,1.0,2,1,0,0,0,2,0,3,24,5,-,-,-,5.18
Jun 18,@ SF,W 5-4,1.0,0,0,0,0,1,1,1,1,16,4,-,W(1-2),-,5.34
Jun 16,@ BAL,W 5-4,0.2,3,1,1,0,0,2,0,3,23,5,-,-,H(6),5.52
Jun 13,vs SF,W 5-4,1.1,2,1,1,0,2,0,5,1,37,8,-,-,-,5.34
Jun 10,vs SD,L 3-1,2.0,1,0,0,0,0,3,2,2,29,7,-,-,-,5.28
Jun 7,@ STL,L 4-1,1.0,1,0,0,0,0,1,3,0,20,4,-,-,-,5.67
Jun 3,@ ARI,L 6-1,0.2,3,3,3,1,1,1,1,3,23,6,-,-,-,5.88
Jun 1,@ ARI,L 9-1,1.0,1,0,0,0,0,0,1,2,14,3,-,-,-,4.97
May 31,@ SD,L 8-3,1.0,0,0,0,0,1,3,0,0,15,4,-,-,-,5.18
May 29,@ SD,L 9-5,0.0,2,4,3,0,2,0,1,1,16,4,-,-,-,INF
May 27,vs WSH,L 5-2,1.0,1,0,0,0,0,0,3,1,9,4,-,-,-,4.24
May 25,vs WSH,L 9-5,1.0,0,0,0,0,0,1,1,1,13,3,-,-,-,4.43
May 21,@ NYM,L 2-0,1.0,1,0,0,0,1,0,4,0,13,5,-,-,-,4.64
May 20,@ ATL,L 10-9,0.0,2,2,2,0,2,0,0,2,17,4,-,L(0-2),BlSv(1),INF
May 15,vs LAD,W 4-2,1.0,1,1,1,1,0,0,1,3,13,4,-,-,H(5),3.98
May 12,vs ATL,L 10-5,1.0,0,0,0,0,0,0,0,3,12,3,-,-,-,3.72
May 11,vs ATL,W 6-3,1.0,0,0,0,0,0,1,1,1,14,3,-,-,H(4),3.93
May 8,@ CHC,L 4-3,1.0,1,0,0,0,0,0,2,1,8,3,-,-,-,4.15
May 6,@ CIN,W 8-5,1.0,2,1,1,0,0,1,1,3,19,5,-,-,-,4.41
May 1,vs PHI,W 2-1,1.0,1,0,0,0,0,2,1,1,14,5,-,-,-,4.11
Apr 30,vs PHI,W 8-4,1.0,0,0,0,0,0,2,0,1,12,3,-,-,-,4.40
Apr 28,vs COL,W 4-1,1.0,0,0,0,0,0,1,2,0,8,3,-,-,H(3),4.73
Apr 24,@ LAD,W 3-2,0.1,0,0,0,0,2,0,0,1,15,3,-,-,-,5.11
Apr 23,@ LAD,L 2-1,1.0,0,0,0,0,1,3,0,0,18,4,-,-,-,5.25
Apr 20,@ MIL,L 8-0,1.1,0,0,0,0,1,4,0,0,24,5,-,-,-,5.73
Apr 17,@ NYY,W 9-1,1.0,1,0,0,0,2,3,0,1,25,6,-,-,-,6.52
Apr 15,vs PIT,L 7-3,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,7.27
Apr 13,vs PIT,W 7-2,1.0,1,0,0,0,1,1,2,1,22,5,-,-,H(2),8.22
Apr 11,vs NYM,L 4-1,0.1,0,1,1,0,0,1,0,0,4,2,-,-,H(1),9.45
Apr 9,vs NYM,L 4-2,1.0,0,0,0,0,0,1,2,0,9,3,-,-,-,8.53
Apr 7,@ PHI,L 20-1,1.0,4,2,2,0,0,1,3,3,20,7,-,-,-,10.13
Apr 5,@ PHI,L 5-0,1.0,0,0,0,0,1,3,0,0,27,4,-,-,-,8.31
Apr 3,vs BOS,L 4-2,1.0,3,2,2,0,1,0,4,2,17,7,-,L(0-1),-,10.80
Apr 1,vs CHC,W 6-0,1.0,1,0,0,0,0,1,3,0,18,4,-,-,-,7.71
Mar 29,vs CHC,L 8-4,1.1,2,3,2,1,0,4,0,2,37,7,-,-,-,13.50
