DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs STL,W 9-4,4,1,1,0,0,0,0,1,1,0,0,.400,.250,.650,.250
Mar 31,vs STL,W 6-2,3,0,1,1,0,0,3,0,0,0,0,.400,.429,.829,.286
Apr 1,vs STL,L 5-1,3,0,0,0,0,0,0,1,2,0,0,.357,.300,.657,.200
Apr 3,vs PHI,W 2-0,4,1,2,1,0,0,1,0,1,0,0,.389,.429,.818,.286
Apr 4,vs PHI,W 4-2,3,0,0,0,0,0,0,1,1,0,0,.364,.353,.717,.235
Apr 5,@ WSH,W 8-2,4,0,0,0,0,0,0,0,0,0,0,.308,.286,.594,.190
Apr 7,@ WSH,W 3-2,3,1,1,1,0,0,1,1,1,0,0,.333,.333,.666,.208
Apr 8,@ WSH,W 6-5,3,1,1,0,0,0,0,2,2,1,0,.371,.333,.704,.222
Apr 9,@ MIA,W 4-2,2,1,0,0,0,0,0,2,0,0,0,.385,.310,.695,.207
Apr 10,@ MIA,W 8-6,4,1,1,1,0,0,0,1,1,0,0,.386,.333,.719,.212
Apr 11,@ MIA,W 4-1,3,0,1,0,0,0,1,0,0,0,0,.375,.333,.708,.222
Apr 13,vs MIL,W 6-5,3,2,3,0,0,2,2,1,0,0,0,.423,.538,.961,.282
Apr 14,vs MIL,L 5-1,2,0,1,0,0,0,0,1,0,0,0,.436,.537,.973,.293
Apr 15,vs MIL,W 3-2,3,0,1,0,0,0,1,2,2,0,0,.450,.523,.973,.295
Apr 16,vs WSH,L 8-6,4,0,2,1,0,0,2,0,2,0,0,.453,.542,.995,.313
Apr 17,vs WSH,L 5-2,5,0,0,0,0,0,0,0,4,0,0,.420,.491,.911,.283
Apr 18,vs WSH,W 11-5,2,2,1,0,0,0,2,2,0,0,0,.438,.491,.929,.291
Apr 19,@ ATL,L 12-4,3,1,1,0,0,1,1,0,1,0,0,.434,.534,.968,.293
Apr 20,@ ATL,W 5-3,4,1,0,0,0,0,0,1,1,1,0,.420,.500,.920,.274
Apr 21,@ ATL,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.400,.470,.870,.258
Apr 24,@ STL,W 6-5,3,2,1,0,0,0,0,2,1,0,0,.411,.464,.875,.261
Apr 25,@ STL,L 9-1,3,0,1,0,0,0,0,1,1,0,0,.415,.458,.873,.264
Apr 26,@ STL,L 4-3,5,0,1,0,0,0,0,0,1,0,0,.410,.442,.852,.260
Apr 27,@ SD,W 5-1,5,0,1,0,0,0,1,0,3,0,0,.400,.427,.827,.256
Apr 28,@ SD,L 12-2,3,0,0,0,0,0,0,0,0,0,0,.389,.412,.801,.247
Apr 29,@ SD,W 14-2,5,2,2,0,0,1,2,1,1,0,0,.395,.444,.839,.256
May 1,vs ATL,L 3-2,4,1,2,0,0,0,0,0,0,0,0,.398,.447,.845,.266
May 2,vs ATL,L 7-0,4,0,0,0,0,0,0,0,1,0,0,.385,.429,.814,.255
May 3,vs ATL,L 11-0,Did not play
May 4,vs COL,L 8-7,5,1,2,0,0,1,3,0,1,1,0,.386,.456,.842,.262
May 5,vs COL,L 2-0,3,0,0,0,0,0,0,1,1,0,0,.382,.443,.825,.255
May 6,vs COL,L 3-2,3,0,0,0,0,0,1,0,1,0,0,.370,.431,.801,.248
May 7,@ CIN,W 7-6,5,0,0,0,0,0,0,0,2,0,0,.357,.412,.769,.237
May 8,@ CIN,L 7-2,Did not play
May 9,@ CIN,L 2-1,Did not play
May 11,@ PHI,W 3-1,Did not play
May 13,@ PHI,L 4-2,Did not play
May 15,vs TOR,W 12-2,Did not play
May 16,vs TOR,L 12-1,Did not play
May 18,vs ARI,W 3-1,Did not play
May 19,vs ARI,W 5-4,Did not play
May 20,vs ARI,W 4-1,Did not play
May 21,vs MIA,W 2-0,Did not play
May 22,vs MIA,L 5-1,Did not play
May 23,vs MIA,L 2-1,Did not play
May 24,@ MIL,W 5-0,Did not play
May 25,@ MIL,L 4-3,Did not play
May 26,@ MIL,L 17-6,Did not play
May 27,@ MIL,L 8-7,Did not play
May 28,@ ATL,L 4-3,Did not play
May 28,@ ATL,W 8-5,Did not play
May 29,@ ATL,L 7-6,Did not play
May 30,@ ATL,W 4-1,Did not play
May 31,vs CHC,L 5-1,Did not play
Jun 1,vs CHC,L 7-4,Did not play
Jun 2,vs CHC,L 7-1,Did not play
Jun 3,vs CHC,L 2-0,Did not play
Jun 5,vs BAL,L 2-1,4,0,0,0,0,0,0,0,0,0,0,.347,.398,.745,.229
Jun 6,vs BAL,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.345,.393,.738,.230
Jun 8,vs NYY,L 4-1,4,0,1,0,0,0,0,0,1,0,0,.342,.389,.731,.230
Jun 9,vs NYY,L 4-3,4,1,1,0,0,1,1,0,3,0,0,.340,.408,.748,.231
Jun 10,vs NYY,W 2-0,4,1,2,0,0,1,2,0,1,1,0,.344,.433,.777,.239
Jun 12,@ ATL,L 8-2,3,1,0,0,0,0,0,1,2,0,0,.341,.423,.764,.234
Jun 13,@ ATL,L 2-0,4,0,0,0,0,0,0,0,3,0,0,.333,.411,.744,.227
Jun 14,@ ARI,L 6-3,4,0,0,0,0,0,0,0,0,0,0,.326,.400,.726,.221
Jun 15,@ ARI,L 7-3,4,0,1,1,0,0,1,0,1,0,0,.324,.403,.727,.221
Jun 16,@ ARI,W 5-1,3,0,1,1,0,0,0,2,1,0,0,.331,.408,.739,.224
Jun 17,@ ARI,W 5-3,4,0,1,0,0,0,1,0,0,0,0,.328,.404,.732,.224
Jun 18,@ COL,W 12-2,5,1,1,0,0,0,0,0,0,0,0,.325,.398,.723,.224
Jun 19,@ COL,L 10-8,3,0,0,0,0,0,1,0,0,0,0,.318,.390,.708,.220
Jun 20,@ COL,L 10-8,5,0,1,0,0,0,1,0,0,0,0,.315,.385,.700,.219
Jun 21,@ COL,L 6-4,4,2,2,0,0,1,1,0,1,0,0,.319,.405,.724,.225
Jun 22,vs LAD,L 5-2,4,0,0,0,0,0,0,0,1,0,0,.313,.395,.708,.220
Jun 23,vs LAD,L 8-3,5,0,2,0,0,0,0,0,3,1,0,.315,.396,.711,.225
Jun 24,vs LAD,L 8-7,6,0,1,0,0,0,0,0,2,0,0,.311,.388,.699,.223
