DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 6,@ PIT,L 11-9,0.0,0,0,0,0,1,0,0,0,6,1,-,-,-,4.84
Jun 3,@ COL,W 10-7,1.1,0,0,0,0,0,2,0,2,19,4,-,W(1-2),-,4.84
Jun 1,@ COL,W 11-8,0.2,0,0,0,0,0,1,1,0,14,2,-,-,H(11),5.14
May 31,vs PHI,L 2-1,1.0,0,0,0,0,0,3,0,0,13,3,-,-,-,5.31
May 29,vs PHI,L 6-1,1.0,1,0,0,0,0,1,1,1,10,3,-,-,-,5.59
May 27,vs SD,W 6-1,1.0,1,0,0,0,0,1,1,2,20,4,-,-,H(10),5.89
May 25,vs SD,W 4-1,1.0,0,0,0,0,0,2,1,0,10,3,-,-,H(9),6.23
May 22,vs COL,W 5-3,1.0,0,0,0,0,0,1,0,2,13,3,-,-,H(8),6.61
May 20,@ WSH,W 7-2,1.0,0,0,0,0,0,3,0,0,19,3,-,-,H(7),7.04
May 19,@ WSH,W 5-4,0.1,1,3,3,0,1,0,0,2,10,4,-,-,H(6),7.53
May 8,vs ARI,L 8-5,1.0,1,0,0,0,0,0,2,1,14,3,-,-,-,5.79
May 6,@ SD,L 3-0,1.0,3,2,2,1,0,1,3,2,21,6,-,L(0-2),-,6.23
May 4,@ SD,W 4-0,1.0,0,0,0,0,2,1,1,1,24,5,-,-,-,5.25
May 2,@ ARI,W 2-1,1.0,1,0,0,0,0,2,1,1,19,4,-,-,H(5),5.73
Apr 30,@ ARI,L 8-5,0.1,0,0,0,0,1,1,1,0,11,4,-,-,-,6.30
Apr 27,@ SF,L 6-4,0.1,3,4,4,0,1,0,4,0,21,5,-,L(0-1),BlSv(2),6.52
Apr 24,vs MIA,L 3-2,1.0,2,1,1,0,0,2,1,2,24,5,-,-,BlSv(1),2.89
Apr 22,vs WSH,W 4-3,0.1,0,0,0,0,0,1,0,0,6,1,-,-,H(4),2.16
Apr 21,vs WSH,W 4-0,1.0,0,0,0,0,0,2,1,0,12,3,-,-,H(3),2.25
Apr 17,@ SD,W 7-3,0.1,0,0,0,0,0,1,0,0,3,1,-,-,H(2),2.57
Apr 16,@ SD,W 10-3,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,2.70
Apr 13,vs ARI,L 8-7,1.0,2,2,2,1,0,3,1,1,27,5,-,-,-,3.18
Apr 10,vs OAK,W 4-0,1.0,1,0,0,0,0,1,3,0,15,4,-,-,-,0.00
Apr 8,@ SF,W 2-1,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,0.00
Apr 7,@ SF,L 7-5,0.2,1,0,0,0,0,2,0,1,10,3,-,-,-,0.00
Apr 2,@ ARI,L 8-7,0.2,0,0,0,0,0,1,1,0,12,2,-,-,H(1),0.00
Apr 1,vs SF,W 9-0,1.0,0,0,0,0,0,1,2,0,14,3,-,-,-,0.00
Mar 29,vs SF,L 1-0,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,0.00
