DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ LAA,W 7-0,1.0,2,0,0,0,0,1,1,3,21,5,-,-,-,1.85
Jul 15,vs DET,L 6-3,1.0,0,0,0,0,0,3,0,0,16,3,-,-,-,1.93
Jul 13,vs DET,W 3-0,1.0,1,0,0,0,0,2,1,1,15,4,-,-,H(2),2.01
Jul 11,vs OAK,L 8-3,1.1,0,0,0,0,0,3,1,0,19,4,-,-,-,2.11
Jul 3,@ TEX,W 5-3,0.1,0,0,0,0,0,0,1,0,3,1,-,-,H(1),2.25
Jun 30,@ TB,L 5-2,1.0,0,0,0,0,1,1,1,0,13,3,-,-,-,2.29
Jun 24,vs KC,W 11-3,1.0,2,1,1,0,0,1,1,3,20,6,-,-,-,2.41
Jun 23,vs KC,W 4-3,1.0,0,0,0,0,0,0,2,0,10,2,-,-,-,2.04
Jun 17,@ KC,W 7-4,1.0,0,0,0,0,1,0,2,1,12,4,-,W(2-0),-,2.16
Jun 15,@ KC,W 7-3,1.0,1,0,0,0,0,2,1,1,12,4,-,-,-,2.30
Jun 10,@ TEX,W 8-7,1.0,1,0,0,0,0,0,2,1,18,3,-,-,-,2.45
Jun 9,@ TEX,W 4-3,1.0,0,0,0,0,1,3,0,0,20,4,-,W(1-0),-,2.63
Jun 3,vs BOS,L 9-3,1.0,0,0,0,0,0,1,0,1,12,2,-,-,-,2.84
Jun 2,vs BOS,L 5-4,1.1,0,0,0,0,0,2,0,2,14,4,-,-,-,3.09
May 29,@ NYY,L 6-5,0.0,1,0,0,0,0,0,1,0,4,1,-,-,-,3.48
May 26,@ CLE,L 8-6,0.2,0,0,0,0,0,1,1,0,8,2,-,-,-,3.48
May 25,@ CLE,W 11-2,1.0,1,0,0,0,1,0,2,2,25,5,-,-,-,3.72
May 22,vs SF,W 11-2,0.1,1,0,0,0,1,0,1,1,16,3,-,-,-,4.15
May 19,vs CLE,L 5-4,1.0,0,0,0,0,0,0,2,1,9,3,-,-,-,4.32
May 13,vs TEX,W 6-1,0.1,0,0,0,0,0,0,1,0,3,1,-,-,-,4.91
May 11,vs TEX,L 1-0,0.2,0,0,0,0,0,1,0,0,8,1,-,-,-,5.14
May 7,@ OAK,W 16-2,1.0,3,1,1,0,0,1,1,4,18,6,-,-,-,5.68
Apr 28,vs OAK,W 11-0,1.0,0,0,0,0,0,1,0,2,10,3,-,-,-,5.06
Apr 27,vs OAK,L 8-1,0.1,0,0,0,0,0,0,0,1,5,1,-,-,-,6.23
Apr 21,@ CHW,W 10-1,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,6.75
Apr 19,@ SEA,W 9-2,0.2,1,2,2,0,1,0,1,2,15,4,-,-,-,9.00
Apr 6,vs SD,L 4-1,0.2,1,0,0,0,0,0,1,2,13,3,-,-,-,3.86
Mar 31,@ TEX,W 9-3,1.2,1,1,1,0,2,2,2,2,32,8,-,-,-,5.40
