DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ CIN,W 2-0,3,0,0,0,0,0,0,1,0,0,0,.250,.000,.250,.000
Mar 31,@ CIN,W 13-7,4,2,2,0,0,1,1,1,0,0,0,.444,.714,1.158,.286
Apr 1,@ CIN,W 6-5,4,0,1,0,0,0,0,1,1,1,0,.429,.545,.974,.273
Apr 2,@ ATL,W 8-1,5,1,1,0,0,0,0,1,1,0,0,.400,.438,.838,.250
Apr 3,@ ATL,L 13-6,4,0,1,0,0,0,0,1,1,2,0,.400,.400,.800,.250
Apr 4,@ ATL,L 7-1,3,0,1,0,0,0,0,1,1,0,0,.414,.391,.805,.261
Apr 5,vs NYM,L 8-2,3,0,0,0,0,0,0,0,3,0,0,.375,.346,.721,.231
Apr 7,vs NYM,L 3-2,3,0,1,0,0,0,0,1,0,1,0,.389,.345,.734,.241
Apr 8,vs NYM,L 6-5,5,1,1,0,0,0,1,1,0,1,0,.381,.324,.705,.235
Apr 9,vs ATL,W 2-0,3,0,0,0,0,0,0,1,1,0,0,.370,.297,.667,.216
Apr 10,vs ATL,W 4-1,4,0,0,0,0,0,0,0,2,0,0,.340,.268,.608,.195
Apr 11,vs ATL,L 5-3,5,0,2,0,0,0,1,0,1,0,0,.345,.283,.628,.217
Apr 12,vs COL,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.322,.260,.582,.200
Apr 13,vs COL,L 2-1,3,0,1,1,0,0,0,1,1,0,0,.333,.283,.616,.208
Apr 14,vs COL,W 6-2,4,0,1,0,0,0,0,1,0,1,0,.338,.281,.619,.211
Apr 15,vs COL,L 6-5,2,1,0,0,0,0,0,3,1,0,0,.356,.271,.627,.203
Apr 16,@ NYM,W 8-6,5,1,2,0,0,0,0,0,0,1,0,.359,.281,.640,.219
Apr 17,@ NYM,W 5-2,4,2,3,2,0,0,0,1,0,1,0,.386,.338,.724,.250
Apr 18,@ NYM,L 11-5,4,0,0,0,0,0,0,0,2,0,0,.368,.319,.687,.236
Apr 20,@ LAD,W 5-2,5,1,2,1,0,0,1,0,0,0,0,.370,.338,.708,.247
Apr 21,@ LAD,L 4-0,4,0,1,0,0,0,0,0,0,0,0,.365,.333,.698,.247
Apr 22,@ LAD,L 4-3,5,0,0,0,0,0,0,0,2,0,0,.347,.314,.661,.233
Apr 23,@ SF,L 4-2,5,1,2,0,1,0,0,0,2,1,0,.349,.341,.690,.242
