DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs PIT,W 4-0,7.0,2,0,0,0,2,10,6,4,102,26,81,W(9-6),-,2.32
Jul 20,@ TEX,W 9-8,4.0,9,4,4,0,5,7,8,5,102,25,-,-,-,2.44
Jul 15,vs NYY,W 5-2,7.0,7,2,2,1,1,7,5,16,110,29,61,-,-,2.24
Jul 10,vs CIN,L 7-4,8.0,3,0,0,0,4,12,6,8,111,30,84,-,-,2.23
Jul 4,@ KC,W 3-2,7.2,7,2,1,0,1,8,6,14,108,30,-,W(8-6),-,2.37
Jun 29,@ OAK,L 3-1,6.2,6,2,2,0,1,8,10,8,108,27,61,L(7-6),-,2.45
Jun 23,vs DET,W 4-1,6.1,5,1,1,0,2,11,5,7,112,27,68,W(7-5),-,2.44
Jun 18,vs CHW,W 6-2,7.0,3,0,0,0,2,8,7,8,100,25,77,W(6-5),-,2.50
Jun 13,@ CHW,L 3-2,7.2,4,3,3,0,2,12,7,8,118,29,69,L(5-5),-,2.69
Jun 8,@ DET,W 4-1,8.0,7,1,1,0,1,12,7,12,113,32,75,W(5-4),-,2.62
Jun 2,@ MIN,L 7-1,5.2,6,7,3,1,3,11,6,7,104,27,-,L(4-4),-,2.77
May 27,vs HOU,W 10-9,7.1,5,4,4,1,2,13,5,9,127,29,63,-,-,2.61
May 22,@ CHC,W 10-1,6.0,7,0,0,0,2,6,7,11,103,26,62,W(4-3),-,2.35
May 16,@ DET,W 6-0,8.0,4,0,0,0,0,10,9,7,108,26,84,W(3-3),-,2.59
May 11,vs KC,L 10-9,4.2,11,5,4,0,2,3,12,10,109,27,25,-,-,3.00
May 5,@ NYY,L 5-2,6.0,2,4,2,0,3,8,6,7,102,24,61,L(2-3),-,2.53
Apr 30,vs TEX,W 7-5,6.2,4,2,2,1,3,11,8,4,122,26,-,-,-,2.45
Apr 25,vs CHC,W 4-1,6.2,4,1,1,0,3,8,8,9,111,29,67,W(2-2),-,2.41
Apr 20,@ BAL,L 3-1,7.0,5,3,3,1,3,6,11,8,116,29,58,L(1-2),-,2.67
Apr 12,vs DET,W 9-3,7.0,7,2,2,0,2,7,10,12,105,32,60,W(1-1),-,2.25
Apr 7,vs KC,L 1-0,8.0,3,1,1,1,2,7,7,13,100,29,77,L(0-1),-,2.08
Apr 1,@ SEA,L 5-4,5.0,5,2,2,0,3,7,5,8,101,24,53,-,-,3.60
