DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs MIN,W 3-2,4,1,1,0,0,0,0,0,1,0,0,.250,.250,.500,.250
Mar 31,vs MIN,L 6-2,2,0,0,0,0,0,0,2,1,0,0,.375,.167,.542,.167
Apr 1,vs MIN,L 7-0,3,0,0,0,0,0,0,0,0,0,0,.273,.111,.384,.111
Apr 2,@ HOU,L 6-1,4,1,1,0,0,1,1,0,2,0,0,.267,.385,.652,.154
Apr 3,@ HOU,L 10-6,3,0,0,0,0,0,1,1,0,0,0,.250,.313,.563,.125
Apr 4,@ HOU,L 3-2,4,0,1,0,0,0,0,0,0,0,0,.250,.300,.550,.150
Apr 5,@ NYY,W 5-2,5,0,3,0,0,0,2,0,1,0,0,.310,.360,.670,.240
Apr 6,@ NYY,W 7-3,5,1,0,0,0,0,0,2,1,0,0,.306,.300,.606,.200
Apr 7,@ NYY,L 8-3,4,1,2,1,0,0,0,0,0,0,0,.325,.353,.678,.235
Apr 8,@ NYY,W 8-7,5,0,1,0,0,0,0,1,2,0,0,.326,.333,.659,.231
Apr 9,vs TOR,L 7-1,4,0,3,0,0,0,0,1,1,0,0,.373,.372,.745,.279
Apr 10,vs TOR,L 2-1,4,0,0,0,0,0,0,0,0,0,0,.345,.340,.685,.255
Apr 11,vs TOR,W 5-3,4,0,1,0,0,0,0,1,1,0,0,.350,.333,.683,.255
Apr 13,@ BOS,L 7-3,4,2,2,0,0,0,0,1,1,0,0,.369,.345,.714,.273
Apr 14,@ BOS,L 10-3,4,0,2,1,0,0,0,0,0,0,0,.377,.373,.750,.288
Apr 15,@ BOS,L 3-1,4,1,1,0,0,0,0,0,1,0,0,.370,.365,.735,.286
Apr 17,@ DET,L 4-2,4,1,2,0,0,1,1,0,2,0,0,.377,.418,.795,.299
Apr 18,@ DET,L 6-5,5,1,1,1,0,0,0,0,1,0,0,.366,.417,.783,.292
Apr 19,@ DET,L 13-8,5,1,1,1,0,0,0,0,2,0,0,.356,.416,.772,.286
