DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Sep 30,vs DET,L 6-2,0.2,1,0,0,0,0,0,0,3,9,3,-,-,-,5.88
Sep 27,vs PHI,W 7-6,2.0,2,0,0,0,1,2,2,3,36,8,-,-,-,5.96
Aug 20,vs WSH,L 11-9,3.1,8,9,9,3,2,3,6,9,76,20,9,L(2-4),-,6.20
Aug 14,@ WSH,L 9-1,4.2,6,7,7,1,3,1,9,10,84,23,22,L(2-3),-,4.89
Aug 9,@ MIL,W 2-1,6.0,3,1,1,1,3,3,11,4,77,21,62,W(2-2),-,3.92
Aug 4,vs PIT,W 5-2,6.0,3,1,1,0,4,2,9,9,105,24,60,-,-,4.33
Jul 29,vs PHI,W 2-1,6.0,4,1,0,0,4,4,9,9,90,26,62,W(1-2),-,4.91
Jul 24,@ COL,L 7-2,3.1,8,7,7,3,5,2,4,12,87,23,13,L(0-2),-,6.17
Jul 19,@ CIN,W 5-4,6.0,4,2,2,1,4,2,11,8,107,26,54,-,-,4.05
Jul 6,@ PHI,L 4-3,4.2,4,1,1,0,1,1,12,4,64,18,52,-,-,4.50
Jul 3,vs MIA,L 5-2,2.0,3,2,2,1,2,1,4,4,43,11,-,-,-,5.79
Jun 30,vs MIA,W 8-5,2.1,2,0,0,0,3,2,5,2,46,12,-,-,-,4.91
Jun 27,vs CLE,L 8-3,4.0,6,4,4,1,1,3,4,10,54,18,-,L(0-1),-,7.20
Jun 22,@ MIA,L 3-0,1.0,1,0,0,0,0,0,4,0,16,4,-,-,-,0.00
