DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,Did not play
Mar 30,@ MIA,L 2-1,2,0,0,0,0,0,0,1,1,0,0,.333,.000,.333,.000
Mar 31,@ MIA,W 10-6,1,1,0,0,0,0,0,0,0,0,0,.250,.000,.250,.000
Apr 1,@ MIA,L 6-0,4,0,0,0,0,0,0,0,1,0,0,.125,.000,.125,.000
Apr 2,@ CIN,L 1-0,Did not play
Apr 5,@ MIL,W 8-0,Did not play
Apr 6,@ MIL,L 5-4,4,0,1,0,0,0,1,0,1,0,0,.167,.091,.258,.091
Apr 7,@ MIL,W 5-2,4,0,2,1,0,0,0,0,1,0,0,.250,.267,.517,.200
Apr 8,@ MIL,W 3-0,4,1,1,0,0,0,0,0,2,0,0,.250,.263,.513,.211
Apr 10,vs PIT,L 8-5,Did not play
Apr 11,vs PIT,W 13-5,4,2,2,2,0,0,0,0,1,0,0,.320,.391,.711,.261
Apr 12,vs PIT,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.310,.370,.680,.259
Apr 13,vs ATL,L 4-0,Did not play
Apr 14,vs ATL,W 14-10,0,0,0,0,0,0,0,0,0,0,0,.310,.370,.680,.259
Apr 17,vs STL,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.300,.357,.657,.250
Apr 19,vs STL,W 8-5,Did not play
Apr 20,@ COL,W 16-5,Did not play
Apr 21,@ COL,L 5-2,Did not play
Apr 22,@ COL,W 9-7,4,0,1,0,0,0,1,1,2,0,0,.314,.344,.658,.250
Apr 24,@ CLE,W 10-3,Did not play
Apr 25,@ CLE,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.306,.333,.639,.242
Apr 26,vs MIL,W 1-0,3,0,2,0,0,0,0,0,1,0,0,.333,.361,.694,.278
Apr 27,vs MIL,W 3-2,1,0,1,0,0,0,0,0,0,0,0,.350,.378,.728,.297
Apr 28,vs MIL,W 3-0,Did not play
Apr 29,vs MIL,W 2-0,Did not play
Apr 30,vs COL,W 3-2,Did not play
May 1,vs COL,L 3-1,3,0,0,0,0,0,0,0,1,0,0,.326,.350,.676,.275
May 2,vs COL,L 11-2,1,0,0,0,0,0,0,0,0,0,0,.318,.341,.659,.268
May 4,@ STL,L 3-2,1,0,1,0,0,0,0,0,0,0,0,.333,.357,.690,.286
May 5,@ STL,L 8-6,1,0,0,0,0,0,0,0,0,0,0,.326,.349,.675,.279
May 6,@ STL,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.319,.341,.660,.273
May 7,vs MIA,W 14-2,4,2,2,0,0,0,0,1,1,0,0,.346,.354,.700,.292
May 8,vs MIA,W 4-3,4,1,1,0,0,0,2,0,0,0,0,.339,.346,.685,.288
May 9,vs MIA,W 13-4,Did not play
May 11,vs CHW,W 11-2,1,0,0,0,0,0,0,0,1,0,0,.333,.340,.673,.283
May 12,vs CHW,W 8-4,Did not play
May 13,vs CHW,L 5-3,Did not play
May 14,vs ATL,L 6-5,4,1,1,0,0,0,0,0,0,0,0,.328,.333,.661,.281
May 15,@ ATL,W 3-2,Did not play
May 16,@ ATL,L 4-1,Did not play
May 18,@ CIN,W 8-1,Did not play
May 19,@ CIN,L 5-4,6,0,1,0,0,0,0,0,1,0,0,.313,.317,.630,.270
May 19,@ CIN,W 10-0,0,0,0,0,0,0,0,0,0,0,0,.313,.317,.630,.270
May 20,@ CIN,W 6-1,1,0,0,0,0,0,0,0,0,0,0,.309,.313,.622,.266
May 22,vs CLE,L 10-1,1,0,0,0,0,0,0,0,1,0,0,.304,.308,.612,.262
May 23,vs CLE,L 1-0,Did not play
May 25,vs SF,W 6-2,Did not play
Jul 4,vs DET,W 5-2,1,0,0,0,0,0,0,2,0,0,0,.319,.303,.622,.258
Jul 6,vs CIN,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.315,.299,.614,.254
Jul 7,vs CIN,W 8-7,3,2,2,1,0,0,1,1,0,0,0,.338,.329,.667,.271
Jul 8,vs CIN,W 6-5,1,0,0,0,0,0,0,0,1,0,0,.333,.324,.657,.268
Jul 9,@ SF,L 2-1,0,0,0,0,0,0,0,0,0,0,0,.333,.324,.657,.268
Jul 10,@ SF,W 2-0,3,0,1,1,0,0,1,0,1,0,0,.333,.338,.671,.270
Jul 11,@ SF,L 5-4,6,0,2,0,0,0,0,0,2,0,0,.333,.338,.671,.275
Jul 13,@ SD,W 5-4,0,0,0,0,0,0,0,0,0,0,0,.341,.338,.679,.275
Jul 14,@ SD,W 11-6,4,0,1,1,0,0,2,0,1,0,0,.337,.345,.682,.274
Jul 15,@ SD,W 7-4,Did not play
Jul 19,vs STL,W 9-6,3,3,3,0,0,0,1,1,0,0,0,.365,.368,.733,.299
Jul 20,vs STL,L 18-5,2,0,0,0,0,0,0,0,2,0,0,.357,.360,.717,.292
Jul 21,vs STL,W 7-2,3,0,0,0,0,0,1,0,0,0,0,.343,.348,.691,.283
Jul 21,vs STL,L 6-3,Did not play
Jul 22,vs STL,W 7-2,Did not play
Jul 23,vs ARI,L 7-1,1,0,0,0,0,0,0,0,0,0,0,.340,.344,.684,.280
Jul 24,vs ARI,L 5-1,2,0,1,0,0,0,0,1,0,0,0,.349,.347,.696,.284
