DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ LAA,W 5-3,0.2,0,0,0,0,1,1,0,1,9,3,-,-,H(5),1.35
Jul 13,vs KC,W 9-6,0.2,1,2,1,0,1,0,3,1,20,5,-,-,H(4),1.42
Jul 5,@ HOU,L 4-3,0.1,0,0,0,0,0,0,1,0,1,1,-,-,H(3),0.75
Jul 4,@ CIN,L 7-4,1.0,1,0,0,0,0,0,1,3,14,4,-,-,-,0.77
Jul 3,@ CIN,W 12-8,1.0,0,0,0,0,0,2,1,0,19,3,-,-,-,0.84
Jul 1,@ TEX,W 10-5,0.1,1,1,1,0,2,0,1,1,17,4,-,-,-,0.93
Jun 28,vs MIN,L 2-1,1.0,1,0,0,0,0,1,1,2,14,4,-,-,-,0.00
Jun 27,vs MIN,W 6-1,1.0,0,0,0,0,0,1,1,1,20,3,-,-,-,0.00
Jun 24,vs OAK,W 10-3,1.0,0,0,0,0,2,0,2,0,26,4,-,-,-,0.00
Jun 22,vs OAK,W 6-4,1.0,0,0,0,0,0,1,1,1,10,3,-,-,H(2),0.00
Jun 19,@ CLE,L 6-3,1.0,1,0,0,0,1,2,0,1,16,4,-,-,-,0.00
Jun 16,vs DET,L 7-5,0.2,0,0,0,0,0,2,0,0,8,2,-,-,-,0.00
Jun 15,vs DET,L 4-3,0.1,0,0,0,0,0,1,0,0,5,1,-,-,-,0.00
Jun 12,vs CLE,W 5-1,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(1),0.00
Jun 11,vs CLE,L 4-0,1.0,1,0,0,0,0,1,2,1,16,4,-,-,-,0.00
Jun 9,@ BOS,L 4-2,1.0,0,0,0,0,0,3,0,0,15,3,-,-,-,0.00
Jun 7,@ MIN,L 7-2,1.0,0,0,0,0,1,0,2,0,10,3,-,-,-,0.00
