DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,vs CHC,W 2-1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 31,vs CHC,L 10-6,Did not play
Apr 1,vs CHC,W 6-0,4,1,1,0,0,0,0,0,0,0,0,.167,.167,.334,.167
Apr 2,vs BOS,L 7-3,2,0,0,0,0,0,0,0,1,0,0,.125,.125,.250,.125
Apr 3,vs BOS,L 4-2,0,0,0,0,0,0,0,1,0,0,0,.222,.125,.347,.125
Apr 5,@ PHI,L 5-0,Did not play
Apr 7,@ PHI,L 20-1,1,0,0,0,0,0,0,0,0,0,0,.200,.111,.311,.111
Apr 8,@ PHI,W 6-3,1,0,0,0,0,0,0,0,1,0,0,.182,.100,.282,.100
Apr 9,vs NYM,L 4-2,1,0,0,0,0,0,0,0,0,0,0,.167,.091,.258,.091
Apr 10,vs NYM,L 8-6,1,1,1,0,0,0,0,0,0,0,0,.231,.167,.398,.167
Apr 11,vs NYM,L 4-1,0,0,0,0,0,0,0,0,0,0,0,.231,.167,.398,.167
Apr 13,vs PIT,W 7-2,Did not play
Apr 14,vs PIT,L 1-0,Did not play
Apr 15,vs PIT,L 7-3,Did not play
Apr 16,@ NYY,L 12-1,0,0,0,0,0,0,0,1,0,0,0,.286,.167,.453,.167
Apr 17,@ NYY,W 9-1,0,0,0,0,0,0,0,0,0,0,0,.286,.167,.453,.167
Apr 19,@ MIL,L 12-3,0,0,0,0,0,0,0,0,0,0,0,.286,.167,.453,.167
Apr 20,@ MIL,L 8-0,Did not play
Apr 21,@ MIL,L 6-5,0,0,0,0,0,0,0,0,0,0,0,.286,.167,.453,.167
Apr 22,@ MIL,L 4-2,3,0,0,0,0,0,0,0,1,0,0,.235,.133,.368,.133
Apr 23,@ LAD,L 2-1,2,0,0,0,0,0,0,0,1,0,0,.211,.118,.329,.118
Apr 24,@ LAD,W 3-2,0,0,0,0,0,0,0,0,0,0,0,.211,.118,.329,.118
Apr 25,@ LAD,W 8-6,1,0,0,0,0,0,0,0,1,0,0,.200,.111,.311,.111
Apr 27,vs COL,L 1-0,Did not play
Apr 28,vs COL,W 4-1,1,0,0,0,0,0,0,0,1,0,0,.190,.105,.295,.105
Apr 29,vs COL,W 3-0,Did not play
Apr 30,vs PHI,W 8-4,1,0,0,0,0,0,0,0,1,0,0,.182,.100,.282,.100
May 1,vs PHI,W 2-1,1,0,1,0,0,0,1,0,0,0,0,.217,.143,.360,.143
May 2,vs PHI,L 6-0,2,0,0,0,0,0,0,0,2,0,0,.200,.130,.330,.130
May 4,@ CIN,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.192,.125,.317,.125
May 5,@ CIN,W 6-0,0,0,0,0,0,0,0,0,0,0,0,.192,.125,.317,.125
May 6,@ CIN,W 8-5,3,0,1,0,0,0,0,2,1,0,0,.258,.148,.406,.148
May 7,@ CHC,L 14-2,1,0,0,0,0,0,0,0,1,0,0,.250,.143,.393,.143
May 8,@ CHC,L 4-3,Did not play
May 9,@ CHC,L 13-4,1,0,0,0,0,0,0,0,1,0,0,.242,.138,.380,.138
May 10,vs ATL,L 9-2,1,0,0,0,0,0,0,0,1,0,0,.235,.133,.368,.133
May 11,vs ATL,W 6-3,0,0,0,0,0,0,0,0,0,0,0,.235,.133,.368,.133
May 12,vs ATL,L 10-5,Did not play
May 13,vs ATL,L 4-3,3,0,0,0,0,0,0,1,1,0,0,.237,.121,.358,.121
May 15,vs LAD,W 4-2,1,1,1,1,0,0,0,0,0,0,0,.256,.176,.432,.147
May 16,vs LAD,W 6-5,0,0,0,0,0,0,0,0,0,0,0,.256,.176,.432,.147
May 17,vs LAD,L 7-0,1,0,1,0,0,0,0,0,0,0,0,.275,.200,.475,.171
May 18,@ ATL,W 2-0,0,0,0,0,0,0,0,0,0,0,0,.275,.200,.475,.171
May 19,@ ATL,L 8-1,Did not play
May 20,@ ATL,L 10-9,0,0,0,0,0,0,0,0,0,0,0,.275,.200,.475,.171
May 21,@ NYM,L 2-0,Did not play
May 22,@ NYM,W 5-1,0,0,0,0,0,0,0,0,0,0,0,.275,.200,.475,.171
May 23,@ NYM,W 2-1,0,1,0,0,0,0,0,0,0,0,0,.275,.200,.475,.171
May 25,vs WSH,L 9-5,0,0,0,0,0,0,0,1,0,0,0,.293,.200,.493,.171
May 26,vs WSH,L 4-1,Did not play
May 27,vs WSH,L 5-2,1,1,0,0,0,0,0,0,0,0,0,.286,.194,.480,.167
May 28,@ SD,W 7-2,3,1,2,0,0,0,2,1,0,0,1,.326,.231,.557,.205
May 29,@ SD,L 9-5,3,0,0,0,0,0,0,1,1,0,0,.320,.214,.534,.190
May 30,@ SD,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.320,.214,.534,.190
May 31,@ SD,L 8-3,1,0,1,0,0,0,0,0,0,0,0,.333,.233,.566,.209
Jun 1,@ ARI,L 9-1,Did not play
Jun 2,@ ARI,L 6-2,1,0,0,0,0,0,0,0,1,0,0,.327,.227,.554,.205
