DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ NYM,L 9-4,3,1,1,0,0,1,2,1,0,0,0,.500,1.333,1.833,.333
Mar 31,@ NYM,L 6-2,4,0,2,0,0,0,0,0,1,0,0,.500,.857,1.357,.429
Apr 1,@ NYM,W 5-1,5,1,1,0,0,1,1,0,0,0,0,.385,.833,1.218,.333
Apr 2,@ MIL,W 8-4,4,1,1,0,0,0,0,0,1,0,0,.353,.688,1.041,.313
Apr 3,@ MIL,L 5-4,4,0,0,0,0,0,0,0,0,1,0,.286,.550,.836,.250
Apr 4,@ MIL,W 6-0,3,1,1,0,0,1,2,0,0,0,0,.280,.652,.932,.261
Apr 5,vs ARI,L 3-1,4,0,1,1,0,0,1,0,0,0,0,.276,.630,.906,.259
Apr 7,vs ARI,W 5-3,4,0,2,0,0,0,0,0,0,0,0,.303,.613,.916,.290
Apr 8,vs ARI,L 4-1,3,1,1,0,0,0,0,0,0,0,0,.306,.588,.894,.294
Apr 9,vs MIL,L 5-4,4,0,1,0,0,0,0,0,1,0,0,.300,.553,.853,.289
Apr 10,vs MIL,W 5-3,5,0,0,0,0,0,0,0,2,0,0,.267,.488,.755,.256
Apr 11,vs MIL,L 3-2,Did not play
Apr 12,@ CIN,W 13-4,5,1,2,0,0,1,2,0,0,0,0,.280,.542,.822,.271
Apr 13,@ CIN,W 5-3,4,1,2,0,0,1,3,0,1,0,0,.296,.596,.892,.288
Apr 14,@ CIN,W 6-1,4,0,0,0,0,0,0,0,0,0,0,.276,.554,.830,.268
Apr 15,@ CIN,W 3-2,3,0,2,0,0,0,1,0,0,0,0,.295,.559,.854,.288
Apr 17,@ CHC,W 5-3,4,0,1,0,0,0,0,1,1,0,0,.303,.540,.843,.286
Apr 19,@ CHC,L 8-5,2,0,0,0,0,0,0,0,1,0,0,.294,.523,.817,.277
Apr 20,vs CIN,W 4-2,4,0,1,1,0,0,2,0,1,0,0,.292,.522,.814,.275
Apr 21,vs CIN,W 4-3,3,1,2,0,0,1,1,1,0,1,0,.316,.569,.885,.292
Apr 22,vs CIN,W 9-2,4,2,3,1,0,0,1,0,0,0,0,.333,.592,.925,.316
Apr 24,vs NYM,L 6-5,5,0,1,0,0,0,0,0,2,0,0,.326,.568,.894,.309
Apr 25,vs NYM,W 9-1,4,0,0,0,0,0,0,0,0,0,0,.311,.541,.852,.294
Apr 26,vs NYM,W 4-3,3,0,0,0,0,0,0,0,1,0,0,.301,.523,.824,.284
Apr 27,@ PIT,L 6-5,5,0,0,0,0,0,0,0,0,0,0,.286,.495,.781,.269
Apr 28,@ PIT,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.275,.474,.749,.258
Apr 29,@ PIT,L 5-0,3,0,1,0,0,0,0,0,1,0,0,.276,.470,.746,.260
May 1,vs CHW,W 3-2,4,0,2,0,0,0,1,0,0,0,0,.284,.471,.755,.269
May 2,vs CHW,W 3-2,3,1,2,0,0,0,0,0,0,0,1,.295,.477,.772,.280
May 4,vs CHC,W 3-2,4,0,1,0,0,0,0,0,1,0,0,.293,.468,.761,.279
May 5,vs CHC,W 8-6,3,0,0,0,0,0,0,1,2,0,0,.292,.456,.748,.272
May 6,vs CHC,W 4-3,Did not play
May 7,vs MIN,L 6-0,Did not play
May 8,vs MIN,L 7-1,Did not play
May 10,@ SD,W 2-1,Did not play
May 11,@ SD,W 9-5,Did not play
May 12,@ SD,L 2-1,Did not play
May 13,@ SD,L 5-3,Did not play
May 15,@ MIN,L 4-1,Did not play
May 16,@ MIN,W 7-5,Did not play
May 17,vs PHI,L 6-2,Did not play
May 18,vs PHI,W 12-4,Did not play
May 19,vs PHI,L 7-6,Did not play
May 20,vs PHI,W 5-1,Did not play
May 21,vs KC,W 6-0,Did not play
May 22,vs KC,L 5-1,Did not play
May 23,vs KC,L 5-2,Did not play
May 25,@ PIT,L 8-1,Did not play
May 26,@ PIT,W 4-1,Did not play
May 27,@ PIT,W 6-4,Did not play
May 28,@ MIL,L 8-3,Did not play
May 29,@ MIL,W 6-1,Did not play
May 30,@ MIL,L 3-2,Did not play
May 31,vs PIT,W 10-8,Did not play
Jun 1,vs PIT,L 4-0,Did not play
Jun 2,vs PIT,W 3-2,Did not play
Jun 3,vs PIT,W 5-0,Did not play
Jun 5,vs MIA,L 7-4,4,0,1,0,0,0,1,0,0,0,0,.290,.449,.739,.271
Jun 6,vs MIA,L 11-3,3,0,0,0,0,0,0,0,2,0,0,.283,.438,.721,.264
Jun 7,vs MIA,W 4-1,Did not play
Jun 8,@ CIN,W 7-6,5,0,1,0,0,0,0,0,1,0,0,.280,.429,.709,.262
Jun 9,@ CIN,W 6-4,3,0,2,1,0,0,3,1,0,0,0,.294,.442,.736,.271
Jun 10,@ CIN,L 6-3,3,0,0,0,0,0,1,0,2,0,0,.286,.432,.718,.265
Jun 11,vs SD,W 5-2,4,0,2,0,0,0,0,0,0,0,0,.292,.434,.726,.272
Jun 12,vs SD,L 4-2,4,0,0,0,0,0,1,0,1,0,0,.284,.421,.705,.264
Jun 13,vs SD,L 4-2,3,0,0,0,0,0,0,0,0,0,0,.283,.413,.696,.259
Jun 15,vs CHC,L 13-5,1,0,1,0,0,0,0,1,0,0,0,.292,.417,.709,.264
Jun 16,vs CHC,L 6-3,2,0,0,0,0,0,0,2,0,0,0,.297,.411,.708,.260
Jun 17,vs CHC,W 5-0,4,1,1,1,0,0,1,0,0,0,0,.296,.413,.709,.260
Jun 18,@ PHI,L 6-5,4,2,3,1,0,1,1,1,0,0,0,.311,.448,.759,.273
Jun 19,@ PHI,W 7-6,4,0,0,0,0,0,0,0,1,0,0,.304,.437,.741,.266
Jun 20,@ PHI,L 4-3,3,2,2,0,0,2,3,0,0,0,0,.314,.478,.792,.273
Jun 21,@ MIL,L 11-3,1,1,0,0,0,0,0,1,0,0,0,.320,.475,.795,.272
Jun 22,@ MIL,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.319,.470,.789,.271
Jun 23,@ MIL,W 3-2,4,2,2,0,0,2,3,0,1,0,0,.323,.506,.829,.276
Jun 24,@ MIL,W 8-2,4,0,0,0,0,0,0,0,2,0,0,.316,.494,.810,.270
Jun 25,vs CLE,W 4-0,4,1,1,1,0,0,0,0,1,0,0,.314,.494,.808,.270
Jun 26,vs CLE,W 11-2,3,0,0,0,0,0,1,0,0,0,0,.308,.486,.794,.265
Jun 27,vs CLE,L 5-1,4,0,1,0,0,0,0,0,0,0,0,.307,.481,.788,.265
Jun 29,vs ATL,L 5-1,4,0,1,0,0,0,0,0,0,0,0,.306,.476,.782,.265
Jun 30,vs ATL,L 11-4,1,0,1,0,0,0,0,1,0,0,0,.313,.479,.792,.268
Jul 1,vs ATL,L 6-5,1,0,0,0,0,0,0,0,0,0,0,.311,.476,.787,.267
Jul 2,@ ARI,W 6-3,4,2,2,0,0,1,3,0,0,0,0,.315,.492,.807,.272
Jul 3,@ ARI,L 4-2,4,1,1,0,0,0,0,0,0,0,0,.313,.487,.800,.271
Jul 4,@ ARI,W 8-4,4,1,2,0,0,1,3,1,0,0,0,.320,.502,.822,.276
Jul 5,@ SF,W 11-2,5,1,3,0,0,0,0,0,1,0,0,.326,.505,.831,.284
Jul 6,@ SF,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.320,.495,.815,.278
Jul 7,@ SF,W 3-2,Did not play
Jul 8,@ SF,L 13-8,Did not play
Jul 10,@ CHW,W 14-2,3,1,0,0,0,0,1,1,1,0,0,.318,.488,.806,.274
Jul 11,@ CHW,L 4-0,4,0,1,0,0,0,0,0,1,0,0,.317,.484,.801,.274
