DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs SF,W 6-5,1.0,1,1,1,1,1,1,1,2,22,5,-,-,-,3.47
Jul 21,vs SF,W 4-3,1.0,0,0,0,0,0,2,0,1,18,3,-,W(5-2),-,3.38
Jul 20,vs SF,L 5-1,1.1,2,2,2,0,0,2,1,3,16,6,-,-,-,3.43
Jul 14,@ SF,W 4-3,2.2,2,0,0,0,0,3,2,5,29,10,-,W(4-2),-,3.20
Jul 12,@ HOU,W 6-4,2.1,1,0,0,0,0,1,2,4,17,7,-,W(3-2),-,3.36
Jul 10,@ HOU,L 6-5,2.0,1,0,0,0,0,3,2,2,29,7,-,-,-,3.50
Jul 8,@ CLE,W 6-0,2.0,1,0,0,0,0,3,1,3,28,7,-,-,-,3.63
Jul 6,@ CLE,L 10-4,2.0,0,0,0,0,1,1,3,1,20,6,-,-,-,3.78
Jul 1,vs CLE,L 15-3,1.1,2,2,2,2,0,2,0,4,29,6,-,-,-,3.94
Jun 29,vs CLE,W 3-1,0.2,1,0,0,0,0,1,0,2,12,3,-,-,H(10),3.66
Jun 27,@ DET,W 3-0,2.0,1,0,0,0,0,0,3,3,27,6,-,-,H(9),3.72
Jun 25,@ DET,W 5-4,0.1,1,1,1,0,0,0,0,2,5,2,-,-,-,3.89
Jun 23,@ CHW,W 7-6,0.1,1,0,0,0,0,1,0,1,6,2,-,-,H(8),3.71
Jun 22,@ CHW,L 6-4,1.0,1,1,1,1,1,1,1,2,26,5,-,-,-,3.74
Jun 17,vs LAA,W 6-5,1.1,2,1,1,0,1,0,2,3,16,6,-,-,-,3.61
Jun 16,vs LAA,W 6-4,1.0,0,0,0,0,0,0,0,3,10,3,-,-,H(7),3.51
Jun 9,vs KC,L 2-0,1.0,1,1,1,1,1,0,0,4,18,5,-,-,-,3.60
Jun 7,vs KC,W 4-1,1.0,0,0,0,0,0,1,0,2,10,3,-,-,H(6),3.46
Jun 5,@ TEX,L 7-4,1.0,2,2,2,1,0,1,1,3,19,5,-,-,BlSv(2),3.55
Jun 3,@ KC,W 5-1,1.0,1,0,0,0,0,1,1,2,16,4,-,-,-,3.16
Jun 2,@ KC,L 5-4,2.0,1,1,1,1,0,1,1,5,21,7,-,L(2-2),-,3.25
May 28,vs TB,L 1-0,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,3.18
May 27,vs ARI,W 2-1,1.0,0,0,0,0,0,1,1,1,9,3,-,-,H(5),3.27
May 24,vs SEA,W 4-3,3.0,2,0,0,0,0,4,4,2,32,10,-,W(2-1),-,3.38
May 22,vs SEA,L 3-2,1.0,2,1,1,0,0,1,2,2,16,5,-,L(1-1),-,3.72
May 18,@ TOR,W 3-1,0.2,1,0,0,0,1,0,2,1,13,4,-,-,H(4),3.54
May 17,@ TOR,W 10-5,2.2,1,0,0,0,1,1,3,5,29,10,-,W(1-0),-,3.62
May 14,@ BOS,W 6-5,2.0,1,1,1,1,0,0,2,5,18,7,-,-,H(3),4.01
May 12,@ NYY,L 7-6,2.0,1,0,0,0,0,1,1,5,18,7,-,-,-,3.97
May 11,@ NYY,W 10-5,1.1,1,0,0,0,0,0,2,3,16,5,-,-,H(2),4.35
May 9,vs HOU,L 4-1,1.1,3,2,2,0,0,1,2,3,24,6,-,-,-,4.66
May 5,vs BAL,W 2-0,2.0,1,0,0,0,3,4,1,2,42,10,-,-,-,4.00
May 4,vs BAL,W 6-4,0.1,5,3,3,0,0,1,4,1,18,6,-,-,BlSv(1),4.50
May 1,@ SEA,L 6-3,1.0,1,0,0,0,0,1,3,0,17,4,-,-,-,2.87
Apr 29,@ HOU,L 8-4,0.1,1,2,1,0,0,1,1,1,8,3,-,-,-,3.07
Apr 23,@ TEX,W 9-4,1.2,1,0,0,0,0,0,2,3,17,5,-,-,-,2.51
Apr 22,vs BOS,W 4-1,0.2,0,0,0,0,0,1,0,1,4,2,-,-,-,2.84
Apr 16,vs CHW,W 8-1,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,3.00
Apr 14,@ SEA,L 10-8,2.0,3,0,0,0,0,2,4,4,29,10,-,-,-,3.27
Apr 13,@ SEA,L 7-4,0.2,1,1,1,0,0,0,3,0,9,3,-,-,H(1),4.00
Apr 11,@ LAD,W 16-6,2.0,1,0,0,0,0,0,4,3,25,7,-,-,-,3.24
Apr 8,@ LAA,L 6-1,1.0,0,0,0,0,0,1,2,0,10,3,-,-,-,4.26
Apr 6,@ LAA,L 13-9,1.0,5,2,2,0,0,1,4,3,18,8,-,-,-,5.06
Apr 4,vs TEX,W 6-2,1.0,1,1,1,1,0,0,2,2,9,4,-,-,-,2.08
Apr 1,vs LAA,L 7-4,1.0,1,0,0,0,0,0,1,3,13,4,-,-,-,0.00
Mar 30,vs LAA,L 2-1,0.1,0,0,0,0,0,0,1,0,1,1,-,-,-,0.00
Mar 29,vs LAA,W 6-5,2.0,1,0,0,0,0,1,2,4,25,7,-,-,-,0.00
