DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs LAD,L 7-6,2.2,5,3,3,3,3,1,2,10,75,16,34,-,-,3.41
Jul 9,@ NYM,L 4-3,5.0,5,3,3,1,0,4,6,10,84,20,49,-,-,3.15
Jul 3,vs BAL,W 3-2,7.0,5,2,2,1,0,6,9,11,82,26,65,W(7-2),-,2.97
Jun 27,vs NYY,W 3-0,7.0,4,0,0,0,2,6,7,11,92,26,73,W(6-2),-,3.02
Jun 22,@ WSH,W 12-2,5.0,6,2,2,0,1,5,6,10,97,22,51,W(5-2),-,3.44
Jun 16,@ MIL,W 4-1,5.0,3,1,1,0,1,6,4,6,73,17,62,W(4-2),-,3.43
Jun 10,vs MIL,W 4-3,6.0,3,2,2,0,1,9,7,5,94,24,66,W(3-2),-,3.63
Jun 5,@ CHC,W 6-1,7.2,8,1,1,0,1,2,12,16,105,31,60,W(2-2),-,3.74
May 30,@ LAD,L 8-2,4.0,7,5,5,2,1,5,6,9,78,21,32,L(1-2),-,4.50
May 25,vs TOR,L 6-5,4.2,9,6,5,1,1,7,6,10,96,24,30,L(1-1),-,3.27
May 19,@ STL,W 7-6,4.2,3,4,2,0,3,4,3,11,85,21,47,-,-,1.56
May 7,vs SF,W 11-0,6.2,4,0,0,0,3,9,2,13,109,27,-,W(1-0),-,0.71
May 1,@ MIA,L 2-1,6.0,3,1,1,1,0,4,7,9,72,20,66,-,-,1.50
