DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ OAK,L 6-5,6,1,3,1,0,1,1,0,2,0,0,.500,1.167,1.667,.500
Mar 30,@ OAK,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.300,.700,1.000,.300
Mar 31,@ OAK,W 8-3,4,2,2,1,1,0,2,0,1,0,0,.400,.857,1.257,.357
Apr 1,@ OAK,W 7-4,5,0,2,0,0,0,0,0,0,0,0,.400,.737,1.137,.368
Apr 2,vs CLE,L 6-0,5,0,1,1,0,0,0,0,0,0,0,.360,.667,1.027,.333
Apr 3,vs CLE,W 13-2,4,0,0,0,0,0,0,0,0,0,0,.310,.571,.881,.286
Apr 4,vs CLE,W 3-2,5,1,1,0,0,1,1,1,0,0,0,.314,.606,.920,.273
Apr 6,vs OAK,W 13-9,4,1,0,0,0,0,0,0,0,0,0,.300,.541,.841,.243
Apr 7,vs OAK,L 7-3,3,1,1,0,0,0,0,1,0,0,0,.318,.525,.843,.250
Apr 8,vs OAK,W 6-1,4,1,1,0,0,0,0,0,1,0,0,.313,.500,.813,.250
Apr 9,@ TEX,W 8-3,5,1,2,0,0,0,1,0,0,0,0,.321,.490,.811,.265
Apr 10,@ TEX,W 11-1,5,1,1,0,0,0,0,0,0,0,0,.310,.463,.773,.259
Apr 11,@ TEX,W 7-2,5,1,1,0,1,0,1,0,0,0,0,.302,.475,.777,.254
Apr 12,@ KC,W 7-1,Did not play
Apr 13,@ KC,W 5-4,4,1,3,0,0,0,0,0,0,0,0,.328,.492,.820,.286
Apr 14,@ KC,W 5-3,3,1,0,0,0,0,1,1,2,0,0,.319,.470,.789,.273
Apr 17,vs BOS,L 10-1,3,0,0,0,0,0,0,1,2,0,0,.316,.449,.765,.261
Apr 18,vs BOS,L 9-0,4,0,0,0,0,0,0,0,2,0,0,.300,.425,.725,.247
Apr 19,vs BOS,L 8-2,4,0,1,0,0,0,1,0,0,0,0,.298,.416,.714,.247
Apr 20,vs SF,L 8-1,Did not play
