Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Ryan Borucki ^0, 24.15,N/A,TOR,v det, 2-3(F10),  7.0IP 6H 2R 2ER 8K 
 Michael Fiers ^0, 23.60,N/A,DET,@ tor, 3-2(F10),  8.0IP 3H R ER BB 5K 
 Carlos Martinez ^9, 22.70,"$8,100",STL,@ ari, 6-3,  6.0IP 6H 2R 2ER 2BB 7K Win 
 Wei-Yin Chen ^9, 21.70,"$4,600",MIA,v tam, 3-2(F10),  6.0IP 3H R 5K 
 Luis Castillo ^8, 21.40,"$5,700",CIN,v chw, 5-3,  6.2IP 6H R ER 6K 
 Max Scherzer ^9, 20.10,"$13,300",WAS,v bos, 3-4,  6.0IP 4H 3R 3ER 3BB 9K 2HB Loss 
 Kyle Freeland ^9, 18.75,"$7,000",COL,v sfo, 5-2,  7.0IP 3H 2R 2ER BB 3K HB Win 
 Rick Porcello ^9, 18.10,"$9,300",BOS,@ was, 4-3,  6.0IP 7H 2R 2ER 2BB 5K Win 
 Alex Wood ^9, 17.90,"$8,900",LAD,v pit, 17-1,  6.0IP 6H R ER 3K Win 
 Corey Kluber ^0, 17.30,"$12,500",CLE,@ kan, 9-3,  6.0IP 7H 3R 3ER 5K Win 
 James Shields ^9, 14.20,"$5,900",CHW,@ cin, 3-5,  6.2IP 4H R ER 4BB 3K 
 Nathan Eovaldi ^9, 14.10,"$8,700",TAM,@ mia, 2-3(F10),  6.0IP 8H 2R 2ER BB 5K 
 Jesse Biddle , 14.10,"$4,000",ATL,@ nyy, 5-3(F11),  2.0IP 3H BB 4K Win 
 Madison Bumgarner ^9, 13.50,"$11,300",SFO,@ col, 2-5,  6.0IP 7H 3R 2ER 3BB 5K Loss 
 Anibal Sanchez ^0, 10.70,"$6,300",ATL,@ nyy, 5-3(F11),  6.0IP 6H 3R 3ER 2BB 4K 
 Corey Knebel , 10.25,"$4,000",MIL,v min, 6-5(F10),  1.0IP 2K Win 
 Aroldis Chapman ,  8.25,"$4,000",NYY,v atl, 3-5(F11),  1.0IP 3K 
 Edgar Santana ,  8.25,"$4,000",PIT,@ lad, 1-17,  1.0IP 3K 
 Dan Jennings ,  7.90,"$4,000",MIL,v min, 6-5(F10),  2.0IP H 2K 
 Diego Castillo ,  7.65,"$4,000",TAM,@ mia, 2-3(F10),  1.0IP H 3K 
 Robbie Ray ^9,  7.25,"$9,900",ARI,v stl, 3-6,  5.0IP 9H 6R 6ER BB 7K Loss 
 Trevor Hildenberger ,  7.00,"$4,000",MIN,@ mil, 5-6(F10),  1.1IP 2K Hold     
 Caleb Ferguson ,  6.95,"$5,700",LAD,v pit, 17-1,  3.0IP 3H K Save 
 Chad Green ,  6.50,"$4,000",NYY,v atl, 3-5(F11),  2.0IP K 
 Drew Rucinski ,  6.25,"$4,000",MIA,v tam, 3-2(F10),  1.0IP Win 
 Raisel Iglesias ,  6.25,"$4,000",CIN,v chw, 5-3,  1.0IP 2K Save 
 Jonathan Loaisiga ^0,  6.00,"$8,300",NYY,v atl, 3-5(F11),  4.0IP 5H 3R 3ER 3K 
 Brent Suter ^9,  5.85,"$6,500",MIL,v min, 6-5(F10),  5.0IP 9H 5R 5ER 5K 
 Wade Davis ,  5.65,"$4,000",COL,v sfo, 5-2,  1.0IP H 2K Save 
 Tim Collins ,  5.65,"$4,000",WAS,v bos, 3-4,  1.0IP H 2K 
 A.J. Minter ,  5.65,"$4,000",ATL,@ nyy, 5-3(F11),  1.0IP BB 2K Save 
 Jonathan Holder ,  5.30,"$4,000",NYY,v atl, 3-5(F11),  2.0IP 2H K 
 Kyle Gibson ^9,  5.25,"$7,800",MIN,@ mil, 5-6(F10),  5.0IP 8H 4R 3ER 2BB 3K 
 Daniel Winkler ,  5.05,"$4,500",ATL,@ nyy, 5-3(F11),  1.0IP H BB 2K 
 Andrew Chafin ,  5.00,"$4,000",ARI,v stl, 3-6,  1.1IP K 
 Dylan Floro ,  4.90,"$4,000",CIN,v chw, 5-3,  0.2IP H Win 
 Addison Reed ,  4.90,"$4,000",MIN,@ mil, 5-6(F10),  0.2IP H 2K Hold     
 Craig Kimbrel ,  4.40,"$4,000",BOS,@ was, 4-3,  1.1IP BB K Save 
 Bud Norris ,  4.25,"$4,000",STL,@ ari, 6-3,  1.0IP K Save 
 Blaine Hardy ,  4.25,N/A,DET,@ tor, 3-2(F10),  1.0IP K Save 
 Brian Flynn ,  4.20,"$4,000",KAN,v cle, 3-9,  2.2IP 3H 
 Matt Andriese ,  3.90,"$4,300",TAM,@ mia, 2-3(F10),  2.0IP H 
 Joe Jimenez ,  3.85,N/A,DET,@ tor, 3-2(F10),  1.0IP H R ER 3BB K BS Win 
 Drew Steckenrider ,  3.65,"$4,000",MIA,v tam, 3-2(F10),  1.0IP H K Hold     
 Shawn Kelley ,  3.65,"$4,000",WAS,v bos, 3-4,  1.0IP H K 
 Reyes Moronta ,  3.65,"$4,000",SFO,@ col, 2-5,  1.0IP BB K BS 
 Tyler Clippard ,  3.65,N/A,TOR,v det, 2-3(F10),  1.0IP H K 
 Matt Barnes ,  3.05,"$4,000",BOS,@ was, 4-3,  1.0IP H BB K Hold     
 Dellin Betances ,  3.05,"$4,000",NYY,v atl, 3-5(F11),  1.0IP H BB K 
 Adam Conley ,  2.90,"$4,400",MIA,v tam, 3-2(F10),  0.2IP BB K Hold     
 Zach Duke ,  2.90,"$4,000",MIN,@ mil, 5-6(F10),  0.2IP H K Hold     
 Joey Krehbiel ,  2.55,N/A,ARI,v stl, 3-6,  1.2IP H BB 
 Joe Kelly ,  2.30,"$4,000",BOS,@ was, 4-3,  0.2IP H R ER BB 2K Hold     
 Archie Bradley ,  2.25,"$4,000",ARI,v stl, 3-6,  1.0IP 
 Dan Otero ,  2.25,"$4,000",CLE,@ kan, 9-3,  1.0IP 
 Jacob Barnes ,  2.25,"$4,000",MIL,v min, 6-5(F10),  1.0IP 
 Sam Dyson ,  2.25,"$4,000",SFO,@ col, 2-5,  1.0IP 
 George Kontos ,  2.25,"$4,000",CLE,@ kan, 9-3,  1.0IP 
 Joe Biagini ,  2.25,N/A,TOR,v det, 2-3(F10),  1.0IP 
 Hector Santiago ,  2.15,"$4,300",CHW,@ cin, 3-5,  0.1IP BB K 
 Jason Adam ,  1.65,"$4,000",KAN,v cle, 3-9,  1.0IP BB 
 Mike Mayers ,  1.65,"$4,000",STL,@ ari, 6-3,  1.0IP H 
 Scott Oberg ,  1.65,"$4,000",COL,v sfo, 5-2,  1.0IP H Hold     
 David Robertson ,  1.65,"$4,000",NYY,v atl, 3-5(F11),  1.0IP H 2R ER K Loss 
 Brandon Kintzler ,  1.65,"$4,000",WAS,v bos, 3-4,  1.0IP H R ER K 
 Marc Rzepczynski ,  1.65,"$4,000",CLE,@ kan, 9-3,  1.0IP H 
 Taylor Williams ,  1.65,"$4,000",MIL,v min, 6-5(F10),  1.0IP H 
 Seung Hwan Oh ,  1.65,N/A,TOR,v det, 2-3(F10),  1.0IP H R ER K Loss 
 Greg Holland ,  1.05,"$4,000",STL,@ ari, 6-3,  1.0IP 2H R 
 Sam Freeman ,  1.05,"$4,000",ATL,@ nyy, 5-3(F11),  1.0IP 2BB 
 Luis Avilan ,  0.75,"$4,000",CHW,@ cin, 3-5,  0.1IP Hold     
 Brad Ziegler ,  0.75,"$4,000",MIA,v tam, 3-2(F10),  0.1IP Hold     
 Taylor Rogers ,  0.75,"$4,000",MIN,@ mil, 5-6(F10),  0.1IP Hold     
 Jared Hughes ,  0.30,"$4,000",CIN,v chw, 5-3,  0.2IP 2H R ER K 
 Juan Minaya , -0.60,"$4,000",CHW,@ cin, 3-5,  0.0IP BB 
 Buck Farmer , -0.60,N/A,DET,@ tor, 3-2(F10),  0.0IP H 
 Fernando Rodney , -1.55,"$4,000",MIN,@ mil, 5-6(F10),  1.0IP 3H R ER BS 
 Kyle Barraclough , -1.55,"$4,000",MIA,v tam, 3-2(F10),  1.0IP 2H R ER BB BS 
 Amir Garrett , -3.20,"$5,600",CIN,v chw, 5-3,  0.0IP 2H R ER BS 
 Zack Littell , -3.65,"$4,000",MIN,@ mil, 5-6(F10),  0.1IP H R ER 2BB HB Loss 
 Ryne Stanek , -3.80,"$4,000",TAM,@ mia, 2-3(F10),  0.0IP 2H R ER BB Loss 
 Steven Brault , -5.10,"$4,600",PIT,@ lad, 1-17,  2.0IP 5H 4R 4ER BB K 
