Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Corey Kluber,$10.1K,R,CLE,SP,LAA,,,,,-300,1,8.5,-226,5.2,-0.05,4,0.267,0.357,0.150,5.00,5,0.252,0.348,0.142,5.90,50,2.37,2.87,0.15,0.259,5.50,0.00,0.00,26,2.57
Kenta Maeda,$8.3K,R,LAD,SP,HOU,,,,,-300,2,7.5,-139,4.03,0.2,3,0.333,0.441,0.181,3.80,6,0.269,0.357,0.152,6.60,48,2.98,3.73,0.13,0.290,5.60,0.00,0.00,20.09,2.42
Marco Estrada,$5.4K,R,TOR,SP,@ SEA,,,,,-1700,8,7.5,205,2.89,-0.06,3,0.306,0.429,0.203,3.60,6,0.371,0.512,0.225,4.50,50,4.04,5.38,0.11,0.349,4.20,0.00,0.00,13.07,2.42
Jeremy Hellickson,$5.7K,R,WAS,SP,CIN,,,,,-700, ,10.0,-166,5.64,-0.08,6,0.336,0.476,0.231,2.90,3,0.330,0.460,0.200,3.00,45,4.38,5.13,0.14,0.334,2.90,0.00,0.00,13.21,2.32
Lance McCullers,$8.8K,R,HOU,SP,@ LAD,,,,,-1200,4,7.5,125,3.47,-0.2,4,0.263,0.298,0.099,5.60,5,0.330,0.416,0.158,5.00,42,3.75,3.40,0.14,0.300,5.30,0.00,0.00,20.11,2.29
Ivan Nova,$5.6K,R,PIT,SP,STL,,,,,-1600,7,8.5,-118,4.36,0.02,3,0.365,0.518,0.214,2.20,6,0.314,0.429,0.179,4.20,50,4.15,4.34,0.16,0.331,3.50,0.00,0.00,12.69,2.27
Edwin Jackson,$6.4K,R,OAK,SP,DET,,,,,-400,-4,8.5,-176,4.86,-0.05,5,0.325,0.431,0.185,4.50,4,0.376,0.552,0.281,3.00,22,4.25,5.29,0.16,0.348,3.80,0.00,0.00,14.35,2.24
Kyle Hendricks,$8.1K,R,CHC,SP,SDP,,,,,100,-2,10.5,-225,6.45,6.45,4,0.314,0.411,0.177,4.30,5,0.301,0.395,0.137,4.10,45,3.90,3.89,0.17,0.307,4.20,0.00,0.00,17.94,2.21
Blake Snell,$9.4K,L,TBR,SP,CHW,,,,,-600,1,7.0,-156,3.88,-0.37,1,0.200,0.207,0.059,2.00,8,0.313,0.395,0.166,7.60,43,3.65,4.17,0.12,0.300,7.00,0.00,0.00,20.38,2.17
Walker Lockett,$4.0K,R,SDP,SP,@ CHC,,,,,-1500,2,10.5,213,4.05,4.05,5,0.364,0.267,0.000,3.20,4,0.457,0.556,0.112,3.20,2,6.69,6.08,0.00,0.405,3.20,0.00,0.00,8.57,2.14
Kevin Gausman,$8.1K,R,ATL,SP,@ NYM,,,,,1500,-13,8.0,-126,4.18,0.06,3,0.348,0.447,0.178,3.60,6,0.352,0.480,0.188,4.80,54,3.88,4.28,0.16,0.351,4.40,0.00,0.00,17.2,2.12
Burch Smith,$4.5K,R,KCR,SP,@ MIN,,,,,-1000,1,9.0,194,3.56,0.29,6,0.387,0.538,0.226,3.50,3,0.332,0.405,0.180,5.70,28,3.93,4.90,0.16,0.369,4.20,0.00,0.00,9.48,2.11
Austin Gomber,$5.6K,L,STL,SP,@ PIT,,,,, ,-2,8.5,104,4.14,-0.02,1,0.355,0.457,0.171,2.40,8,0.246,0.250,0.125,5.20,18,4.32,4.96,0.10,0.258,4.90,0.00,0.00,11.63,2.08
Clay Buchholz,$7.3K,R,ARI,SP,SFG,,,,,-1200,8,8.5,-134,4.51,-0.04,4,0.292,0.346,0.102,3.70,5,0.351,0.530,0.239,4.20,11,3.88,4.38,0.10,0.325,4.00,0.00,0.00,14.73,2.02
Jordan Zimmermann,$6.2K,R,DET,SP,@ OAK,,,,,-1600,6,8.5,158,3.64,0.05,3,0.366,0.520,0.219,3.60,6,0.355,0.497,0.202,3.20,42,4.16,5.00,0.13,0.359,3.30,0.00,0.00,12.27,1.98
Zack Wheeler,$8.4K,R,NYM,SP,ATL,,,,,-600,2,8.0,112,3.82,-0.06,5,0.351,0.438,0.166,4.20,4,0.306,0.365,0.109,4.40,37,3.90,4.37,0.13,0.331,4.30,0.00,0.00,16.47,1.96
Chance Adams,$4.8K,R,NYY,SP,@ BOS,,,,,0,0,9.5,134,4.31,-0.23,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,9.4,1.96
Zach Eflin,$8.0K,R,PHI,SP,MIA,,,,,-300,1,8.5,-159,4.73,-0.04,3,0.371,0.547,0.257,3.30,6,0.308,0.414,0.154,3.50,25,3.93,4.75,0.15,0.329,3.40,0.00,0.00,14.67,1.83
Felix Pena,$5.9K,R,LAA,SP,@ CLE,,,,,-300,-2,8.5,203,3.3,0.05,7,0.363,0.452,0.186,4.40,2,0.343,0.476,0.210,6.10,31,3.76,4.46,0.17,0.359,4.80,0.00,0.00,10.6,1.8
Carlos Rodon,$9.0K,L,CHW,SP,@ TBR,,,,,500,-2,7.0,140,3.13,-0.12,4,0.315,0.398,0.146,1.90,5,0.311,0.390,0.176,6.90,21,3.73,4.66,0.14,0.313,4.70,0.00,0.00,16.17,1.8
James Paxton,$12.9K,L,SEA,SP,TOR,,,,,3400,-4,7.5,-233,4.61,0.06,0,0.287,0.346,0.095,2.10,9,0.269,0.342,0.131,9.40,43,2.55,3.21,0.11,0.269,9.40,0.00,0.00,23.25,1.8
Jose Berrios,$11.0K,R,MIN,SP,KCR,,,,,300,1,9.0,-217,5.44,0.21,5,0.313,0.397,0.163,4.30,4,0.284,0.364,0.135,4.70,47,3.32,4.14,0.11,0.300,4.50,0.00,0.00,19.69,1.79
Mike Minor,$7.1K,L,TEX,SP,BAL,,,,,100,-3,10.5,-142,5.67,-0.05,1,0.227,0.295,0.107,2.70,8,0.329,0.460,0.212,6.00,81,3.31,4.39,0.11,0.318,5.60,0.00,0.00,12.67,1.78
Dylan Bundy,$7.6K,R,BAL,SP,@ TEX,,,,,100,-1,10.5,128,4.83,0.05,5,0.351,0.477,0.201,3.40,4,0.298,0.422,0.209,5.40,48,3.48,4.62,0.15,0.327,4.30,0.00,0.00,13.34,1.76
Freddy Peralta,$9.3K,R,MIL,SP,COL,,,,,1900,-12,8.5,-129,4.48,-0.05,4,0.368,0.459,0.224,5.70,5,0.153,0.118,0.052,6.30,9,2.93,4.07,0.09,0.249,6.00,0.00,0.00,16.25,1.75
Andrew Suarez,$6.0K,L,SFG,SP,@ ARI,,,,,-2000,10,8.5,119,3.99,0.04,1,0.223,0.284,0.073,2.10,8,0.352,0.470,0.177,5.70,18,3.85,3.65,0.16,0.338,5.30,0.00,0.00,10.37,1.73
Nathan Eovaldi,$7.7K,R,BOS,SP,NYY,,,,,200,-2,9.5,-148,5.19,-0.27,4,0.312,0.425,0.177,3.70,5,0.248,0.387,0.193,4.50,11,3.08,3.78,0.16,0.276,4.10,0.00,0.00,13.31,1.73
Jose Urena,$6.3K,R,MIA,SP,@ PHI,,,,,-600,-2,8.5,143,3.77,0.04,6,0.328,0.424,0.175,2.70,3,0.311,0.390,0.151,4.10,53,4.39,5.01,0.13,0.322,3.20,0.00,0.00,10.91,1.73
Tyler Anderson,$7.4K,L,COL,SP,@ MIL,,,,,-1000,5,8.5,116,4.02,0.05,2,0.345,0.487,0.230,2.20,7,0.318,0.424,0.184,6.50,38,3.65,4.27,0.16,0.324,5.50,0.00,0.00,12.58,1.7
Matt Harvey,$6.1K,R,CIN,SP,@ WAS,,,,,100,-5,10.0,152,4.36,0.08,5,0.389,0.533,0.241,3.00,4,0.325,0.431,0.171,3.60,40,4.52,5.11,0.18,0.361,3.30,0.00,0.00,8.85,1.45
