Rank,Name,Team,Position,Opponent,HomeOrAway,BattingOrder,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,Walks,Strikeouts,StolenBases,CaughtStealing,BattingAverage,OnBasePercentage,FantasyPointsDraftKings
1,Mike Trout,LAA,DH,TOR,HOME,2,3.82,0.67,1.1,0.22,0.03,0.25,0.62,0.69,0.87,0.17,0.04,0.25,0.4,10.59
2,Mookie Betts,BOS,RF,SEA,HOME,1,4.11,0.73,1.21,0.26,0.02,0.23,0.66,0.51,0.48,0.17,0.02,0.25,0.4,10.57
3,J.D. Martinez,BOS,LF,SEA,HOME,3,4.1,0.6,1.21,0.21,0.02,0.33,0.76,0.36,1.12,0.04,0.01,0.25,0.5,10.14
4,Jose Ramirez,CLE,3B,DET,HOME,3,3.94,0.64,1.18,0.25,0.02,0.27,0.59,0.52,0.46,0.11,0.03,0.25,0.5,10.12
5,Aaron Judge,NYY,DH,TB,AWAY,2,3.75,0.58,1,0.21,0.01,0.28,0.67,0.72,1.43,0.05,0.02,0.25,0.4,9.7
6,Trea Turner,WSH,SS,PHI,HOME,2,4.09,0.58,1.13,0.21,0.04,0.14,0.47,0.43,0.82,0.33,0.04,0.25,0.4,9.68
7,Tommy Pham,STL,CF,MIL,AWAY,2,3.84,0.62,1.12,0.19,0.02,0.19,0.55,0.55,1.03,0.15,0.05,0.25,0.5,9.46
8,Bryce Harper,WSH,RF,PHI,HOME,1,4.05,0.56,1.06,0.2,0.01,0.24,0.68,0.61,0.97,0.06,0.03,0.25,0.4,9.35
9,Francisco Lindor,CLE,SS,DET,HOME,1,4.18,0.66,1.11,0.25,0.02,0.21,0.57,0.44,0.65,0.09,0.02,0.25,0.4,9.27
10,Nolan Arenado,COL,3B,MIA,HOME,3,3.75,0.62,1.1,0.2,0.03,0.2,0.7,0.56,0.75,0.03,0.01,0.25,0.5,9.2
11,Michael Brantley,CLE,LF,DET,HOME,2,4.19,0.62,1.24,0.22,0.02,0.17,0.63,0.34,0.5,0.09,0.02,0.25,0.4,9.14
11,Charlie Blackmon,COL,CF,MIA,HOME,2,3.9,0.63,1.17,0.18,0.04,0.18,0.59,0.46,0.82,0.07,0.04,0.25,0.5,9.14
13,Freddie Freeman,ATL,1B,BAL,HOME,3,4.06,0.59,1.1,0.22,0.02,0.16,0.68,0.55,0.86,0.08,0.03,0.25,0.4,9.1
14,Dee Gordon,SEA,2B,BOS,AWAY,1,4.3,0.56,1.36,0.22,0.04,0.07,0.31,0.19,0.63,0.33,0.07,0.25,0.4,9.08
14,Eddie Rosario,MIN,LF,TEX,HOME,2,4.24,0.61,1.22,0.23,0.01,0.21,0.59,0.3,0.9,0.08,0.04,0.25,0.4,9.08
16,Starling Marte,PIT,CF,ARI,HOME,3,3.96,0.57,1.2,0.19,0.03,0.14,0.44,0.31,0.86,0.23,0.06,0.25,0.5,9.06
17,Andrew Benintendi,BOS,CF,SEA,HOME,2,4.07,0.63,1.08,0.22,0.03,0.13,0.62,0.48,0.82,0.14,0.03,0.25,0.4,8.96
18,Eric Thames,MIL,LF,STL,HOME,1,4.12,0.59,1.05,0.22,0.03,0.23,0.54,0.49,1.41,0.05,0.02,0.25,0.4,8.92
19,Austin Meadows,PIT,RF,ARI,HOME,2,4.05,0.57,1.13,0.22,0.03,0.18,0.52,0.36,0.73,0.12,0.02,0.25,0.5,8.8
20,Lorenzo Cain,MIL,CF,STL,HOME,3,3.94,0.62,1.18,0.2,0.02,0.13,0.42,0.52,0.72,0.13,0.02,0.25,0.5,8.78
21,Justin Upton,LAA,LF,TOR,HOME,3,4.03,0.57,0.98,0.19,0.01,0.22,0.7,0.43,1.23,0.08,0.03,0.25,0.25,8.77
22,Ozzie Albies,ATL,2B,BAL,HOME,2,4.21,0.61,1.07,0.21,0.02,0.19,0.55,0.32,0.74,0.12,0.03,0.25,0.2,8.72
23,Whit Merrifield,KC,2B,HOU,AWAY,1,4.06,0.53,1.12,0.24,0.02,0.1,0.5,0.4,0.73,0.22,0.04,0.25,0.4,8.7
24,Jose Abreu,CHW,1B,OAK,HOME,3,4.05,0.54,1.18,0.26,0.03,0.18,0.63,0.28,0.78,0.03,0,0.25,0.5,8.68
25,Kevin Kiermaier,TB,CF,NYY,HOME,1,4.11,0.54,1.11,0.19,0.03,0.17,0.44,0.33,0.93,0.18,0.04,0.25,0.25,8.67
26,Cesar Hernandez,PHI,2B,WSH,AWAY,1,3.97,0.58,1.19,0.2,0.03,0.12,0.36,0.6,0.88,0.11,0.05,0.25,0.4,8.65
27,Ender Inciarte,ATL,CF,BAL,HOME,1,4.26,0.56,1.29,0.2,0.03,0.1,0.41,0.37,0.62,0.16,0.06,0.25,0.4,8.64
28,DJ LeMahieu,COL,2B,MIA,HOME,1,4.07,0.55,1.33,0.21,0.02,0.13,0.48,0.41,0.58,0.05,0.03,0.25,0.4,8.61
29,Christian Yelich,MIL,RF,STL,HOME,2,4.05,0.61,1.08,0.2,0.02,0.13,0.56,0.48,0.91,0.11,0.02,0.25,0.4,8.58
29,Jose Altuve,HOU,2B,KC,HOME,3,3.99,0.54,1.23,0.21,0.02,0.11,0.49,0.33,0.56,0.16,0.03,0.25,0.5,8.58
29,George Springer,HOU,RF,KC,HOME,1,4.02,0.65,1.08,0.21,0.01,0.18,0.55,0.42,0.89,0.05,0.04,0.25,0.5,8.58
32,Shin-Soo Choo,TEX,DH,MIN,AWAY,1,4.01,0.56,1.09,0.22,0.01,0.17,0.52,0.48,0.99,0.07,0.02,0.25,0.4,8.54
33,Gary Sanchez,NYY,C,TB,AWAY,5,3.81,0.59,1,0.21,0.01,0.22,0.67,0.39,0.97,0.02,0.01,0.25,0.25,8.53
33,Mitch Haniger,SEA,RF,BOS,AWAY,2,4.02,0.55,1.06,0.21,0.02,0.2,0.58,0.4,1.02,0.05,0.03,0.25,0.5,8.53
33,Elvis Andrus,TEX,SS,MIN,AWAY,2,4.13,0.52,1.18,0.22,0.02,0.14,0.55,0.31,0.6,0.13,0.04,0.25,0.5,8.53
36,Brandon Nimmo,NYM,LF,LAD,HOME,1,3.94,0.58,1.03,0.22,0.04,0.15,0.46,0.55,1.18,0.08,0.02,0.25,0.4,8.52
37,Edwin Encarnacion,CLE,DH,DET,HOME,4,3.91,0.58,0.99,0.2,0.01,0.23,0.65,0.42,0.91,0.02,0,0.25,0.25,8.51
38,Dustin Fowler,OAK,CF,CHW,AWAY,1,4.09,0.54,1.07,0.19,0.02,0.16,0.58,0.34,0.65,0.13,0.04,0.25,0.25,8.5
38,Jesus Aguilar,MIL,1B,STL,HOME,5,3.87,0.56,1.06,0.2,0.01,0.21,0.66,0.38,1.17,0.02,0.01,0.25,0.25,8.5
38,Dustin Fowler,OAK,CF,CHW,AWAY,1,4.09,0.54,1.07,0.19,0.02,0.16,0.58,0.34,0.65,0.13,0.04,0.25,0.25,8.5
41,Matt Olson,OAK,1B,CHW,AWAY,5,3.78,0.51,1,0.21,0.01,0.25,0.58,0.4,1.09,0.03,0.02,0.25,0.25,8.47
42,Kris Bryant,CHC,3B,CIN,AWAY,1,3.85,0.57,1.06,0.23,0.03,0.16,0.53,0.51,0.83,0.03,0.03,0.25,0.5,8.46
42,Yoan Moncada,CHW,2B,OAK,HOME,1,4.07,0.57,1.04,0.21,0.03,0.17,0.48,0.46,1.41,0.1,0.02,0.25,0.4,8.46
44,Jose Abreu,CHW,1B,OAK,HOME,3,3.97,0.53,1.15,0.25,0.03,0.17,0.62,0.27,0.76,0.03,0,0.25,0.5,8.44
45,Alex Bregman,HOU,3B,KC,HOME,2,3.91,0.55,1.04,0.23,0.02,0.13,0.54,0.5,0.71,0.11,0.03,0.25,0.5,8.42
46,Wil Myers,SD,LF,SF,AWAY,2,3.93,0.55,0.98,0.22,0.02,0.18,0.5,0.44,1.22,0.12,0.04,0.25,0.25,8.4
47,Travis Shaw,MIL,3B,STL,HOME,4,3.9,0.58,0.96,0.2,0.01,0.2,0.64,0.49,0.95,0.04,0,0.25,0.25,8.39
48,Justin Turner,LAD,3B,NYM,AWAY,3,3.93,0.51,1.09,0.22,0.01,0.16,0.6,0.42,0.6,0.05,0.01,0.25,0.5,8.35
49,Daniel Murphy,WSH,1B,PHI,HOME,5,3.79,0.55,1.1,0.2,0.02,0.15,0.66,0.42,0.49,0.03,0.01,0.25,0.5,8.34
49,Manny Machado,BAL,SS,ATL,AWAY,3,3.95,0.54,1.06,0.2,0.01,0.2,0.59,0.38,0.71,0.05,0.02,0.25,0.25,8.34
51,Giancarlo Stanton,NYY,RF,TB,AWAY,3,3.97,0.59,0.94,0.2,0.01,0.2,0.7,0.41,1.09,0.03,0.01,0.25,0.25,8.32
52,Ian Kinsler,LAA,2B,TOR,HOME,1,4.26,0.54,1.06,0.22,0.02,0.18,0.44,0.36,0.63,0.11,0.04,0.25,0.2,8.31
