Rank,Name,Team,Position,Opponent,HomeOrAway,Started_YN,Saves,InningsPitched,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingHomeRuns,PitchingWalks,PitchingStrikeouts,PitchingBattingAverageAgainst,WalksHitsPerInningsPitched,FantasyPointsDraftKings
1,Max Scherzer,WSH,SP,MIA,HOME,Y,0,6.2,5.43,2.41,2.41,0,1.49,8.3,-2.5,1.049,24.31
2,Corey Kluber,CLE,SP,OAK,HOME,Y,0,6.0,5.46,3.44,3.44,0,1.1,8.59,-5,1.075,22.14
3,Charlie Morton,HOU,SP,CHW,HOME,Y,0,6.0,5.68,2.64,2.64,0,1.77,7.93,-3,1.24,21.6
4,Blake Snell,TB,SP,NYM,AWAY,Y,0,5.2,5.36,2.38,2.38,0,2.51,7.39,-1.667,1.411,19.61
5,James Paxton,SEA,SP,COL,HOME,Y,0,5.2,5.1,2.49,2.49,0,1.83,6.71,-2.5,1.231,19.2
6,Robbie Ray,ARI,SP,SD,HOME,Y,0,5.3,5.37,2.58,2.58,0,2.1,6.97,-2.5,1.263,18.93
7,Luis Severino,NYY,SP,TOR,AWAY,Y,0,5.2,6.2,4.17,4.17,0,1.7,8.56,-3,1.388,18.26
8,David Price,BOS,SP,KC,AWAY,Y,0,5.2,5.63,2.6,2.6,0,1.96,6.63,-3,1.322,17.66
9,Cole Hamels,TEX,SP,DET,AWAY,Y,0,6.1,5.82,2.34,2.34,0,1.92,5.5,-3,1.254,16.98
10,Ross Stripling,LAD,SP,LAA,AWAY,Y,0,5.1,4.55,2.39,2.39,0,1.74,5.52,-2.5,1.158,16.19
11,Jameson Taillon,PIT,SP,PHI,HOME,Y,0,5.2,5.36,2.56,2.56,0,1.98,5.73,-2.5,1.323,15.97
12,Tyson Ross,SD,SP,ARI,AWAY,Y,0,5.0,4.06,2.61,2.61,0,2.83,6.12,-1.333,1.348,15.83
13,Carlos Martinez,STL,SP,SF,AWAY,Y,0,5.2,5.67,2.68,2.68,0,2.22,5.47,-3,1.371,15.44
14,Kyle Gibson,MIN,SP,BAL,HOME,Y,0,5.2,5.92,2.67,2.67,0,2.16,5.59,-3,1.435,15.34
15,J.A. Happ,TOR,SP,NYY,HOME,Y,0,5.1,5.63,2.93,2.93,0,1.79,5.49,-3,1.35,14.03
16,Kevin Gausman,BAL,SP,MIN,AWAY,Y,0,5.1,5.77,2.88,2.88,0,1.42,5.09,-3,1.334,13.95
17,Steven Matz,NYM,SP,TB,HOME,Y,0,5.1,5.09,2.13,2.13,0,1.64,4.47,-2.5,1.289,13.42
18,Aaron Wilkerson,MIL,SP,ATL,HOME,Y,0,5.0,3.95,1.8,1.8,0,1.97,3.65,-2,1.17,12.95
19,Anibal Sanchez,ATL,SP,MIL,AWAY,Y,0,5.0,5.14,2.87,2.87,0,1.75,4.96,-2.5,1.37,12.8
20,Jake Arrieta,PHI,SP,PIT,AWAY,Y,0,5.2,5.76,2.45,2.45,0,1.96,3.82,-3,1.367,12.76
21,Kyle Freeland,COL,SP,SEA,AWAY,Y,0,5.1,5.72,2.73,2.73,0,2.16,4.53,-3,1.436,12.64
22,Matt Harvey,CIN,SP,CHC,AWAY,Y,0,5.1,4.8,2.77,2.77,0,2.15,4.89,-2.5,1.34,12.51
23,Brad Keller,KC,SP,BOS,HOME,Y,0,5.0,4.55,2.38,2.38,0,2.12,4.01,-2.5,1.318,11.81
24,Jeff Samardzija,SF,SP,STL,HOME,Y,0,4.3,4.51,2.53,2.53,0,1.69,4.01,-2.5,1.242,11.43
25,Tyler Chatwood,CHC,SP,CIN,HOME,Y,0,5.1,4.65,2.83,2.83,0,2.39,4.15,-1.667,1.362,11.28
26,Deck McGuire,LAA,SP,LAD,HOME,Y,0,5.0,4.12,2.12,2.12,0,2.87,3.77,-1.333,1.398,11.26
27,Wei-Yin Chen,MIA,SP,WSH,AWAY,Y,0,5.1,4.51,2.66,2.66,0,1.53,3.63,-2.5,1.133,11.24
28,Mike Fiers,DET,SP,TEX,HOME,Y,0,5.0,6.09,3.19,3.19,0,1.93,4.66,-3,1.564,10.99
29,Edwin Jackson,OAK,SP,CLE,AWAY,Y,0,4.0,4.7,3,3,0,2.4,4.14,-1.667,1.707,7.82
30,James Shields,CHW,SP,HOU,AWAY,Y,0,5.1,5.62,3.54,3.54,0,1.82,2.86,-3,1.417,6.65
31,Dylan Bundy,BAL,SP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Andrew Cashner,BAL,SP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brad Brach,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Zach Britton,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Darren O'Day,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chris Tillman,BAL,SP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mike Wright,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Alex Cobb,BAL,SP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Hunter Harvey,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Miguel Castro,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mychal Givens,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Gabriel Ynoa,BAL,SP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chris Lee,BAL,RP,MIN,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
