Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Adrian Beltre,$3.9K,R,TEX,3B,CHW,4 ,Dylan Covey,R, ,,,,,400,2,10.5,-137,5.63,0.05,136,0.301,0.349,0.147,0.353,0.449,0.802,18.60,9.00,0.346,9.72,2.49
Daniel Palka,$3.6K,L,CHW,OF,@ TEX,4 ,Yovani Gallardo,R,,,,,,1000,-5,10.5,125,4.87,-0.05,143,0.238,0.302,0.203,0.268,0.441,0.709,32.00,4.70,0.322,8.91,2.48
Elvis Andrus,$3.9K,R,TEX,SS,CHW,2 ,Dylan Covey,R, ,,,,,400,6,10.5,-137,5.63,0.05,65,0.277,0.350,0.154,0.368,0.431,0.799,10.50,10.50,0.286,9.63,2.47
Rougned Odor,$3.7K,L,TEX,2B,CHW,5 ,Dylan Covey,R,,,,,,1000, ,10.5,-137,5.63,0.05,125,0.192,0.258,0.12,0.261,0.312,0.573,26.90,8.50,0.247,9.06,2.45
Luis Valbuena,$3.3K,L,LAA,1B/3B,@ BAL,6 ,David Hess,R,,,,,,800,14,10.0,-149,5.47,0.04,184,0.212,0.267,0.152,0.250,0.364,0.614,32.70,5.60,0.272,7.98,2.42
Kole Calhoun,$3.4K,L,LAA,OF,@ BAL,1 ,David Hess,R,,,,,,900,2,10.0,-149,5.47,0.04,162,0.179,0.218,0.080,0.230,0.259,0.489,24.10,6.30,0.220,8.2,2.41
Scott Kingery,$3.0K,R,PHI,SS,WAS,5 ,Erick Fedde,R, ,,,,,600,2,9.0,-116,4.6,-0.05,182,0.242,0.279,0.104,0.288,0.346,0.634,22.20,6.10,0.302,7.2,2.4
Orlando Arcia,$2.7K,R,MIL,SS,@ CIN,8 ,Sal Romano,R, ,,,,,400, ,10.0,-108,4.93,0.5,156,0.231,0.247,0.064,0.264,0.295,0.559,23.90,4.30,0.296,6.47,2.4
Enrique Hernandez,$3.5K,R,LAD,OF/SS,COL,2 ,Tyler Anderson,L,,,,,,300,48,7.5,-158,4.16,-0.02,98,0.255,0.359,0.245,0.321,0.500,0.821,19.50,12.40,0.257,8.34,2.38
Nick Ahmed,$3.4K,R,ARI,SS,SFG,2 ,Andrew Suarez,L,,,,,,500,-1,7.0,-133,3.7,-0.61,81,0.284,0.371,0.259,0.333,0.543,0.876,14.90,6.90,0.297,8.07,2.37
Chris Davis,$2.9K,L,BAL,1B,LAA,5 ,Felix Pena,R,,,,,,600,-1,10.0,134,4.53,-0.04,167,0.162,0.215,0.078,0.227,0.240,0.467,37.00,8.20,0.250,6.84,2.36
Chris Owings,$3.0K,R,ARI,OF,SFG,6 ,Andrew Suarez,L,,,,,,700,1,7.0,-133,3.7,-0.61,78,0.218,0.264,0.115,0.262,0.333,0.595,26.40,9.20,0.291,7.06,2.35
Justin Smoak,$3.8K,S,TOR,1B,DET,5 ,Francisco Liriano,L,,,,,,900,-1,9.0,-187,5.24,0.36,91,0.286,0.350,0.132,0.377,0.418,0.795,22.60,11.30,0.364,8.91,2.34
Manny Pina,$2.9K,R,MIL,C,@ CIN,6 ,Sal Romano,R, ,,,,,800,-39,10.0,-108,4.93,0.5,149,0.228,0.280,0.148,0.266,0.376,0.642,20.80,5.00,0.265,6.78,2.34
Salvador Perez,$3.6K,R,KCR,C,@ SEA,4 ,Marco Gonzales,L,,,,,,1200,-35,8.0,174,3.29,0.09,55,0.200,0.291,0.236,0.237,0.436,0.673,25.00,6.70,0.189,8.37,2.33
Justin Bour,$3.4K,L,MIA,1B,NYM,4 ,Corey Oswalt,R,,,,,,500,12,8.5,-103,4.18,1.12,171,0.251,0.375,0.257,0.358,0.509,0.867,23.60,17.30,0.279,7.9,2.32
Trey Mancini,$3.3K,R,BAL,1B/OF,LAA,1 ,Felix Pena,R, ,,,,,700,-27,10.0,134,4.53,-0.04,189,0.222,0.291,0.148,0.284,0.370,0.654,24.60,9.00,0.265,7.59,2.3
Logan Forsythe,$2.9K,R,LAD,2B/3B,COL,6 ,Tyler Anderson,L,,,,,,700,6,7.5,-158,4.16,-0.02,56,0.196,0.245,0.107,0.250,0.304,0.554,18.30,6.70,0.227,6.65,2.29
Jeff Mathis,$2.5K,R,ARI,C,SFG,8 ,Andrew Suarez,L,,,,,,400,-29,7.0,-133,3.7,-0.61,15,0.267,0.382,0.2,0.429,0.467,0.896,27.30,27.30,0.400,5.73,2.29
Avisail Garcia,$3.7K,R,CHW,OF,@ TEX,2 ,Yovani Gallardo,R, ,,,,,1200,-18,10.5,125,4.87,-0.05,77,0.234,0.254,0.104,0.250,0.338,0.588,25.00,0.00,0.286,8.42,2.28
Greg Garcia,$2.9K,L,STL,2B/SS,ATL,2 ,Julio Teheran,R,,,,,,700,2,8.5,-132,4.5,-0.14,84,0.262,0.296,0.060,0.333,0.321,0.654,17.30,11.20,0.319,6.6,2.28
Chris Taylor,$3.8K,R,LAD,OF/SS,COL,1 ,Tyler Anderson,L,,,,,,700,30,7.5,-158,4.16,-0.02,87,0.253,0.364,0.241,0.347,0.494,0.841,16.50,13.60,0.279,8.63,2.27
Brad Miller,$3.5K,L,MIL,1B,@ CIN,1 ,Sal Romano,R,,,,,,900,-2,10.0,-108,4.93,0.5,133,0.256,0.338,0.188,0.331,0.444,0.775,30.90,11.80,0.357,7.93,2.27
Roberto Perez,$2.6K,R,CLE,C,@ OAK,8 ,Paul Blackburn,R, ,,,,,600,-33,8.0,-182,4.61,0.07,77,0.117,0.197,0.104,0.207,0.221,0.428,39.10,9.20,0.186,5.89,2.27
David Freese,$3.1K,R,PIT,1B/3B,@ SDP,4 ,Eric Lauer,L,,,,,,1000,13,7.5,-112,3.81,-0.14,52,0.192,0.229,0.019,0.254,0.212,0.466,20.00,11.70,0.238,7.05,2.27
