Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Ross Stripling,$4.4K,R,LAD,SP,CIN,,,,,-1400,1,8.5,-178,4.87,0.26,5,0.225,0.268,0.073,8.71,4,0.346,0.481,0.200,9.99,62,0.00,0.00,0.00,0.279,9.28,0.00,0.00,17.17,3.9
Jarlin Garcia,$5.3K,L,MIA,SP,ATL,,,,,-1300,2,8.0,124,3.71,-0.05,3,0.255,0.305,0.119,8.07,6,0.296,0.388,0.177,6.75,51,0.00,0.00,0.00,0.282,7.19,0.00,0.00,14.99,2.83
Troy Scribner,$4.0K,R,ARI,SP,WAS,,,,,-1500, ,8.0,162,3.39, ,3,0.436,0.655,0.448,8.22,6,0.317,0.469,0.265,6.92,8,0.00,0.00,0.00,0.357,7.35,0.00,0.00,10.22,2.56
David Price,$7.5K,L,BOS,SP,@ TOR,,,,,-100,2,9.0,-139,4.83,-0.19,0,0.239,0.258,0.052,6.04,9,0.334,0.422,0.161,9.56,25,0.00,0.00,0.00,0.334,9.56,0.00,0.00,18.92,2.52
Doug Fister,$4.5K,R,TEX,SP,@ HOU,,,,,-1900,2,8.5,206,3.26,0.12,4,0.312,0.353,0.113,8.84,5,0.336,0.427,0.141,8.75,26,0.00,0.00,0.00,0.325,8.79,0.00,0.00,11.31,2.51
Jeff Samardzija,$6.4K,R,SFG,SP,@ PIT,,,,,200,-4,8.5,112,4.06,0.03,5,0.362,0.516,0.239,10.13,4,0.290,0.387,0.139,8.63,36,0.00,0.00,0.00,0.330,9.46,0.00,0.00,15.93,2.49
David Hess,$4.0K,R,BAL,SP,TBR,,,,,-1500, ,9.5,-121,4.92,0.59,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,9.93,2.48
Jon Lester,$8.8K,L,CHC,SP,CHW,,,,,-200,4,7.5,-261,4.75,4.75,0,0.240,0.308,0.106,11.32,9,0.343,0.447,0.189,8.23,42,0.00,0.00,0.00,0.343,8.23,0.00,0.00,20.55,2.34
Homer Bailey,$4.0K,R,CIN,SP,@ LAD,,,,,-1500, ,8.5,159,3.63,0.24,4,0.396,0.524,0.221,4.81,5,0.374,0.504,0.200,7.10,26,0.00,0.00,0.00,0.384,6.08,0.00,0.00,9.22,2.31
Michael Wacha,$8.0K,R,STL,SP,@ SDP,,,,,-300,3,7.5,-115,3.83,-0.05,5,0.320,0.381,0.116,8.12,4,0.330,0.421,0.142,9.50,37,0.00,0.00,0.00,0.324,8.73,0.00,0.00,17.35,2.17
Marco Estrada,$5.7K,R,TOR,SP,BOS,,,,,-1500,7,9.0,125,4.17,-0.31,3,0.302,0.415,0.201,8.54,6,0.381,0.521,0.226,9.03,41,0.00,0.00,0.00,0.355,8.87,0.00,0.00,12.35,2.17
