Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Nicholas Pivetta,$7.2K,R,PHI,SP,@ BAL,,,,,100,-2,10.5,-115,5.36,0.03,4,0.097,,0.000,5.40,5,0.299,,0.100,7.20,1,1.04,0.00,0.00,0.209,6.40,0.00,0.00,19,2.64,3,0.587,,0.333,2.90,6,0.586,,0.291,11.60,1,5.53,0.00,0.60,0.586,8.70,0.00,0.00,3,0.389,,0.228,5.40,6,0.445,,0.167,3.00,4,4.89,0.00,0.39,0.426,3.80,0.00,0.00,3,0.298,,0.122,4.00,6,0.346,,0.139,3.70,24,4.24,0.00,0.16,0.330,3.80,0.00,0.00
Christian Bergman,$4.0K,R,SEA,SP,TEX,,,,,-1500,3,8.5,-109,4.32,-0.36,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.2,2.55,4,0.507,,0.500,4.50,5,0.340,,0.067,7.50,2,3.30,0.00,0.33,0.414,6.20,0.00,0.00,4,0.415,,0.355,3.70,5,0.330,,0.132,7.40,4,3.34,0.00,0.36,0.368,5.70,0.00,0.00,4,0.317,,0.130,4.80,5,0.373,,0.247,5.20,33,3.58,0.00,0.27,0.348,5.00,0.00,0.00
Garrett Richards,$5.8K,R,LAA,SP,HOU,,,,,-2700,9,7.5,104,3.65,0.12,3,0.135,,0.000,3.50,6,0.533,,0.428,3.50,1,4.80,0.00,0.50,0.400,3.50,0.00,0.00,14.24,2.46,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00
Trevor Cahill,$5.1K,R,OAK,SP,@ BOS,,,,,-2100,6,8.0,224,2.96,-0.23,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.26,2.4,4,0.531,,0.500,2.90,5,0.357,,0.182,5.80,1,5.22,0.00,0.23,0.434,4.50,0.00,0.00,4,0.389,,0.313,2.70,5,0.319,,0.171,4.30,3,5.40,0.00,0.14,0.350,3.60,0.00,0.00,4,0.332,,0.176,4.00,5,0.323,,0.150,3.60,37,4.16,0.00,0.14,0.327,3.80,0.00,0.00
Walker Buehler,$8.5K,R,LAD,SP,@ MIA,,,,,-1000,5,8.0,-198,4.71,0.45,2,0.365,,0.077,3.00,7,0.000,,0.000,9.00,1,1.25,0.00,0.00,0.081,7.70,0.00,0.00,18.78,2.21,3,0.146,,0.000,5.60,6,0.309,,0.158,4.00,2,3.43,0.00,0.25,0.255,4.50,0.00,0.00,3,0.207,,0.116,7.80,6,0.389,,0.171,4.40,4,3.02,0.00,0.25,0.328,5.50,0.00,0.00,3,0.249,,0.135,7.00,6,0.277,,0.091,5.00,12,3.54,0.00,0.27,0.268,5.70,0.00,0.00
J.A. Happ,$9.3K,L,TOR,SP,@ NYM,,,,,700,-1,7.0,-137,3.74,-0.4,2,0.571,,0.750,2.90,7,0.616,,0.286,5.80,1,5.02,0.00,0.40,0.606,5.20,0.00,0.00,18.85,2.03,1,0.080,,0.000,7.70,8,0.259,,0.180,27.00,1,0.76,0.00,0.25,0.239,24.90,0.00,0.00,1,0.225,,-0.011,3.00,8,0.277,,0.225,12.70,4,1.96,0.00,0.21,0.271,11.60,0.00,0.00,1,0.242,,0.065,2.00,8,0.268,,0.164,12.00,39,1.68,0.00,0.20,0.265,10.90,0.00,0.00
Elieser Hernandez,$4.0K,R,MIA,SP,LAD,,,,,-1500,3,8.0,175,3.29,0.05,5,0.399,,0.000,3.00,4,0.292,,0.000,0.00,2,4.92,0.00,0.00,0.351,1.70,0.00,0.00,8.05,2.01,3,0.192,,0.091,9.00,6,0.255,,0.100,9.00,1,1.43,0.00,0.00,0.234,9.00,0.00,0.00,3,0.162,,0.040,4.80,6,0.339,,0.264,7.40,3,2.31,0.00,0.29,0.280,6.50,0.00,0.00,3,0.300,,0.141,4.80,6,0.373,,0.233,5.50,25,3.87,0.00,0.33,0.349,5.30,0.00,0.00
Zack Wheeler,$8.0K,R,NYM,SP,TOR,,,,,1000,-6,7.0,123,3.26,-0.6,4,0.189,,0.000,6.00,5,0.277,,0.000,4.50,1,3.96,0.00,0.00,0.238,5.20,0.00,0.00,14.88,1.86,6,0.381,,0.167,4.50,3,0.249,,0.000,18.00,1,4.39,0.00,0.00,0.337,9.00,0.00,0.00,6,0.319,,0.059,2.10,3,0.210,,0.000,7.90,3,4.65,0.00,0.00,0.283,4.10,0.00,0.00,6,0.349,,0.170,4.00,3,0.297,,0.161,4.20,37,4.71,0.00,0.27,0.332,4.10,0.00,0.00
Andrew Cashner,$5.0K,R,BAL,SP,PHI,,,,,-1300,3,10.5,102,5.14,-0.03,7,0.273,,0.263,4.50,2,0.351,,0.167,0.00,1,4.74,0.00,0.33,0.290,3.50,0.00,0.00,8.06,1.61,2,0.266,,0.048,3.80,7,0.035,,0.000,8.20,2,1.95,0.00,0.00,0.086,7.20,0.00,0.00,2,0.249,,0.028,4.80,7,0.186,,0.000,9.50,3,3.01,0.00,0.00,0.200,8.50,0.00,0.00,2,0.244,,0.019,6.20,7,0.295,,0.113,9.00,9,3.37,0.00,0.15,0.284,8.40,0.00,0.00
Miles Mikolas,$11.0K,R,STL,SP,@ MIN,,,,,2000,-1,9.5,-110,4.83,-0.14,5,0.271,,0.177,2.90,4,0.224,,0.000,2.90,1,4.78,0.00,0.33,0.250,2.90,0.00,0.00,16.22,1.47,6,0.262,,0.018,1.80,3,0.249,,0.053,9.00,1,3.94,0.00,0.00,0.258,4.20,0.00,0.00,6,0.408,,0.135,5.20,3,0.357,,0.209,7.40,3,4.10,0.00,0.27,0.391,5.90,0.00,0.00,6,0.332,,0.125,3.20,3,0.314,,0.157,5.90,30,3.79,0.00,0.17,0.326,4.10,0.00,0.00
Bartolo Colon,$7.0K,R,TEX,SP,@ SEA,,,,, ,-2,8.5,-104,4.18,-0.14,4,0.385,,0.250,1.80,5,0.362,,0.312,5.40,1,4.25,0.00,0.25,0.372,3.80,0.00,0.00,10.23,1.46,2,0.444,,0.500,1.10,7,0.447,,0.219,5.40,2,5.50,0.00,0.33,0.446,4.50,0.00,0.00,2,0.210,,0.143,4.10,7,0.353,,0.182,6.40,5,2.97,0.00,0.25,0.321,5.90,0.00,0.00,2,0.220,,0.120,2.00,7,0.326,,0.158,8.00,32,3.39,0.00,0.22,0.302,6.70,0.00,0.00
