Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Chris O'Grady,$4.5K,L,MIA,SP,WAS, , ,0.50%, ,-1900,6,8.0,193,3.2, ,3,0.215,,0.069,11.25,6,0.434,,0.293,8.38,4,4.42,4.77,0.11,0.361,9.34,0.30,0.31,12.85,2.86
Jose Berrios,$7.7K,R,MIN,SP,@ SDP,4,7.29,20.00%,1.037,-1500,7,8.0,-103,3.95,-0.14,3,0.351,,0.151,8.48,6,0.361,,0.188,8.78,27,4.44,5.78,0.18,0.358,8.68,0.34,0.28,20.74,2.69
Ricky Nolasco,$6.0K,R,LAA,SP,PHI,14,15.71,3.00%,5.340,-1000,2,8.0,-126,4.2,-0.1,6,0.320,,0.191,6.17,3,0.351,,0.210,8.41,53,4.02,5.34,0.17,0.330,6.92,0.36,0.31,16.02,2.67
Jameson Taillon,$8.0K,R,PIT,SP,CIN,11,13.86,5.00%,4.150,600,-6,9.0,-159,5.04,0.02,5,0.332,,0.102,6.55,4,0.320,,0.174,9.66,32,3.41,4.16,0.15,0.327,7.93,0.43,0.22,20.75,2.59
Dylan Bundy,$6.2K,R,BAL,SP,KCR, , ,0.50%, ,-600,0,10.0,-120,5.18,0.26,5,0.371,,0.223,6.11,4,0.326,,0.188,9.53,56,4.31,5.73,0.18,0.351,7.63,0.30,0.33,15.6,2.52
Jimmy Nelson,$7.8K,R,MIL,SP,STL,3,6.43,17.50%,1.116,-1000,4,8.5,-106,4.3,-0.16,2,0.342,,0.184,9.53,7,0.334,,0.136,8.34,54,3.80,5.00,0.18,0.336,8.60,0.42,0.23,19.53,2.5
Sean Manaea,$7.9K,L,OAK,SP,SFG,6,8.29,12.50%,1.550,-400,-1,8.0,-126,4.2,-0.13,3,0.232,,0.111,7.48,6,0.337,,0.169,8.66,43,3.66,4.54,0.16,0.302,8.27,0.36,0.27,19.38,2.45
Jhoulys Chacin,$7.3K,R,SDP,SP,MIN,12,14.14,0.50%, ,-300,0,8.0,-107,4.05,0.14,5,0.337,,0.168,5.82,4,0.301,,0.109,9.48,55,3.95,4.78,0.18,0.321,7.45,0.41,0.20,17.36,2.38
Kenta Maeda,$7.2K,R,LAD,SP,@ ATL, , ,2.00%,8.525,-800,3,9.5,-175,5.46,-0.08,7,0.315,,0.146,8.15,2,0.284,,0.140,10.75,53,3.40,4.40,0.18,0.308,8.73,0.37,0.24,17.05,2.37
Aaron Nola,$9.1K,R,PHI,SP,@ LAA,7,10.14,10.00%,2.137,-300,1,8.0,116,3.8,-0.4,4,0.300,,0.139,8.69,5,0.290,,0.113,10.93,36,3.00,3.77,0.15,0.294,9.93,0.44,0.22,21.37,2.35
Max Scherzer,$13.2K,R,WAS,SP,@ MIA,1,1.71,32.50%,0.941,1700,0,8.0,-208,4.8, ,5,0.334,,0.214,10.13,4,0.200,,0.121,13.50,57,2.54,3.79,0.18,0.274,11.63,0.30,0.31,30.57,2.32
Michael Fiers,$8.5K,R,HOU,SP,TBR,9,12.00,7.50%,2.635,-200,-1,8.5,-101,4.3,-0.15,5,0.321,,0.151,7.25,4,0.364,,0.232,8.79,52,3.80,5.40,0.20,0.340,7.93,0.37,0.28,19.76,2.32
Carlos Martinez,$8.8K,R,STL,SP,@ MIL,5,7.43,20.00%,0.994,-300,0,8.5,-104,4.2,0.16,3,0.346,,0.163,8.41,6,0.241,,0.084,9.69,50,3.46,4.29,0.16,0.276,9.26,0.44,0.21,19.87,2.26
Chris Sale,$13.0K,L,BOS,SP,CLE,2,5.00,20.00%,1.470,1600,0,7.0,-159,3.92,-0.41,1,0.257,,0.138,10.96,8,0.268,,0.145,11.07,53,2.64,3.48,0.14,0.267,11.06,0.32,0.29,29.41,2.26
Homer Bailey,$4.2K,R,CIN,SP,@ PIT, , ,0.25%, ,200,1,9.0,149,3.96,-0.02,3,0.409,,0.135,6.10,6,0.419,,0.159,8.67,13,4.23,5.40,0.22,0.416,7.81,0.33,0.18,9.47,2.25
Anibal Sanchez,$4.9K,R,DET,SP,@ NYY, , ,0.50%, ,-1500,2,10.0,155,4.35,0.29,4,0.332,,0.153,8.70,5,0.387,,0.229,8.63,52,4.08,5.86,0.21,0.363,8.66,0.32,0.30,10.93,2.23
Ian Kennedy,$6.5K,R,KCR,SP,@ BAL, , ,1.00%,14.410,-600,1,10.0,110,4.82,0.24,2,0.317,,0.190,9.14,7,0.310,,0.175,9.21,52,4.15,5.51,0.17,0.312,9.19,0.28,0.35,14.41,2.22
Carlos Carrasco,$9.8K,R,CLE,SP,@ BOS, , ,5.00%,4.294,300,-1,7.0,149,3.08,-0.59,4,0.389,,0.291,10.46,5,0.285,,0.147,10.18,45,3.09,4.35,0.18,0.331,10.30,0.37,0.28,21.47,2.19
Lucas Sims,$4.6K,R,ATL,SP,LAD, , ,4.00%,2.507,0,0,9.5,165,4.04,0.08,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.03,2.18
Nick Martinez,$4.0K,R,TEX,SP,SEA, , ,0.25%, ,-1700,5,11.0,-105,5.57,0.14,6,0.414,,0.234,4.04,3,0.327,,0.187,4.38,25,5.26,6.79,0.22,0.385,4.15,0.33,0.26,8.69,2.17
CC Sabathia,$7.5K,L,NYY,SP,DET, , ,0.50%, ,800,-6,10.0,-165,5.65,0.21,0,0.297,,0.111,9.30,9,0.313,,0.134,7.45,46,4.07,4.92,0.17,0.313,7.45,0.40,0.22,15.98,2.13
Jeff Samardzija,$8.4K,R,SFG,SP,@ OAK,8,10.71,15.00%,1.177,-200,-1,8.0,116,3.8,-0.37,5,0.345,,0.210,8.93,4,0.291,,0.142,8.33,54,3.37,4.38,0.17,0.321,8.66,0.37,0.26,17.66,2.1
Chris Archer,$9.6K,R,TBR,SP,@ HOU,14,15.71,7.50%,2.605,-300,2,8.5,-109,4.2,0.15,4,0.305,,0.161,11.61,5,0.306,,0.152,10.94,54,3.14,4.22,0.17,0.306,11.24,0.34,0.28,19.54,2.04
Jon Lester,$9.5K,L,CHC,SP,ARI,10,13.57,10.00%,1.939,-200,2,8.5,-179,4.91,4.91,3,0.223,,0.089,10.10,6,0.300,,0.160,8.69,58,3.29,4.26,0.19,0.274,9.16,0.39,0.23,19.39,2.04
Patrick Corbin,$7.1K,L,ARI,SP,@ CHC,14,15.71,0.25%, ,-700,3,8.5,169,3.59,3.59,2,0.309,,0.168,11.24,7,0.377,,0.198,7.08,55,3.92,5.27,0.21,0.362,8.00,0.40,0.23,14.42,2.03
Marcus Stroman,$11.0K,R,TOR,SP,@ CHW,13,14.29,2.00%,9.630,2500,-9,9.5,-215,5.75,-0.31,4,0.304,,0.113,8.09,5,0.320,,0.156,7.87,54,3.42,4.51,0.20,0.313,7.97,0.50,0.18,19.26,1.75
Jeff Hoffman,$5.4K,R,COL,SP,NYM, , ,0.25%, ,-400,-1,12.5,-114,6.39,-0.3,5,0.310,,0.184,6.21,4,0.388,,0.206,9.00,21,4.47,5.51,0.15,0.345,7.45,0.34,0.30,9.47,1.75
Erasmo Ramirez,$4.8K,R,SEA,SP,@ TEX, , ,0.25%, ,-700,-1,11.0,-105,5.43,0.86,5,0.425,,0.288,6.75,4,0.294,,0.140,7.27,89,3.95,5.20,0.19,0.367,6.98,0.42,0.26,8.31,1.73
Steven Matz,$5.5K,L,NYM,SP,@ COL, , ,2.00%,4.575,500,-5,12.5,104,6.11,0.3,3,0.308,,0.107,8.17,6,0.336,,0.172,9.55,30,3.36,4.48,0.19,0.327,9.09,0.40,0.23,9.15,1.66
Mike Pelfrey,$4.7K,R,CHW,SP,TOR, , ,0.25%, ,1700,-3,9.5,199,3.75,-0.19,3,0.435,,0.247,5.90,6,0.338,,0.114,5.21,43,4.80,6.09,0.21,0.370,5.44,0.43,0.20,7.29,1.55
