Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Felix Pena,$4.4K,R,LAA,SP,TOR, , ,0.00%, ,-1100,2,8.5,-137,4.54,-0.27,3,0.261,,0.000,4.50,6,0.234,,0.000,9.00,1,3.69,0.00,0.00,0.243,7.50,0.00,0.00,16.59,3.77,3,0.261,,0.000,4.50,6,0.234,,0.000,9.00,1,3.69,0.00,0.00,0.243,7.50,0.00,0.00,3,0.261,,0.000,4.50,6,0.234,,0.000,9.00,1,3.69,0.00,0.00,0.243,7.50,0.00,0.00,3,0.385,,0.188,2.90,6,0.333,,0.273,8.70,3,3.42,0.00,0.40,0.350,6.80,0.00,0.00,3,0.353,,0.189,5.30,6,0.381,,0.297,6.70,25,3.72,0.00,0.29,0.372,6.20,0.00,0.00
Rich Hill,$6.6K,L,LAD,SP,@ NYM, , ,35.00%,0.634,-1000,9,8.5,-175,4.84,0.28,3,0.126,,0.000,3.00,6,0.196,,0.000,6.00,1,3.75,0.00,0.00,0.173,5.00,0.00,0.00,22.2,3.36,3,0.126,,0.000,3.00,6,0.196,,0.000,6.00,1,3.75,0.00,0.00,0.173,5.00,0.00,0.00,3,0.126,,0.000,3.00,6,0.196,,0.000,6.00,1,3.75,0.00,0.00,0.173,5.00,0.00,0.00,3,0.267,,0.047,2.10,6,0.389,,0.275,7.50,7,3.63,0.00,0.29,0.348,5.70,0.00,0.00,3,0.337,,0.137,2.20,6,0.283,,0.173,9.70,31,2.87,0.00,0.21,0.301,7.20,0.00,0.00
Eric Lauer,$4.5K,L,SDP,SP,@ SFG, , ,0.00%, ,-2000,11,8.0,124,3.7,-0.17,3,0.000,,0.000,1.50,6,0.175,,0.009,9.00,1,2.45,0.00,0.00,0.117,6.50,0.00,0.00,12.71,2.82,3,0.000,,0.000,0.80,6,0.281,,0.082,6.40,2,3.44,0.00,0.17,0.187,4.60,0.00,0.00,3,0.362,,0.105,0.40,6,0.342,,0.134,8.10,5,4.18,0.00,0.14,0.349,5.50,0.00,0.00,3,0.381,,0.150,0.90,6,0.378,,0.179,8.00,10,4.21,0.00,0.19,0.379,5.60,0.00,0.00,3,0.381,,0.150,0.90,6,0.378,,0.179,8.00,10,4.21,0.00,0.19,0.379,5.60,0.00,0.00
Domingo German,$7.3K,R,NYY,SP,@ TBR, , ,32.50%,0.570,-1200,9,8.0,-166,4.51,0.28,4,0.156,,0.125,3.90,5,0.128,,0.188,7.70,1,0.78,0.00,0.25,0.140,6.00,0.00,0.00,18.53,2.54,4,0.176,,0.067,4.20,5,0.232,,0.194,9.00,2,1.24,0.00,0.29,0.207,6.80,0.00,0.00,4,0.296,,0.188,4.80,5,0.276,,0.218,9.30,4,2.24,0.00,0.18,0.285,7.30,0.00,0.00,4,0.274,,0.196,5.00,5,0.314,,0.164,7.50,12,2.77,0.00,0.20,0.296,6.40,0.00,0.00,4,0.278,,0.175,5.20,5,0.312,,0.163,7.50,18,2.91,0.00,0.21,0.297,6.50,0.00,0.00
David Hess,$4.7K,R,BAL,SP,@ ATL, , ,5.00%,2.310,-1000,1,9.5,167,4,0.13,6,0.313,,0.102,2.10,3,0.452,,0.500,2.10,1,6.60,0.00,0.14,0.359,2.10,0.00,0.00,11.55,2.46,6,0.429,,0.346,3.70,3,0.439,,0.250,1.20,2,7.41,0.00,0.23,0.432,2.90,0.00,0.00,6,0.364,,0.301,3.70,3,0.345,,0.156,0.90,4,6.03,0.00,0.20,0.358,2.80,0.00,0.00,6,0.386,,0.264,3.30,3,0.312,,0.212,1.80,7,5.23,0.00,0.21,0.361,2.80,0.00,0.00,6,0.386,,0.264,3.30,3,0.312,,0.212,1.80,7,5.23,0.00,0.21,0.361,2.80,0.00,0.00
Sal Romano,$4.8K,R,CIN,SP,CHC, , ,5.00%,2.300,-1400,3,9.5,128,4.35,0.39,5,0.361,,0.027,2.60,4,0.112,,0.000,5.10,1,4.29,0.00,0.00,0.250,3.70,0.00,0.00,11.5,2.4,5,0.207,,0.006,3.90,4,0.208,,0.104,6.40,1,4.82,0.00,0.14,0.207,5.00,0.00,0.00,5,0.246,,0.048,4.20,4,0.336,,0.313,4.80,3,4.08,0.00,0.23,0.286,4.50,0.00,0.00,5,0.368,,0.186,3.10,4,0.304,,0.217,4.10,14,4.62,0.00,0.22,0.340,3.50,0.00,0.00,5,0.353,,0.178,3.60,4,0.325,,0.201,4.00,29,4.45,0.00,0.21,0.341,3.80,0.00,0.00
Jerry Blevins,$4.0K,L,NYM,SP,LAD, , ,1.00%,9.510,-1500,3,8.5,154,3.66,0.22,4,0.229,,0.000,0.00,5,0.000,,0.000,30.00,2,5.85,0.00,0.00,0.102,16.70,0.00,0.00,9.51,2.38,4,0.541,,0.600,6.90,5,0.000,,0.000,13.80,4,3.52,0.00,0.33,0.240,10.80,0.00,0.00,4,0.514,,0.307,3.30,5,0.271,,0.071,8.20,9,4.82,0.00,0.14,0.379,6.00,0.00,0.00,4,0.373,,0.142,6.10,5,0.266,,0.042,5.20,30,5.65,0.00,0.06,0.314,5.60,0.00,0.00,4,0.258,,0.042,11.90,5,0.361,,0.196,5.90,103,3.17,0.00,0.10,0.315,8.60,0.00,0.00
Brandon McCarthy,$5.9K,R,ATL,SP,BAL, , ,10.00%,1.385,-400, ,9.5,-183,5.5,0.37,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.85,2.35,2,0.367,,0.115,5.20,7,0.408,,0.300,1.70,1,4.32,0.00,0.33,0.399,2.50,0.00,0.00,2,0.429,,0.280,3.50,7,0.251,,0.154,6.40,3,3.61,0.00,0.32,0.291,5.80,0.00,0.00,2,0.370,,0.232,4.20,7,0.348,,0.148,4.50,11,4.20,0.00,0.29,0.353,4.40,0.00,0.00,2,0.313,,0.142,4.00,7,0.334,,0.136,4.10,29,4.09,0.00,0.18,0.329,4.10,0.00,0.00
Paul Blackburn,$4.8K,R,OAK,SP,@ CHW, , ,5.00%,2.222,-700,-2,9.0,-101,4.42,-0.02,5,0.284,,0.083,5.40,4,0.242,,0.143,1.80,1,4.68,0.00,0.00,0.265,3.80,0.00,0.00,11.11,2.31,5,0.341,,0.067,4.40,4,0.508,,0.266,1.50,2,5.84,0.00,0.00,0.415,3.10,0.00,0.00,5,0.305,,0.095,2.20,4,0.381,,0.242,3.00,3,5.46,0.00,0.20,0.339,2.60,0.00,0.00,5,0.305,,0.095,2.20,4,0.381,,0.242,3.00,3,5.46,0.00,0.20,0.339,2.60,0.00,0.00,5,0.272,,0.071,1.70,4,0.344,,0.169,2.10,13,5.52,0.00,0.19,0.304,1.90,0.00,0.00
Mike Montgomery,$7.0K,L,CHC,SP,@ CIN, , ,7.50%,2.088,-600,7,9.5,-145,5.15,0.11,3,0.229,,0.000,6.00,6,0.303,,0.059,1.50,1,5.03,0.00,0.00,0.278,3.00,0.00,0.00,15.66,2.24,3,0.147,,0.000,3.80,6,0.267,,0.125,3.00,2,4.55,0.00,0.13,0.227,3.20,0.00,0.00,3,0.257,,0.114,2.80,6,0.193,,0.057,3.10,5,4.50,0.00,0.10,0.214,3.00,0.00,0.00,3,0.270,,0.084,2.80,6,0.267,,0.108,3.60,19,4.76,0.00,0.13,0.268,3.30,0.00,0.00,3,0.287,,0.103,2.30,6,0.295,,0.128,5.10,64,4.64,0.00,0.17,0.292,4.20,0.00,0.00
