mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
592351,Jon Gray,col,sdn,P,,18.958,2.65,7900,2.399746835443038,18.958,10.15,19.6,27.9,31.8075,38.45,45.65,35.6649,22,38,50,55,63,70,20.1518,10,21,30,35,41,47,26.7749,4.2342,1.2417,0.1613,0.6388,2.7724,0,2.1558,0,0,,,,,,,6.32567,0.4708,0.5695,6.4297,0.0412,0.0293,3.6536841156747037,3.4593237064216127
453568,Charlie Blackmon,col,sdn,OF,1,10.4789,7,5900,1.7760847457627118,10.4789,4,9,15,19,26,35,13.5087,6,12,19,24.9,34.4,47.101,8.7178,4,8,12,16,22,30,4.7261,0.9004,0.2344,0.0568,0.1977,0.7881,0.5487,0.4571,0.1173,0.0607,0.32543921293042866,0.39068153445758663,0.5458889669711876,0.9365705014287742,0.4005474704301644,0.22044975404075895,0,0,0,0.734,0,0,,
571448,Nolan Arenado,col,sdn,3B,3,11.4137,2,5700,2.00240350877193,11.4137,5,9,17,21,29,40,15.2298,6,12.2,22.2,28.2,38.605,54.405,9.738,4,8,14,18,24,34,4.5111,0.6956,0.3273,0.0338,0.2838,0.8501,0.9056,0.4913,0.0176,0.0163,0.33347430220408975,0.40606503956906304,0.6435146027165531,1.0495796422856163,0.4414823878876549,0.3100403005124634,0,0,0,0.5374,0,0,,
435622,Ian Desmond,col,sdn,1B,5,9.0105,18,5300,1.7000943396226416,9.0105,3,7,14,17,23,32,11.8171,3,9.2,18.2,22.2,31.7,44.2,7.5546,2,6,12,14,20,28,4.295,0.8009,0.2139,0.0204,0.1555,0.6262,0.72,0.3406,0.0893,0.0504,0.30110762694719806,0.3565308498253783,0.48348674893789195,0.8400175987632703,0.3622732945285216,0.1823791219906939,0,0,0,0.9115,0,0,,
453385,Clayton Richard,sdn,col,P,,10.1194,8.45,5000,2.02388,10.1194,1.7,9.975,18.4,22.65,29.7,37.65,22.8337,10,22,37,43,52,61,10.5182,1,10,20,25,32,39,25.7518,4.3654,1.5229,0.1658,1.0028,3.7815,0,2.3125,0,0,,,,,,,5.67847,0.2467,0.38,4.4368,0.0335,0.0112,5.553767123890767,5.111804727329721
518934,DJ LeMahieu,col,sdn,2B,2,9.4637,6,5000,1.8927399999999999,9.4637,5,8,13,17,23,30,12.1676,6,9.5,16.2,21.7,30.21,40.401,7.8408,4,6,10,14,18.1,26,4.6196,1.055,0.2596,0.0358,0.0841,0.8147,0.487,0.4637,0.0685,0.0386,0.3451719242522679,0.4109013767425751,0.48557472508963156,0.8964761018322067,0.3896972032210581,0.14040280083736367,0,0,0,0.4451,0,0,,
471865,Carlos Gonzalez,col,sdn,OF,7,7.4917,16,4600,1.6286304347826086,7.4917,2,5,11,14,21,30,9.83371,3,6.5,13,19.03,28.5,40.6,6.2892,2,4,8,12,18,26,4.0861,0.6733,0.2312,0.0138,0.1241,0.4873,0.6049,0.3345,0.0222,0.0094,0.2778547819596972,0.33697168449132425,0.4460763407612752,0.7830480252525995,0.339349208291525,0.16822155880157802,0,0,0,0.831,0,0,,
596115,Trevor Story,col,sdn,SS,4,10.3245,7,4400,2.346477272727273,10.3245,4,8,16,20,27,37,13.8347,6,9.7,21.7,25.7,37.4,50.6,8.8408,4,6,14,16,24,32,4.4043,0.5799,0.2891,0.0353,0.2435,0.725,0.8569,0.4863,0.0571,0.0317,0.29295558958652373,0.3710237722226006,0.5712098009188362,0.9422335731414369,0.39933694344163656,0.2782542113323125,0,0,0,1.1645,0,0,,
543333,Eric Hosmer,sdn,col,1B,3,9.2297,8,4300,2.146441860465116,9.2297,3,7,14,17,24,34,12.0788,3,9.2,18.4,22.4,31.9,46.603,7.7522,2,6,12,14,20,30,4.5585,0.8212,0.2556,0.0104,0.1769,0.6409,0.6447,0.4671,0.0261,0.0153,0.30896514640465367,0.37977404848085994,0.5062325854230826,0.8860066339039425,0.3818984753756718,0.19726743901842891,0,0,0,0.8102,0,0,,
455104,Chris Iannetta,col,sdn,C,6,9.1073,22,4000,2.276825,9.1073,3,7,14,18,24,34,12.2523,3.2,9.2,18.7,24.7,31.9,47.3,7.851,2,6,12,16,20,30,4.1861,0.5826,0.2484,0.0048,0.2012,0.6342,0.698,0.6681,0.0133,0.0089,0.2947697555429221,0.40732423974582543,0.539681637293917,0.9470058770397425,0.4063689113972433,0.24491188175099493,0,0,0,0.7968,0,0,,
520471,Freddy Galvis,sdn,col,SS,6,7.1926,10,4000,1.79815,7.1926,2,5,10,14,21,28,9.27761,3,6.5,12.7,18.7,27.9,37.9,5.9524,2,4,8,12,18,24,4.2452,0.7307,0.1916,0.0311,0.0899,0.4303,0.5259,0.3014,0.0759,0.041,0.2645418124651352,0.316757749929332,0.39728180942238456,0.7140395593517166,0.3115272071987186,0.13273999695724936,0,0,0,0.806,0,0,,
605486,Cory Spangenberg,sdn,col,2B,5,8.0474,3,4000,2.01185,8.0474,3,7,12,16,22,30,10.4789,3,9,15.5,21.4,28.9,41.2,6.715,2,6,10,14,18,26,4.3497,0.744,0.2121,0.0304,0.1219,0.4995,0.6131,0.3545,0.0717,0.0416,0.277432919503404,0.3363220451985194,0.4372747296756107,0.7735967748741301,0.3357772490056785,0.15984181017220672,0,0,0,1.1152,0,0,,
622534,Manuel Margot,sdn,col,OF,8,6.7558,14,3900,1.7322564102564102,6.7558,2,5,10,14,20,27,8.61,3,6.2,12.4,18.2,25.2,37.202,5.5496,2,4,8,12,16,24,4.008,0.6833,0.1617,0.0417,0.0758,0.375,0.4212,0.2912,0.1262,0.0765,0.25895931984502796,0.31279940119760474,0.38608480413258717,0.6988842053301919,0.3054964321357286,0.1271254842875592,0,0,0,0.8197,0,0,,
517369,Jose Pirela,sdn,col,OF,4,8.2119,15,3700,2.2194324324324324,8.2119,3,7,12,16,23,31,10.7357,3,9,15.7,21.7,31.1,41.4,6.8718,2,6,10,14,20,26,4.4577,0.7303,0.2437,0.0456,0.113,0.5324,0.643,0.3562,0.0489,0.0382,0.27614287455808856,0.33398389303901116,0.4404486163598684,0.7744325093988795,0.33537772842497254,0.16430574180177981,0,0,0,0.9326,0,0,,
641319,Carlos Asuaje,sdn,col,2B,1,7.5505,14,3300,2.288030303030303,7.5505,3,6,11,14,20,27,9.671,3,9,13,18.5,25.2,36.6,6.2562,2,6,8,12,16,24,4.7635,0.8082,0.2377,0.0459,0.062,0.574,0.3438,0.4758,0.0326,0.025,0.2690953191687852,0.34210139603232925,0.38932294703454073,0.73142434306687,0.3222339246352472,0.12022762786575553,0,0,0,0.876,0,0,,
452104,Chase Headley,sdn,col,1B,2,8.0023,0,3200,2.50071875,8.0023,3,7,11,15,21,30,10.4471,3,9,15.2,18.9,28.2,40.9,6.7434,2,6,10,12,18,26,4.6577,0.7618,0.2289,0.013,0.0971,0.6516,0.4033,0.5738,0.048,0.0278,0.2695462670486545,0.3595336754191983,0.40329097186512897,0.7628246472843272,0.33711514266698156,0.1337447048164745,0,0,0,1.0199,0,0,,
595978,Austin Hedges,sdn,col,C,7,6.705,15,3200,2.0953125,6.705,2,5,10,14,21,30,8.83193,3,6,12.5,18.9,28.4,40.9,5.6558,2,4,8,12,18,26,4.1312,0.5068,0.1868,0.005,0.1594,0.4179,0.5293,0.2941,0.0268,0.0192,0.2236063693935524,0.27887780790085204,0.3995204711891793,0.6783982790900314,0.29406920507358636,0.17591410179562691,0,0,0,1.232,0,0,,
