P,Jacob deGrom,"$11,500",23.90,WSH @ NYM
P,Blake Snell,"$7,800",19.65,TEX @ TB
P,James Paxton,"$8,000",19.36,HOU @ SEA
P,Luis Castillo,"$7,300",18.29,CIN @ MIL
P,Daniel Mengden,"$5,900",17.38,CWS @ OAK
P,Aaron Nola,"$10,400",15.75,PHI @ ATL
P,Dallas Keuchel,"$9,400",15.19,HOU @ SEA
P,Robbie Erlin,"$4,600",14.17,LAD @ SD
P,Julio Teheran,"$6,400",13.82,PHI @ ATL
P,Steven Brault,"$5,200",13.27,COL @ PIT
P,Hyun-Jin Ryu,"$9,700",13.13,LAD @ SD
P,German Marquez,"$6,000",12.36,COL @ PIT
P,Brent Suter,"$6,200",11.90,CIN @ MIL
P,Martin Perez,"$6,600",11.50,TEX @ TB
OF,Charlie Blackmon,"$5,100",9.55,COL @ PIT
OF,Starling Marte,"$4,300",9.39,COL @ PIT
OF,Bryce Harper,"$5,000",9.27,WSH @ NYM
OF,Michael Conforto,"$4,600",9.27,WSH @ NYM
OF,Rhys Hoskins,"$5,400",9.23,PHI @ ATL
1B,Freddie Freeman,"$5,200",9.22,PHI @ ATL
OF,Brandon Nimmo,"$3,000",8.90,WSH @ NYM
2B,DJ LeMahieu,"$4,300",8.85,COL @ PIT
OF,Domingo Santana,"$3,700",8.82,CIN @ MIL
OF,Odubel Herrera,"$3,900",8.78,PHI @ ATL
SS,Trea Turner,"$4,300",8.68,WSH @ NYM
OF,Matt Joyce,"$3,100",8.68,CWS @ OAK
1B,Joey Votto,"$4,500",8.64,CIN @ MIL
2B/OF,Adam Frazier,"$3,100",8.61,COL @ PIT
1B,Jose Abreu,"$4,000",8.60,CWS @ OAK
OF,Khris Davis,"$4,200",8.59,CWS @ OAK
OF,Gregory Polanco,"$4,700",8.51,COL @ PIT
2B,Jonathan Villar,"$2,900",8.39,CIN @ MIL
OF,Corey Dickerson,"$3,900",8.33,COL @ PIT
2B,Asdrubal Cabrera,"$3,500",8.32,WSH @ NYM
1B,Carlos Santana,"$4,200",8.32,PHI @ ATL
OF,George Springer,"$4,900",8.31,HOU @ SEA
OF,Nelson Cruz,"$4,400",8.28,HOU @ SEA
2B,Ozzie Albies,"$4,000",8.27,PHI @ ATL
C,Chris Iannetta,"$3,400",8.26,COL @ PIT
OF,Chris Taylor,"$3,800",8.24,LAD @ SD
SS,Trevor Story,"$4,100",8.24,COL @ PIT
OF,Ender Inciarte,"$3,300",8.22,PHI @ ATL
OF,Billy Hamilton,"$3,100",8.21,CIN @ MIL
OF,Jose Pirela,"$3,500",8.21,LAD @ SD
2B,Jed Lowrie,"$3,700",8.21,CWS @ OAK
OF,Adam Duvall,"$3,700",8.18,CIN @ MIL
1B,Matt Olson,"$4,000",8.15,CWS @ OAK
3B,Travis Shaw,"$3,400",8.10,CIN @ MIL
OF,Lorenzo Cain,"$4,000",8.09,CIN @ MIL
1B,Josh Bell,"$3,900",8.09,COL @ PIT
3B,Todd Frazier,"$4,000",8.09,WSH @ NYM
OF,Hunter Renfroe,"$3,900",8.04,LAD @ SD
SS,Marcus Semien,"$3,000",7.95,CWS @ OAK
2B,Yoan Moncada,"$3,400",7.90,CWS @ OAK
3B,Matt Chapman,"$4,200",7.85,CWS @ OAK
1B,Jesus Aguilar,"$3,200",7.84,CIN @ MIL
3B,Christian Villanueva,"$3,300",7.78,LAD @ SD
3B,Adrian Beltre,"$3,100",7.76,TEX @ TB
P,Jeremy Hellickson,"$4,900",7.75,WSH @ NYM
OF,Aaron Altherr,"$3,000",7.73,PHI @ ATL
1B/2B,Enrique Hernandez,"$3,900",7.71,LAD @ SD
OF,Dee Gordon,"$4,000",7.68,HOU @ SEA
SS,Carlos Correa,"$5,000",7.65,HOU @ SEA
1B/OF,Ian Desmond,"$3,700",7.64,COL @ PIT
1B,C.J. Cron,"$3,500",7.63,TEX @ TB
2B,Jose Altuve,"$5,300",7.62,HOU @ SEA
3B,Alex Bregman,"$4,300",7.62,HOU @ SEA
SS,Adeiny Hechavarria,"$2,700",7.55,TEX @ TB
OF,Avisail Garcia,"$3,500",7.51,CWS @ OAK
SS,Jean Segura,"$3,500",7.51,HOU @ SEA
1B,Adrian Gonzalez,"$3,500",7.50,WSH @ NYM
1B,Ryan Zimmerman,"$4,100",7.48,WSH @ NYM
2B/OF,Howie Kendrick,"$3,300",7.38,WSH @ NYM
SS,Corey Seager,"$4,400",7.36,LAD @ SD
OF,Carlos Gomez,"$3,700",7.35,TEX @ TB
SS,J.P. Crawford,"$2,900",7.32,PHI @ ATL
1B/3B,Matt Davidson,"$3,900",7.30,CWS @ OAK
OF,Preston Tucker,"$2,900",7.24,PHI @ ATL
