DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs HOU,L 4-1,4,0,2,0,0,0,0,0,0,0,0,.500,.500,1.000,.500
Mar 30,vs HOU,W 5-1,4,1,1,1,0,0,0,0,1,0,0,.375,.500,.875,.375
Mar 31,vs HOU,L 9-3,3,0,1,1,0,0,1,0,1,0,0,.364,.545,.909,.364
Apr 1,vs HOU,L 8-2,3,0,0,0,0,0,0,1,0,0,0,.333,.429,.762,.286
Apr 2,@ OAK,L 3-1,4,0,0,0,0,0,0,0,2,0,0,.263,.333,.596,.222
Apr 3,@ OAK,W 4-1,4,1,1,0,0,0,0,0,0,0,0,.261,.318,.579,.227
Apr 4,@ OAK,L 6-2,4,0,0,0,0,0,0,0,0,0,0,.222,.269,.491,.192
Apr 5,@ OAK,W 6-3,3,1,2,1,0,0,0,1,0,0,0,.290,.345,.635,.241
Apr 6,vs TOR,L 8-5,4,0,3,1,0,0,1,0,0,0,0,.343,.424,.767,.303
Apr 7,vs TOR,W 5-1,Did not play
Apr 8,vs TOR,L 7-4,5,1,1,1,0,0,0,0,2,0,0,.325,.421,.746,.289
Apr 9,vs LAA,L 8-3,4,1,1,0,0,0,0,1,2,0,0,.333,.405,.738,.286
Apr 10,vs LAA,L 11-1,4,0,2,0,0,0,0,0,1,0,0,.347,.413,.760,.304
Apr 11,vs LAA,L 7-2,3,0,1,0,0,0,0,2,1,0,0,.370,.408,.778,.306
Apr 13,@ HOU,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.345,.377,.722,.283
Apr 14,@ HOU,W 6-5,4,1,2,0,0,1,1,1,0,0,0,.365,.439,.804,.298
Apr 15,@ HOU,W 3-1,3,0,0,0,0,0,0,1,0,0,0,.358,.417,.775,.283
Apr 16,@ TB,L 8-4,4,0,1,0,0,0,0,0,2,0,0,.352,.406,.758,.281
Apr 17,@ TB,W 7-2,3,0,1,0,0,0,2,0,0,0,0,.342,.403,.745,.284
Apr 18,@ TB,L 4-2,3,1,2,0,0,0,0,1,0,0,0,.363,.414,.777,.300
Apr 20,vs SEA,L 6-2,3,0,0,0,0,0,0,0,0,0,0,.357,.397,.754,.288
Apr 21,vs SEA,L 9-7,4,0,1,0,0,0,1,0,1,0,0,.348,.390,.738,.286
Apr 22,vs SEA,W 7-4,3,3,2,2,0,0,0,1,0,0,0,.366,.425,.791,.300
Apr 23,vs OAK,L 9-4,4,1,1,1,0,0,0,0,1,0,0,.361,.429,.790,.298
Apr 24,vs OAK,L 3-2,3,0,2,0,0,0,2,0,0,0,0,.366,.437,.803,.310
Apr 25,vs OAK,W 4-2,Did not play
Apr 27,@ TOR,W 6-4,Did not play
Apr 28,@ TOR,W 7-4,Did not play
Apr 29,@ TOR,L 7-2,Did not play
Apr 30,@ CLE,L 7-5,Did not play
May 1,@ CLE,W 8-6,Did not play
May 2,@ CLE,L 12-4,Did not play
May 3,vs BOS,W 11-5,Did not play
May 4,vs BOS,L 5-1,Did not play
May 5,vs BOS,L 6-5,Did not play
May 6,vs BOS,L 6-1,Did not play
May 7,vs DET,W 7-6,Did not play
May 8,vs DET,L 7-4,4,0,3,0,0,0,2,0,0,0,0,.381,.451,.832,.330
May 9,vs DET,W 5-4,2,0,1,0,0,0,2,1,0,0,0,.385,.452,.837,.333
May 11,@ HOU,W 1-0,3,0,0,0,0,0,0,1,2,0,0,.381,.438,.819,.323
May 12,@ HOU,L 6-1,4,0,0,0,0,0,0,0,2,0,0,.368,.420,.788,.310
May 13,@ HOU,L 6-1,2,0,1,0,0,0,0,1,0,0,0,.375,.422,.797,.314
May 15,@ SEA,L 9-8,Did not play
May 16,@ SEA,W 5-1,Did not play
May 17,@ CHW,L 4-2,Did not play
May 18,@ CHW,W 12-5,Did not play
May 19,@ CHW,L 5-3,Did not play
May 20,@ CHW,L 3-0,Did not play
May 21,vs NYY,L 10-5,Did not play
May 22,vs NYY,W 6-4,Did not play
May 23,vs NYY,W 12-10,Did not play
May 24,vs KC,L 8-2,Did not play
May 25,vs KC,W 8-4,Did not play
May 26,vs KC,W 4-3,Did not play
May 27,vs KC,L 5-3,Did not play
May 28,@ SEA,L 2-1,Did not play
May 29,@ SEA,W 9-5,Did not play
May 30,@ SEA,W 7-6,Did not play
May 31,@ SEA,L 6-1,4,0,2,0,0,0,0,0,1,0,0,.379,.425,.804,.321
Jun 1,@ LAA,L 6-0,Did not play
Jun 2,@ LAA,W 3-2,3,0,0,0,0,0,1,0,1,0,0,.367,.413,.780,.312
Jun 3,@ LAA,L 3-1,3,0,0,0,0,0,0,1,0,0,0,.364,.402,.766,.304
Jun 5,vs OAK,W 7-4,4,1,1,0,0,1,1,0,1,0,0,.360,.422,.782,.302
Jun 6,vs OAK,W 8-2,Did not play
Jun 7,vs HOU,L 5-2,4,0,1,0,0,0,1,0,1,0,0,.357,.417,.774,.300
Jun 8,vs HOU,L 7-3,4,0,0,0,0,0,0,0,4,0,0,.347,.403,.750,.290
