DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ KC,W 8-4,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,3.32
Jul 23,@ KC,W 5-4,1.1,3,0,0,0,0,0,4,3,19,7,-,W(1-3),-,3.40
Jul 21,vs BOS,W 5-0,1.2,0,0,0,0,0,0,3,1,10,4,-,-,-,3.52
Jul 15,@ HOU,W 6-3,1.0,0,0,0,0,0,0,2,1,17,3,-,-,-,3.68
Jul 11,@ TB,L 4-2,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,3.79
Jul 9,@ TB,L 10-9,1.1,0,0,0,0,0,1,2,1,11,4,-,-,-,3.89
Jul 7,vs TEX,W 7-2,1.0,1,1,1,0,0,0,1,3,10,4,-,-,-,4.05
Jul 3,@ CHC,L 5-3,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,3.90
Jun 30,@ TOR,L 4-3,1.1,1,0,0,0,1,0,3,2,28,6,-,-,-,3.94
Jun 27,vs OAK,L 3-0,1.0,3,2,2,0,1,0,3,3,20,7,-,-,-,4.11
Jun 26,vs OAK,L 9-7,1.2,0,0,0,0,0,1,4,0,21,6,-,-,BlSv(3),3.64
Jun 25,vs OAK,L 5-4,1.0,1,0,0,0,0,0,2,2,13,4,-,-,H(8),3.86
Jun 23,@ CLE,L 4-1,2.0,1,1,1,1,0,3,1,3,28,7,-,-,-,4.00
Jun 20,@ CIN,L 5-3,0.1,1,1,1,0,1,0,2,0,14,3,-,-,-,3.96
Jun 17,@ CHW,W 3-1,1.1,2,0,0,0,0,0,3,3,20,6,-,-,H(7),3.65
Jun 15,@ CHW,W 4-3,1.0,2,0,0,0,1,0,4,1,15,6,-,-,H(6),3.86
Jun 12,vs MIN,L 6-4,1.1,2,0,0,0,0,1,1,4,34,6,-,-,-,4.03
Jun 9,vs CLE,W 4-2,0.1,0,0,0,0,0,0,1,0,2,1,-,-,-,4.29
Jun 7,@ BOS,W 7-2,0.2,0,0,0,0,0,0,2,0,7,2,-,-,-,4.35
May 7,@ TEX,L 7-6,0.1,1,0,0,0,0,0,1,0,1,1,-,-,BlSv(2),4.50
May 5,@ KC,W 3-2,1.1,0,0,0,0,0,1,2,1,17,4,-,-,H(5),4.58
May 2,vs TB,W 3-2,1.0,0,0,0,0,1,2,0,1,15,4,-,-,-,4.91
May 1,vs TB,W 2-1,1.0,1,0,0,0,0,1,1,1,7,3,-,-,H(4),5.19
Apr 29,@ BAL,L 5-3,2.2,1,0,0,0,0,1,5,3,37,9,-,-,-,5.51
Apr 26,@ PIT,L 1-0,0.1,1,1,1,1,0,1,0,1,8,2,-,L(0-3),-,6.59
Apr 25,@ PIT,L 8-3,0.1,0,0,0,0,0,0,0,1,4,1,-,-,-,6.08
Apr 25,@ PIT,W 13-10,0.2,0,0,0,0,0,0,1,1,8,2,-,-,H(3),6.23
Apr 22,vs KC,L 8-5,0.2,1,2,2,1,1,0,2,1,18,4,-,-,BlSv(1),6.57
Apr 20,vs KC,L 3-2,2.0,0,0,0,0,1,3,0,3,30,7,-,-,-,5.40
Apr 18,vs BAL,W 6-5,0.2,0,0,0,0,1,1,0,1,13,3,-,-,H(2),6.52
Apr 13,vs NYY,L 8-6,0.1,2,2,2,0,1,0,1,2,15,5,-,-,-,7.00
Apr 10,@ CLE,L 2-1,1.0,1,1,1,1,0,2,1,1,15,4,-,L(0-2),-,5.19
Apr 8,@ CHW,W 1-0,0.2,0,0,0,0,1,0,1,0,10,2,-,-,H(1),4.70
Apr 7,@ CHW,W 6-1,1.2,1,1,1,0,0,1,0,5,25,6,-,-,-,5.14
Apr 3,vs KC,L 1-0,1.2,0,0,0,0,0,2,2,1,18,5,-,-,-,5.06
Mar 30,vs PIT,L 13-10,3.2,5,3,3,1,0,1,6,8,65,15,-,L(0-1),-,7.36
