DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs STL,L 4-2,1.0,2,2,2,1,1,1,1,3,16,6,-,L(0-2),-,3.75
Jul 23,vs STL,W 2-1,0.2,0,0,0,0,0,1,0,1,8,2,-,-,-,3.47
Jul 21,vs PIT,L 6-2,1.0,0,0,0,0,0,1,0,2,14,3,-,-,-,3.51
Jul 14,@ STL,W 8-2,1.0,0,0,0,0,0,2,0,1,11,3,-,-,-,3.59
Jul 13,@ STL,W 9-1,1.0,0,0,0,0,0,0,2,1,5,3,-,-,-,3.66
Jul 9,@ CLE,W 7-5,1.0,2,2,2,1,1,0,0,5,20,6,-,-,-,3.74
Jul 7,@ CHC,L 8-7,1.0,1,3,3,0,2,2,0,2,27,6,-,-,H(18),3.43
Jul 4,vs CHW,W 7-4,1.0,1,0,0,0,0,2,1,1,20,4,-,-,H(17),2.89
Jul 3,vs CHW,L 12-8,0.1,0,0,0,0,0,1,0,0,3,1,-,-,H(16),2.95
Jul 2,vs CHW,W 5-3,0.0,2,1,1,0,0,0,1,1,7,2,-,-,BlSv(2),INF
Jun 28,vs MIL,L 6-4,0.2,1,1,1,1,0,0,1,2,8,3,-,L(0-1),BlSv(1),2.76
Jun 26,@ ATL,W 5-3,0.1,1,1,1,0,0,1,1,0,6,2,-,-,H(15),2.59
Jun 24,vs CHC,W 8-6,1.0,1,0,0,0,0,3,0,1,13,4,-,-,H(14),2.40
Jun 23,vs CHC,W 11-2,0.2,0,0,0,0,0,0,1,0,2,1,-,-,-,2.45
Jun 21,vs CHC,W 6-2,1.0,1,0,0,0,1,1,1,2,17,5,-,-,H(13),2.50
Jun 20,vs DET,W 5-3,0.2,0,0,0,0,0,0,2,0,9,2,-,-,H(12),2.56
Jun 17,@ PIT,W 8-6,1.0,1,2,2,0,1,3,1,0,25,5,-,-,-,2.61
Jun 13,@ KC,W 7-0,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(11),2.19
Jun 12,@ KC,W 5-1,1.0,0,0,0,0,0,0,2,1,8,3,-,-,-,2.21
Jun 10,vs STL,W 6-3,1.0,0,0,0,0,0,1,1,1,14,3,-,-,H(10),2.27
Jun 7,vs COL,W 7-5,2.0,3,2,2,0,0,1,4,4,24,10,-,-,-,2.34
Jun 5,vs COL,L 9-6,1.0,1,0,0,0,0,2,1,1,17,4,-,-,-,1.93
May 30,@ ARI,W 7-4,1.0,1,0,0,0,0,1,1,2,12,4,-,-,H(9),1.99
May 29,@ ARI,L 5-2,1.0,0,0,0,0,1,0,1,2,12,4,-,-,-,2.05
May 26,@ COL,W 6-5,1.0,0,0,0,0,0,1,1,0,8,2,-,-,H(8),2.12
May 24,vs PIT,W 5-4,1.2,2,2,2,1,0,4,1,2,26,7,-,-,H(7),2.20
May 22,vs PIT,W 7-2,0.1,1,1,1,1,2,0,0,2,16,4,-,-,-,1.67
May 19,vs CHC,W 5-4,1.0,0,0,0,0,1,1,1,0,14,3,-,-,H(6),1.35
May 15,@ SF,L 5-3,2.2,2,0,0,0,0,4,2,4,44,10,-,-,-,1.40
May 13,@ LAD,W 5-3,1.2,0,0,0,0,0,4,0,1,24,5,-,-,H(5),1.57
May 11,@ LAD,W 6-2,1.2,0,0,0,0,1,0,2,3,27,7,-,-,H(4),1.69
May 9,vs NYM,W 2-1,1.0,0,0,0,0,1,0,1,2,15,4,-,-,-,1.83
May 8,vs NYM,W 7-2,0.1,0,0,0,0,2,1,0,0,16,3,-,-,H(3),1.93
May 6,vs MIA,L 8-5,0.2,0,0,0,0,1,2,0,0,16,3,-,-,-,1.96
May 2,vs MIL,L 3-1,1.0,0,0,0,0,0,2,0,1,11,3,-,-,-,2.04
May 1,vs MIL,L 7-6,1.1,1,1,1,1,0,1,0,4,16,5,-,-,-,2.16
Apr 29,@ MIN,W 8-2,0.2,2,0,0,0,1,1,1,2,29,5,-,-,-,1.76
Apr 27,@ MIN,W 15-9,1.0,1,0,0,0,0,2,0,2,16,4,-,-,H(2),1.84
Apr 26,vs ATL,L 7-4,1.2,0,0,0,0,0,1,0,3,17,4,-,-,-,1.98
Apr 24,vs ATL,W 9-7,2.1,4,3,3,1,0,1,5,4,39,10,-,-,H(1),2.25
Apr 21,@ STL,L 4-3,0.1,0,0,0,0,0,0,1,0,3,1,-,-,-,0.00
Apr 17,@ MIL,L 2-0,1.0,1,0,0,0,0,1,2,0,19,3,-,-,-,0.00
Apr 15,vs STL,L 3-2,1.2,1,0,0,0,0,2,2,1,17,5,-,-,-,0.00
Apr 12,vs STL,L 13-4,0.2,2,0,0,0,0,1,2,1,14,4,-,-,-,0.00
Apr 11,@ PHI,L 4-3,1.0,1,0,0,0,0,2,0,2,17,4,-,-,-,0.00
Apr 8,@ PIT,L 5-0,2.1,1,0,0,0,0,1,4,2,27,7,-,-,-,0.00
Apr 5,@ PIT,L 5-2,1.2,1,0,0,0,0,2,2,2,23,6,-,-,-,0.00
Mar 30,vs WSH,L 2-0,1.0,0,0,0,0,1,2,1,0,16,4,-,-,-,0.00
