DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ OAK,L 6-5,4,1,1,0,0,0,1,1,0,0,0,.400,.250,.650,.250
Mar 30,@ OAK,W 2-1,3,0,2,0,0,0,0,0,0,0,0,.500,.429,.929,.429
Mar 31,@ OAK,W 8-3,5,0,1,0,0,0,1,0,0,0,0,.385,.333,.718,.333
Apr 1,@ OAK,W 7-4,4,1,3,0,0,0,2,0,0,0,0,.471,.438,.909,.438
Apr 2,vs CLE,L 6-0,4,0,2,0,0,0,0,0,1,0,0,.476,.450,.926,.450
Apr 3,vs CLE,W 13-2,4,2,1,1,0,0,1,0,0,0,0,.440,.458,.898,.417
Apr 4,vs CLE,W 3-2,5,1,1,0,0,0,0,0,0,0,0,.400,.414,.814,.379
Apr 6,vs OAK,W 13-9,5,2,3,1,0,0,2,0,0,0,0,.429,.471,.900,.412
Apr 7,vs OAK,L 7-3,4,0,0,0,0,0,0,0,1,0,0,.385,.421,.806,.368
Apr 8,vs OAK,W 6-1,4,0,1,0,0,0,0,0,0,0,0,.372,.405,.777,.357
Apr 9,@ TEX,W 8-3,5,3,2,0,0,0,0,0,0,0,0,.375,.404,.779,.362
Apr 10,@ TEX,W 11-1,5,2,2,0,0,1,1,0,0,0,0,.377,.462,.839,.365
Apr 11,@ TEX,W 7-2,3,0,0,0,0,0,0,2,0,1,0,.379,.436,.815,.345
Apr 12,@ KC,W 7-1,4,1,2,1,0,0,0,1,0,0,0,.397,.458,.855,.356
Apr 13,@ KC,W 5-4,3,0,0,0,0,0,0,0,2,0,0,.379,.435,.814,.339
Apr 14,@ KC,W 5-3,4,0,0,0,0,0,0,0,1,0,0,.357,.409,.766,.318
Apr 17,vs BOS,L 10-1,1,0,0,0,0,0,0,2,1,0,0,.370,.403,.773,.313
Apr 18,vs BOS,L 9-0,4,0,0,0,0,0,0,0,0,0,0,.351,.380,.731,.296
Apr 19,vs BOS,L 8-2,1,1,1,0,0,0,0,3,0,0,0,.383,.389,.772,.306
Apr 20,vs SF,L 8-1,3,0,0,0,0,0,0,1,0,1,0,.376,.373,.749,.293
Apr 21,vs SF,W 4-3,3,0,1,1,0,0,0,0,0,0,0,.375,.385,.760,.295
Apr 22,vs SF,L 4-2,0,0,0,0,0,0,0,0,0,0,0,.382,.385,.767,.295
Apr 23,@ HOU,W 2-0,Did not play
Apr 24,@ HOU,W 8-7,4,2,3,0,0,2,5,0,0,0,0,.398,.476,.874,.317
Apr 25,@ HOU,L 5-2,3,1,1,0,0,0,0,0,1,0,0,.396,.471,.867,.318
