DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TB,L 6-4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,@ TB,W 1-0,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,@ TB,W 3-2,3,0,0,0,0,0,0,2,1,0,0,.154,.000,.154,.000
Apr 1,@ TB,W 2-1,0,0,0,0,0,0,0,0,0,0,0,.154,.000,.154,.000
Apr 2,@ MIA,W 7-3,4,1,1,0,0,0,0,1,1,0,0,.222,.067,.289,.067
Apr 3,@ MIA,W 4-2,4,2,2,0,0,0,1,2,1,1,0,.333,.158,.491,.158
Apr 5,vs TB,W 3-2,4,1,1,0,0,0,0,2,0,0,0,.367,.174,.541,.174
Apr 7,vs TB,W 10-3,3,2,0,0,0,0,0,2,0,0,0,.371,.154,.525,.154
Apr 8,vs TB,W 8-7,5,0,1,1,0,0,1,0,1,0,0,.350,.194,.544,.161
Apr 10,vs NYY,W 14-1,3,2,2,1,1,0,2,2,0,0,0,.400,.324,.724,.206
Apr 11,vs NYY,L 10-7,Did not play
Apr 12,vs NYY,W 6-3,5,0,2,0,0,0,1,0,0,0,0,.400,.333,.733,.231
Apr 13,vs BAL,W 7-3,4,0,0,0,0,0,0,1,1,0,0,.382,.302,.684,.209
Apr 14,vs BAL,W 10-3,5,2,2,1,0,0,3,0,2,0,0,.383,.333,.716,.229
Apr 15,vs BAL,W 3-1,4,0,3,1,1,0,1,0,0,1,0,.406,.423,.829,.269
Apr 17,@ LAA,W 10-1,3,0,0,0,0,0,1,0,0,0,0,.382,.400,.782,.255
Apr 18,@ LAA,W 9-0,Did not play
Apr 19,@ LAA,W 8-2,5,1,2,0,0,1,3,0,1,0,0,.384,.450,.834,.267
Apr 20,@ OAK,W 7-3,4,1,1,0,0,0,0,0,2,0,0,.377,.438,.815,.266
Apr 21,@ OAK,L 3-0,3,0,0,0,0,0,0,1,0,0,0,.370,.418,.788,.254
Apr 22,@ OAK,L 4-1,3,0,0,0,0,0,0,1,0,1,0,.365,.400,.765,.243
Apr 24,@ TOR,L 4-3,5,0,0,0,0,0,0,0,4,0,0,.344,.373,.717,.227
Apr 25,@ TOR,W 4-3,3,0,0,0,0,0,0,2,0,2,0,.347,.359,.706,.218
Apr 26,@ TOR,W 5-4,4,1,2,1,0,0,1,0,2,0,0,.354,.378,.732,.232
Apr 27,vs TB,L 4-3,1,0,0,0,0,0,0,0,1,0,0,.350,.373,.723,.229
Apr 28,vs TB,L 12-6,5,2,3,2,0,0,0,0,1,0,0,.362,.409,.771,.250
Apr 29,vs TB,W 4-3,3,1,0,0,0,0,0,1,0,0,0,.358,.396,.754,.242
Apr 30,vs KC,W 10-6,4,1,1,0,0,0,1,0,0,0,0,.351,.389,.740,.242
May 1,vs KC,L 7-6,6,1,3,1,0,0,0,0,0,0,0,.358,.406,.764,.257
May 2,vs KC,W 5-4,4,0,0,0,0,0,0,0,3,0,0,.347,.390,.737,.248
May 3,@ TEX,L 11-5,Did not play
May 4,@ TEX,W 5-1,4,0,0,0,0,0,0,0,1,0,0,.336,.376,.712,.239
May 5,@ TEX,W 6-5,5,2,3,1,1,0,1,0,0,0,0,.346,.412,.758,.254
May 6,@ TEX,W 6-1,5,0,0,0,0,0,0,0,2,0,0,.333,.395,.728,.244
May 8,@ NYY,L 3-2,4,0,1,0,0,0,1,0,2,0,0,.331,.390,.721,.244
