DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ CHC,W 5-1,0.0,0,0,0,0,1,0,0,0,8,1,-,-,-,1.51
Jul 22,vs COL,W 6-1,0.2,1,0,0,0,0,0,1,1,8,2,-,-,-,1.51
Jul 21,vs COL,L 6-5,0.2,0,0,0,0,0,0,0,1,4,1,-,-,-,1.54
Jul 20,vs COL,L 11-10,0.1,0,0,0,0,1,0,1,0,7,2,-,-,-,1.57
Jul 14,@ ATL,W 3-0,0.0,0,0,0,0,1,0,0,0,6,1,-,-,-,1.59
Jul 12,@ COL,L 5-1,0.2,1,0,0,0,0,0,1,2,13,3,-,-,-,1.59
Jul 10,@ COL,W 5-3,1.1,1,0,0,0,0,0,3,2,10,5,-,-,H(11),1.62
Jul 8,vs SD,L 4-3,0.2,0,0,0,0,0,2,0,0,10,2,-,-,-,1.69
Jul 5,vs SD,L 6-3,0.2,1,0,0,0,0,1,0,1,7,2,-,-,-,1.72
Jul 2,vs STL,L 6-3,1.1,0,0,0,0,0,1,3,0,20,4,-,-,-,1.76
Jun 29,vs SF,L 2-1,0.1,1,1,1,0,1,0,0,2,16,3,-,L(1-3),-,1.84
Jun 28,@ MIA,W 4-0,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,1.55
Jun 24,@ PIT,W 3-0,1.2,1,0,0,0,0,4,0,2,29,6,-,-,H(10),1.57
Jun 22,@ PIT,W 2-1,1.0,1,0,0,0,1,2,0,2,21,5,-,W(1-2),-,1.67
Jun 19,@ LAA,L 5-4,1.0,0,0,0,0,0,1,2,0,8,3,-,-,-,1.73
Jun 17,vs NYM,L 5-3,0.1,0,0,0,0,0,1,0,0,6,1,-,-,H(9),1.80
Jun 15,vs NYM,W 7-3,1.1,0,0,0,0,0,0,3,1,16,4,-,-,-,1.82
Jun 13,vs PIT,L 5-4,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,1.93
Jun 12,vs PIT,W 13-8,0.1,1,0,0,0,1,1,0,1,13,3,-,-,H(8),2.01
Jun 8,@ COL,W 9-4,1.1,0,0,0,0,0,1,1,1,11,3,-,-,H(7),2.05
Jun 6,@ SF,L 5-4,0.2,2,1,1,0,0,0,2,2,17,4,-,L(0-2),-,2.18
Jun 5,@ SF,W 3-2,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(6),1.80
Jun 2,vs MIA,W 6-2,0.2,0,0,0,0,1,1,0,1,13,3,-,-,-,1.83
May 30,vs CIN,L 7-4,1.0,1,0,0,0,0,0,2,3,18,5,-,-,-,1.89
May 27,@ OAK,L 2-1,0.2,0,0,0,0,1,1,0,1,13,3,-,-,-,2.00
May 25,@ OAK,W 7-1,1.0,0,0,0,0,0,2,0,1,12,3,-,-,-,2.08
May 21,@ MIL,L 4-2,0.2,0,0,0,0,0,0,1,1,4,2,-,-,-,2.20
May 19,@ NYM,L 5-4,0.1,2,1,1,0,0,0,1,2,7,3,-,L(0-1),-,2.30
May 18,@ NYM,L 3-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,1.76
May 16,vs MIL,L 8-2,1.0,0,0,0,0,0,1,0,2,7,3,-,-,-,1.88
May 14,vs MIL,L 7-2,0.0,1,0,0,0,0,0,0,1,1,1,-,-,-,2.03
May 12,vs WSH,L 2-1,1.0,0,0,0,0,0,0,0,3,8,3,-,-,-,2.03
May 10,vs WSH,L 2-1,0.2,1,0,0,0,0,0,2,0,7,2,-,-,-,2.19
May 9,@ LAD,L 6-3,0.0,0,0,0,0,1,0,0,0,5,1,-,-,-,2.31
May 8,@ LAD,W 8-5,0.0,1,0,0,0,1,0,1,0,10,2,-,-,-,2.31
May 5,vs HOU,W 4-3,0.0,0,0,0,0,2,0,0,0,11,2,-,-,-,2.31
May 3,vs LAD,L 5-2,1.0,1,0,0,0,0,2,2,0,19,4,-,-,H(5),2.31
May 1,vs LAD,W 4-3,1.0,0,0,0,0,1,1,1,1,19,4,-,-,-,2.53
Apr 30,vs LAD,W 8-5,0.2,1,2,2,0,0,0,0,3,20,4,-,-,-,2.79
Apr 27,@ WSH,W 5-4,1.0,1,0,0,0,0,2,2,0,17,4,-,-,H(4),1.00
Apr 25,@ PHI,L 5-3,1.1,0,0,0,0,0,2,1,1,19,4,-,-,-,1.13
Apr 24,@ PHI,W 8-4,0.1,1,0,0,0,0,1,1,0,13,3,-,-,H(3),1.35
Apr 21,vs SD,W 6-2,0.2,1,0,0,0,0,1,0,1,10,2,-,-,H(2),1.42
Apr 20,vs SD,L 4-1,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,1.59
Apr 14,@ LAD,W 9-1,1.0,0,0,0,0,1,1,2,0,23,4,-,-,-,1.93
Apr 10,@ SF,L 5-4,1.0,1,1,0,0,2,2,1,1,20,6,-,-,-,2.45
Apr 5,@ STL,W 3-1,0.2,0,0,0,0,0,1,1,1,11,3,-,-,H(1),3.38
Apr 2,vs LAD,W 8-7,1.0,2,1,1,0,0,1,2,2,17,5,-,-,-,4.50
Mar 31,vs COL,L 2-1,1.0,0,0,0,0,0,1,2,0,11,3,-,-,-,0.00
Mar 29,vs COL,W 8-2,0.0,0,0,0,0,1,0,0,0,7,1,-,-,-,0.00
