DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs HOU,W 14-5,6.0,4,1,1,0,2,4,7,11,104,24,62,W(6-6),-,3.66
Jul 14,@ LAD,W 5-4,6.1,6,3,2,1,1,6,6,13,101,27,56,-,-,3.78
Jul 8,vs LAD,W 4-3,7.0,3,3,3,1,3,10,5,9,103,27,66,W(5-6),-,3.84
Jul 3,@ SEA,L 4-1,7.0,5,3,2,0,2,10,11,7,106,30,65,L(4-6),-,3.84
Jun 27,@ BOS,L 9-6,3.1,8,6,6,3,3,4,2,12,78,21,-,-,-,3.95
Jun 22,vs TOR,W 2-1,7.0,9,1,1,0,0,4,16,10,96,30,59,W(4-5),-,3.43
Jun 17,@ OAK,L 6-5,8.0,3,3,3,1,1,8,4,14,106,27,71,-,-,3.64
Jun 11,@ SEA,L 5-3,3.0,7,5,5,3,1,2,8,6,52,17,26,L(3-5),-,3.68
Jun 5,vs KC,W 1-0,9.0,1,0,0,0,1,4,13,11,116,30,88,W(3-4),-,3.12
May 31,@ DET,L 6-2,5.0,8,5,5,0,1,3,7,12,94,25,33,L(2-4),-,3.66
May 25,@ NYY,L 2-1,6.1,4,1,1,0,3,5,6,11,97,25,63,-,-,3.09
May 19,vs TB,L 5-3,6.0,3,4,0,1,5,7,8,6,97,26,60,L(2-3),-,3.35
May 14,vs HOU,W 2-1,8.0,4,1,1,0,1,10,7,9,100,27,79,W(2-2),-,3.93
May 8,@ COL,L 4-2,6.0,5,2,2,0,3,5,8,9,86,26,56,L(1-2),-,4.78
May 2,vs BAL,W 10-7,6.0,5,1,1,0,1,2,9,11,86,23,59,W(1-1),-,5.31
Apr 27,vs NYY,L 4-3,5.0,5,2,1,0,1,9,3,8,94,21,57,-,-,6.91
Apr 20,vs SF,L 8-1,4.1,6,7,7,3,2,6,6,7,76,21,27,L(0-1),-,9.64
Apr 13,@ KC,W 5-4,5.0,7,4,3,0,1,7,4,10,85,22,45,-,-,5.40
