DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,4,2,1,0,0,1,1,0,2,0,0,.400,1.000,1.400,.250
Mar 30,@ MIA,L 2-1,7,0,0,0,0,0,0,1,1,0,0,.231,.364,.595,.091
Mar 31,@ MIA,W 10-6,6,0,1,0,0,0,2,0,2,0,0,.211,.294,.505,.118
Apr 1,@ MIA,L 6-0,3,0,1,0,0,0,0,0,0,0,0,.261,.300,.561,.150
Apr 2,@ CIN,L 1-0,3,0,0,0,0,0,0,0,1,0,0,.259,.261,.520,.130
Apr 5,@ MIL,W 8-0,5,0,0,0,0,0,0,0,1,0,0,.219,.214,.433,.107
Apr 6,@ MIL,L 5-4,Did not play
Apr 7,@ MIL,W 5-2,Did not play
Apr 8,@ MIL,W 3-0,Did not play
Apr 10,vs PIT,L 8-5,Did not play
Apr 11,vs PIT,W 13-5,Did not play
Apr 12,vs PIT,L 6-1,Did not play
Apr 13,vs ATL,L 4-0,Did not play
Apr 14,vs ATL,W 14-10,Did not play
Apr 17,vs STL,L 5-3,3,0,0,0,0,0,0,1,0,0,0,.243,.194,.437,.097
Apr 19,vs STL,W 8-5,4,1,3,0,0,0,1,1,1,0,0,.310,.257,.567,.171
Apr 20,@ COL,W 16-5,5,2,0,0,0,0,1,1,0,0,0,.292,.225,.517,.150
Apr 21,@ COL,L 5-2,4,0,0,0,0,0,0,0,1,0,0,.269,.205,.474,.136
Apr 22,@ COL,W 9-7,4,1,1,0,0,0,0,0,2,0,0,.281,.208,.489,.146
Apr 24,@ CLE,W 10-3,5,1,2,0,0,0,1,0,1,0,0,.290,.226,.516,.170
Apr 25,@ CLE,L 4-1,3,0,1,0,0,0,1,0,1,0,0,.303,.232,.535,.179
Apr 26,vs MIL,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.290,.220,.510,.169
Apr 27,vs MIL,W 3-2,4,0,1,0,0,0,1,0,0,0,0,.288,.222,.510,.175
Apr 28,vs MIL,W 3-0,4,0,0,0,0,0,0,0,1,0,0,.273,.209,.482,.164
Apr 29,vs MIL,W 2-0,3,1,0,0,0,0,0,0,0,0,0,.272,.200,.472,.157
Apr 30,vs COL,W 3-2,4,0,0,0,0,0,1,0,1,0,0,.259,.189,.448,.149
May 1,vs COL,L 3-1,4,1,1,0,0,1,1,0,0,0,0,.258,.231,.489,.154
May 2,vs COL,L 11-2,4,1,2,0,0,1,1,0,1,0,0,.269,.280,.549,.171
May 4,@ STL,L 3-2,4,0,1,0,0,0,0,0,0,0,0,.268,.279,.547,.174
May 5,@ STL,L 8-6,5,1,2,0,0,1,2,0,0,0,0,.275,.319,.594,.187
May 6,@ STL,L 4-3,5,0,0,0,0,0,1,0,0,0,0,.259,.302,.561,.177
May 7,vs MIA,W 14-2,Did not play
May 8,vs MIA,W 4-3,4,0,2,0,0,0,0,0,0,0,0,.268,.310,.578,.190
May 9,vs MIA,W 13-4,5,2,3,2,0,1,5,0,1,0,0,.282,.371,.653,.210
May 11,vs CHW,W 11-2,3,2,1,0,0,0,1,2,1,0,0,.295,.370,.665,.213
