DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ CHC,W 5-1,1.1,0,0,0,0,0,3,1,0,19,4,-,-,H(27),3.02
Jul 20,vs COL,L 11-10,0.2,3,6,6,1,3,2,1,2,30,8,-,L(2-2),BlSv(3),3.11
Jul 14,@ ATL,W 3-0,0.1,0,0,0,0,0,1,0,0,4,1,-,-,H(26),1.97
Jul 13,@ ATL,W 2-1,1.0,1,0,0,0,0,1,1,2,20,4,-,-,H(25),1.99
Jul 10,@ COL,W 5-3,0.2,3,1,1,1,0,0,2,3,29,5,-,-,H(24),2.03
Jul 8,vs SD,L 4-3,1.2,1,0,0,0,0,2,3,1,25,6,-,-,-,1.85
Jul 6,vs SD,W 3-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,H(23),1.93
Jul 3,vs STL,W 4-2,1.0,0,0,0,0,0,2,0,1,17,3,-,-,H(22),1.98
Jul 2,vs STL,L 6-3,1.0,0,0,0,0,0,0,2,1,8,3,-,-,-,2.03
Jun 27,@ MIA,W 2-1,1.0,0,0,0,0,0,2,1,0,14,3,-,-,H(21),2.08
Jun 26,@ MIA,W 5-3,1.0,1,1,0,0,1,3,2,0,25,6,-,-,H(20),2.13
Jun 23,@ PIT,W 7-2,0.1,0,0,0,0,0,0,1,0,2,1,-,-,-,2.19
Jun 22,@ PIT,W 2-1,1.0,0,0,0,0,0,0,2,1,10,3,-,-,-,2.21
Jun 18,@ LAA,W 7-4,1.1,1,0,0,0,0,0,2,2,23,4,-,-,Sv(3),2.27
Jun 17,vs NYM,L 5-3,1.0,1,0,0,0,0,0,2,2,22,4,-,-,H(19),2.36
Jun 14,vs NYM,W 6-3,1.0,1,1,1,1,1,0,1,2,15,4,-,-,H(18),2.43
Jun 11,vs PIT,W 9-5,1.0,2,0,0,0,1,0,3,2,24,6,-,W(2-1),-,2.23
Jun 10,@ COL,W 8-3,0.2,0,0,0,0,0,0,2,0,5,2,-,-,-,2.30
Jun 9,@ COL,W 12-7,1.0,0,0,0,0,0,0,2,1,8,3,-,-,-,2.35
Jun 6,@ SF,L 5-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,H(17),2.43
Jun 5,@ SF,W 3-2,1.0,1,0,0,0,1,1,2,1,21,5,-,-,H(16),2.51
Jun 3,vs MIA,W 6-1,1.0,1,0,0,0,1,1,0,3,16,5,-,-,H(15),2.60
Jun 2,vs MIA,W 6-2,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,2.70
May 29,vs CIN,W 5-2,1.0,0,0,0,0,0,1,0,2,20,3,-,-,H(14),2.73
May 27,@ OAK,L 2-1,0.1,0,0,0,0,0,1,0,0,7,1,-,-,-,2.84
May 23,@ MIL,L 9-2,1.0,1,1,1,1,0,2,1,1,15,4,-,-,-,2.88
May 19,@ NYM,L 5-4,1.0,3,2,2,1,0,1,3,2,26,6,-,-,BlSv(2),2.63
May 15,vs MIL,W 2-1,1.0,0,0,0,0,0,2,0,1,12,3,-,W(1-1),-,1.96
May 13,vs WSH,L 6-4,1.0,2,2,2,1,0,0,3,2,16,5,-,L(0-1),-,2.05
May 10,vs WSH,L 2-1,1.0,2,0,0,0,0,0,3,2,19,5,-,-,BlSv(1),1.29
May 8,@ LAD,W 8-5,1.0,1,0,0,0,0,0,2,2,17,4,-,-,H(13),1.35
May 6,vs HOU,W 3-1,1.0,0,0,0,0,1,0,2,1,16,4,-,-,H(12),1.42
May 5,vs HOU,W 4-3,1.1,0,0,0,0,0,0,3,1,11,4,-,-,H(11),1.50
May 1,vs LAD,W 4-3,1.0,0,0,0,0,0,1,0,2,16,3,-,-,H(10),1.62
Apr 30,vs LAD,W 8-5,0.1,1,0,0,0,0,0,1,1,15,2,-,-,H(9),1.72
Apr 28,@ WSH,W 4-3,1.0,0,0,0,0,0,1,1,1,6,3,-,-,-,1.76
Apr 27,@ WSH,W 5-4,1.0,0,0,0,0,0,1,2,0,11,3,-,-,H(8),1.88
Apr 22,vs SD,W 4-2,1.1,1,0,0,0,0,2,3,0,18,5,-,-,Sv(2),2.03
Apr 19,vs SF,W 3-1,1.0,0,0,0,0,0,3,0,0,15,3,-,-,H(7),2.25
Apr 18,vs SF,L 4-3,1.0,0,0,0,0,2,1,2,0,24,5,-,-,-,2.45
Apr 13,@ LAD,W 8-7,1.1,3,2,2,0,2,0,3,3,29,8,-,-,H(6),2.70
Apr 11,@ SF,W 7-3,1.0,0,0,0,0,0,0,2,1,12,3,-,-,-,1.04
Apr 9,@ SF,W 2-1,1.0,0,0,0,0,0,2,0,1,15,3,-,-,Sv(1),1.17
Apr 8,@ STL,W 4-1,1.0,1,0,0,0,0,1,1,2,16,4,-,-,H(5),1.35
Apr 5,@ STL,W 3-1,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(4),1.59
Apr 4,vs LAD,W 3-0,0.2,0,0,0,0,0,1,0,1,12,2,-,-,H(3),1.69
Apr 2,vs LAD,W 8-7,2.0,1,0,0,0,1,2,2,3,36,8,-,-,-,1.93
Mar 30,vs COL,W 9-8,1.0,2,1,1,0,0,1,1,3,15,5,-,-,H(2),3.38
Mar 29,vs COL,W 8-2,1.2,0,0,0,0,0,2,1,1,21,4,-,-,H(1),0.00
