DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs SF,L 1-0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,vs SF,L 1-0,Did not play
Mar 31,vs SF,W 5-0,2,1,0,0,0,0,0,1,1,0,0,.333,.000,.333,.000
Apr 1,vs SF,W 9-0,1,0,1,0,0,0,1,0,0,0,0,.500,.333,.833,.333
Apr 2,@ ARI,L 8-7,1,0,1,0,0,0,0,0,0,0,0,.600,.500,1.100,.500
Apr 3,@ ARI,L 6-1,3,1,1,1,0,0,0,0,0,0,0,.500,.571,1.071,.429
Apr 4,@ ARI,L 3-0,0,0,0,0,0,0,0,1,0,0,0,.556,.571,1.127,.429
Apr 7,@ SF,L 7-5,3,0,0,0,0,0,0,0,1,0,0,.417,.400,.817,.300
Apr 8,@ SF,W 2-1,2,0,0,0,0,0,0,0,0,0,0,.357,.333,.690,.250
Apr 10,vs OAK,W 4-0,3,0,1,0,0,0,0,1,1,0,0,.389,.333,.722,.267
Apr 11,vs OAK,L 16-6,1,0,0,0,0,0,0,0,1,0,0,.368,.313,.681,.250
Apr 13,vs ARI,L 8-7,1,0,0,0,0,0,0,0,0,0,0,.350,.294,.644,.235
Apr 14,vs ARI,L 9-1,1,0,0,0,0,0,0,0,0,0,0,.333,.278,.611,.222
Apr 15,vs ARI,W 7-2,2,1,1,0,0,0,0,2,1,0,0,.400,.300,.700,.250
Apr 16,@ SD,W 10-3,Did not play
Apr 17,@ SD,W 7-3,1,0,0,0,0,0,0,0,0,0,0,.385,.286,.671,.238
Apr 18,@ SD,W 13-4,1,0,0,0,0,0,0,0,0,0,0,.370,.273,.643,.227
Apr 20,vs WSH,L 5-2,2,1,1,0,0,0,0,0,1,0,0,.379,.292,.671,.250
Apr 21,vs WSH,W 4-0,Did not play
Apr 22,vs WSH,W 4-3,1,1,0,0,0,0,0,0,0,0,0,.387,.280,.667,.240
Apr 23,vs MIA,W 2-1,2,0,1,1,0,0,0,1,0,0,0,.412,.333,.745,.259
Apr 24,vs MIA,L 3-2,4,0,1,1,0,0,1,0,1,0,0,.395,.355,.750,.258
Apr 25,vs MIA,L 8-6,0,0,0,0,0,0,0,1,0,0,0,.410,.355,.765,.258
Apr 27,@ SF,L 6-4,3,0,0,0,0,0,0,2,1,1,0,.409,.324,.733,.235
Apr 28,@ SF,W 15-6,3,0,0,0,0,0,0,1,2,0,0,.420,.297,.717,.216
Apr 28,@ SF,L 8-3,1,0,0,0,0,0,0,0,0,0,0,.412,.289,.701,.211
Apr 29,@ SF,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.382,.262,.644,.190
Apr 30,@ ARI,L 8-5,0,1,0,0,0,0,0,0,0,0,0,.393,.262,.655,.190
May 1,@ ARI,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.386,.256,.642,.186
May 2,@ ARI,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.390,.250,.640,.182
May 3,@ ARI,W 5-2,2,2,1,0,0,1,1,2,0,0,0,.413,.326,.739,.196
May 4,@ SD,W 4-0,1,0,0,0,0,0,0,1,0,0,0,.415,.319,.734,.191
May 5,@ SD,L 7-4,Did not play
May 6,@ SD,L 3-0,4,0,1,0,0,0,0,0,1,0,0,.406,.314,.720,.196
May 8,vs ARI,L 8-5,1,0,0,0,0,0,0,0,1,0,0,.400,.308,.708,.192
May 9,vs ARI,W 6-3,3,2,1,0,0,0,0,1,2,0,0,.405,.309,.714,.200
