DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jun 5,@ NYM,W 2-1,3,0,1,0,0,0,0,0,1,0,0,.333,.333,.666,.333
Jun 6,@ NYM,W 1-0,Did not play
Jun 7,@ TOR,L 5-4,4,1,1,0,0,1,1,0,0,0,0,.286,.714,1.000,.286
Jun 8,@ TOR,L 5-1,2,0,0,0,0,0,0,0,1,0,0,.222,.556,.778,.222
Jun 9,@ TOR,L 4-3,Did not play
Jun 10,@ TOR,L 13-3,Did not play
Jun 11,vs BOS,L 2-0,Did not play
Jun 12,vs BOS,L 6-4,3,0,1,0,0,0,0,0,1,0,0,.250,.500,.750,.250
Jun 13,vs BOS,L 5-1,2,0,0,0,0,0,0,0,2,0,0,.214,.429,.643,.214
Jun 15,vs MIA,L 2-0,Did not play
Jun 16,vs MIA,L 5-4,4,1,1,0,0,0,0,0,2,0,0,.222,.389,.611,.222
Jun 17,vs MIA,W 10-4,4,1,1,0,0,0,0,0,2,0,0,.227,.364,.591,.227
Jun 19,@ WSH,L 9-7,Did not play
Jun 20,@ WSH,W 3-0,Did not play
Jun 21,@ WSH,L 4-2,Did not play
Jun 22,@ ATL,W 10-7,1,0,0,0,0,0,0,0,1,0,0,.217,.348,.565,.217
Jun 23,@ ATL,W 7-5,Did not play
Jun 24,@ ATL,L 7-3,3,1,0,0,0,0,0,0,0,0,0,.192,.308,.500,.192
Jun 25,vs SEA,L 5-3,Did not play
Jun 26,vs SEA,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.192,.308,.500,.192
Jul 13,vs TEX,L 5-4,Did not play
Jul 14,vs TEX,W 1-0,Did not play
Jul 15,vs TEX,W 6-5,Did not play
Jul 20,@ TOR,L 8-7,Did not play
Jul 21,@ TOR,L 4-1,2,0,0,0,0,0,0,1,0,0,0,.207,.286,.493,.179
Jul 22,@ TOR,L 5-4,Did not play
Jul 23,vs BOS,L 5-3,Did not play
Jul 24,vs BOS,W 7-6,Did not play
