DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs WSH,L 2-0,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
Mar 31,vs WSH,L 13-7,Did not play
Apr 1,vs WSH,L 6-5,5,1,1,1,0,0,1,0,2,0,0,.111,.222,.333,.111
Apr 2,vs CHC,W 1-0,3,0,0,0,0,0,0,1,0,0,0,.154,.167,.321,.083
Apr 5,@ PIT,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.118,.125,.243,.063
Apr 6,@ PIT,L 14-3,2,2,1,0,0,0,0,2,0,0,0,.238,.167,.405,.111
Apr 7,@ PIT,W 7-4,1,1,1,0,0,0,0,0,0,1,0,.273,.211,.484,.158
Apr 8,@ PIT,L 5-0,3,0,0,0,0,0,0,0,1,0,0,.240,.182,.422,.136
Apr 9,@ PHI,L 6-5,4,1,2,0,0,0,1,0,0,1,0,.276,.231,.507,.192
Apr 10,@ PHI,L 6-1,1,1,0,0,0,0,0,2,0,2,0,.313,.222,.535,.185
Apr 11,@ PHI,L 4-3,5,0,0,0,0,0,0,0,2,0,0,.270,.188,.458,.156
Apr 12,vs STL,L 13-4,4,2,1,0,0,0,0,1,1,0,0,.286,.194,.480,.167
Apr 13,vs STL,L 5-3,2,1,1,0,0,0,0,2,1,0,0,.326,.211,.537,.184
Apr 14,vs STL,L 6-1,4,0,0,0,0,0,0,0,3,0,0,.300,.190,.490,.167
Apr 15,vs STL,L 3-2,5,1,1,0,0,1,1,0,2,0,0,.291,.255,.546,.170
Apr 16,@ MIL,W 10-4,4,2,2,0,0,0,3,1,1,0,0,.317,.275,.592,.196
Apr 17,@ MIL,L 2-0,4,0,0,0,0,0,0,0,3,0,0,.297,.255,.552,.182
Apr 18,@ MIL,L 2-0,3,0,0,0,0,0,0,0,0,0,0,.284,.241,.525,.172
Apr 20,@ STL,L 4-2,3,1,1,0,0,0,0,0,1,0,0,.286,.246,.532,.180
Apr 21,@ STL,L 4-3,0,0,0,0,0,0,0,0,0,0,0,.286,.246,.532,.180
Apr 22,@ STL,L 9-2,3,0,0,0,0,0,0,0,1,0,0,.274,.234,.508,.172
Apr 23,vs ATL,W 10-4,3,2,1,0,0,0,0,1,2,1,0,.286,.239,.525,.179
Apr 24,vs ATL,W 9-7,5,0,1,0,0,0,1,0,1,0,0,.280,.236,.516,.181
Apr 25,vs ATL,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.277,.233,.510,.178
