DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs BOS,L 9-1,3.0,5,4,4,0,0,3,8,4,55,15,36,L(3-3),-,3.77
Jul 14,@ HOU,L 9-1,1.1,0,0,0,0,0,1,3,0,21,4,-,-,-,3.31
Jul 9,@ TB,L 10-9,1.1,2,1,1,0,1,2,2,2,33,7,-,L(3-2),-,3.40
Jul 7,vs TEX,W 7-2,2.0,2,0,0,0,0,3,4,1,35,8,-,-,-,3.31
Jul 2,@ TOR,W 3-2,1.0,0,0,0,0,0,1,2,0,8,3,-,-,Sv(1),3.44
Jul 1,@ TOR,W 9-1,1.0,1,0,0,0,0,0,0,4,16,4,-,-,-,3.51
Jun 26,vs OAK,L 9-7,4.0,6,6,3,2,3,4,6,9,95,22,33,-,-,3.59
Jun 20,@ CIN,L 5-3,0.1,2,0,0,0,1,0,1,2,12,4,-,-,-,3.30
Jun 17,@ CHW,W 3-1,5.1,6,1,1,1,0,3,8,10,77,21,55,W(3-1),-,3.32
Jun 12,vs MIN,L 6-4,6.0,3,2,2,0,1,5,11,4,85,21,62,-,-,3.55
Jun 6,@ BOS,L 7-1,6.0,8,5,5,1,0,2,13,9,92,25,38,L(2-1),-,3.66
Jun 1,vs TOR,W 5-2,6.0,3,2,2,0,4,3,8,8,88,23,57,W(2-0),-,2.77
May 27,vs CHW,W 3-2,7.0,3,1,1,0,1,6,9,9,85,25,72,W(1-0),-,2.70
May 21,@ MIN,L 4-2,5.0,7,2,2,0,0,4,1,16,77,21,49,-,-,3.46
May 17,@ SEA,W 3-2,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,3.38
May 13,vs SEA,W 5-4,4.1,8,2,2,1,1,3,2,16,79,23,41,-,-,3.52
May 9,@ TEX,L 5-4,2.0,0,0,0,0,2,2,1,2,25,7,-,-,-,2.70
May 8,@ TEX,W 7-4,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(2),6.75
May 5,@ KC,W 3-2,1.0,1,1,1,1,0,0,1,3,21,4,-,-,H(1),9.00
