DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TOR,W 6-1,4,0,1,0,0,0,0,0,2,0,0,.250,.250,.500,.250
Mar 30,@ TOR,W 4-2,3,0,2,1,0,0,2,1,0,0,0,.500,.571,1.071,.429
Mar 31,@ TOR,L 5-3,3,1,0,0,0,0,0,1,0,0,0,.417,.400,.817,.300
Apr 1,@ TOR,L 7-4,3,1,2,0,0,1,2,1,0,0,0,.500,.692,1.192,.385
Apr 3,vs TB,W 11-4,4,0,0,0,0,0,0,0,1,0,0,.400,.529,.929,.294
Apr 4,vs TB,W 7-2,3,0,0,0,0,0,0,1,2,0,0,.375,.450,.825,.250
Apr 5,vs BAL,L 5-2,1,0,0,0,0,0,0,0,1,0,0,.360,.429,.789,.238
Apr 6,vs BAL,L 7-3,2,0,0,0,0,0,0,0,0,0,0,.333,.391,.724,.217
Apr 7,vs BAL,W 8-3,Did not play
Apr 8,vs BAL,L 8-7,Did not play
Apr 10,@ BOS,L 14-1,Did not play
Apr 11,@ BOS,W 10-7,Did not play
Apr 12,@ BOS,L 6-3,Did not play
Apr 13,@ DET,W 8-6,Did not play
Apr 16,vs MIA,W 12-1,Did not play
Apr 17,vs MIA,L 9-1,Did not play
Apr 19,vs TOR,W 4-3,Did not play
Apr 20,vs TOR,L 8-5,Did not play
Apr 21,vs TOR,W 9-1,Did not play
Apr 22,vs TOR,W 5-1,Did not play
Apr 23,vs MIN,W 14-1,Did not play
Apr 24,vs MIN,W 8-3,Did not play
Apr 25,vs MIN,W 7-4,Did not play
Apr 26,vs MIN,W 4-3,Did not play
Apr 27,@ LAA,W 4-3,Did not play
Apr 28,@ LAA,W 11-1,Did not play
Apr 29,@ LAA,W 2-1,Did not play
Apr 30,@ HOU,L 2-1,Did not play
May 1,@ HOU,W 4-0,Did not play
May 2,@ HOU,W 4-0,Did not play
May 3,@ HOU,W 6-5,Did not play
May 4,vs CLE,W 7-6,Did not play
May 5,vs CLE,W 5-2,Did not play
May 6,vs CLE,W 7-4,Did not play
May 8,vs BOS,W 3-2,Did not play
May 9,vs BOS,W 9-6,Did not play
May 10,vs BOS,L 5-4,Did not play
May 11,vs OAK,L 10-5,Did not play
May 12,vs OAK,W 7-6,Did not play
May 13,vs OAK,W 6-2,Did not play
Jun 29,vs BOS,W 8-1,Did not play
Jun 30,vs BOS,L 11-0,3,0,0,0,0,0,0,0,3,0,0,.300,.346,.646,.192
Jul 1,vs BOS,W 11-1,1,0,1,0,0,0,0,0,0,0,0,.323,.370,.693,.222
Jul 2,vs ATL,L 5-3,Did not play
Jul 3,vs ATL,W 8-5,3,0,0,0,0,0,1,1,0,0,0,.314,.333,.647,.200
Jul 4,vs ATL,W 6-2,2,0,0,0,0,0,0,0,1,0,0,.297,.313,.610,.188
Jul 6,@ TOR,L 6-2,Did not play
Jul 7,@ TOR,W 8-5,5,0,1,1,0,0,2,0,1,0,0,.286,.324,.610,.189
Jul 8,@ TOR,W 2-1,4,0,1,0,0,0,0,0,0,0,0,.283,.317,.600,.195
Jul 9,@ BAL,L 5-4,4,0,0,0,0,0,0,0,1,0,0,.260,.289,.549,.178
Jul 9,@ BAL,W 10-2,Did not play
Jul 20,vs NYM,L 7-5,Did not play
Jul 21,vs NYM,W 7-6,4,0,1,0,0,0,0,0,0,0,0,.259,.286,.545,.184
Jul 23,@ TB,L 7-6,1,0,0,0,0,0,0,0,0,0,0,.255,.280,.535,.180
Jul 24,@ TB,W 4-0,1,0,0,0,0,0,0,0,0,0,0,.263,.275,.538,.176
