DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ BAL,W 5-3,1.0,2,2,2,1,0,1,1,3,18,5,-,-,-,2.89
Jul 22,@ DET,W 9-1,1.0,3,1,1,1,0,0,1,4,23,5,-,-,-,2.04
Jul 15,vs TOR,W 5-2,0.1,0,0,0,0,0,1,0,0,7,1,-,W(2-0),-,1.62
Jul 14,vs TOR,W 6-2,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,1.65
Jul 12,vs TOR,W 6-4,0.1,1,0,0,0,0,0,0,2,8,2,-,-,H(4),1.76
Jul 10,vs TEX,W 8-4,0.2,1,0,0,0,0,0,1,2,11,3,-,-,H(3),1.80
Jul 9,vs TEX,W 5-0,1.0,1,0,0,0,0,1,2,1,15,4,-,-,H(2),1.88
Jul 7,@ KC,W 15-4,0.1,0,0,0,0,0,0,1,0,5,1,-,-,-,2.03
Jul 6,@ KC,W 10-5,1.0,2,2,2,1,0,0,2,3,17,5,-,-,-,2.08
Jul 3,@ WSH,W 11-4,1.0,0,0,0,0,0,1,2,0,9,3,-,W(1-0),-,0.75
Jul 1,@ NYY,L 11-1,1.0,0,0,0,0,0,0,1,2,11,3,-,-,-,0.82
Jun 28,vs LAA,W 4-2,1.0,0,0,0,0,1,2,0,1,15,4,-,-,H(1),0.90
Jun 26,vs LAA,W 9-1,1.0,0,0,0,0,0,1,0,2,15,3,-,-,-,1.00
Jun 23,vs SEA,L 7-2,1.0,1,0,0,0,0,2,1,1,17,4,-,-,-,1.13
Jun 17,@ SEA,W 9-3,0.2,1,1,1,0,2,1,0,2,24,5,-,-,-,1.29
Jun 16,@ SEA,L 1-0,1.0,1,0,0,0,0,2,1,1,14,4,-,-,-,0.00
Jun 13,@ BAL,W 5-1,1.0,0,0,0,0,0,0,1,2,15,3,-,-,-,0.00
Jun 11,@ BAL,W 2-0,1.1,1,0,0,0,1,2,2,1,23,6,-,-,-,0.00
Jun 10,vs CHW,L 5-2,1.0,1,0,0,0,0,3,0,1,22,4,-,-,-,0.00
Jun 6,vs DET,W 7-1,1.0,0,0,0,0,0,0,0,3,11,3,-,-,-,0.00
Jun 5,vs DET,W 6-0,1.0,0,0,0,0,0,0,2,1,9,3,-,-,-,0.00
