DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ BAL,L 3-2,5,0,1,0,0,0,0,0,1,0,0,.200,.200,.400,.200
Mar 31,@ BAL,W 6-2,4,3,2,1,0,0,0,1,1,0,0,.400,.444,.844,.333
Apr 1,@ BAL,W 7-0,5,2,2,0,0,2,2,0,1,0,0,.400,.857,1.257,.357
Apr 2,@ PIT,L 5-4,5,1,1,0,0,1,1,0,0,0,0,.350,.842,1.192,.316
Apr 4,@ PIT,W 7-3,3,2,1,0,0,1,1,2,0,1,0,.400,.909,1.309,.318
Apr 5,vs SEA,W 4-2,4,0,1,0,0,0,0,0,1,0,0,.379,.808,1.187,.308
Apr 7,vs SEA,L 11-4,5,0,1,0,0,0,0,0,0,0,0,.353,.710,1.063,.290
Apr 9,vs HOU,L 2-0,4,0,1,0,0,0,0,0,1,0,0,.342,.657,.999,.286
Apr 10,vs HOU,W 4-1,1,1,1,0,0,0,0,4,0,0,0,.419,.667,1.086,.306
Apr 11,vs HOU,W 9-8,5,1,1,0,0,0,1,0,2,0,0,.396,.610,1.006,.293
Apr 12,vs CHW,W 4-0,4,2,1,1,0,0,1,0,0,0,0,.385,.600,.985,.289
Apr 17,vs CLE,L 6-1,5,0,2,1,0,0,1,0,1,0,0,.386,.600,.986,.300
Apr 18,vs CLE,W 2-1,7,0,1,0,0,0,0,0,2,1,0,.359,.544,.903,.281
Apr 20,@ TB,L 8-7,5,1,2,0,0,0,0,0,1,0,1,.362,.532,.894,.290
Apr 21,@ TB,L 10-1,4,1,2,1,0,0,0,0,1,0,0,.370,.545,.915,.303
Apr 22,@ TB,L 8-6,5,1,2,0,0,0,2,0,0,0,0,.372,.535,.907,.310
Apr 23,@ NYY,L 14-1,4,0,1,0,0,0,1,1,0,0,0,.373,.520,.893,.307
Apr 24,@ NYY,L 8-3,4,0,0,0,0,0,0,0,0,0,0,.356,.494,.850,.291
Apr 25,@ NYY,L 7-4,4,0,0,0,0,0,0,1,0,0,1,.348,.470,.818,.277
Apr 26,@ NYY,L 4-3,4,0,0,0,0,0,0,1,1,0,0,.340,.448,.788,.264
Apr 27,vs CIN,L 15-9,4,1,2,1,0,0,0,1,1,0,0,.353,.462,.815,.275
Apr 28,vs CIN,W 3-1,4,0,0,0,0,0,0,0,0,0,0,.340,.442,.782,.263
Apr 29,vs CIN,L 8-2,5,0,1,0,0,0,0,0,3,0,0,.333,.430,.763,.260
Apr 30,vs TOR,L 7-5,5,0,0,0,0,0,0,0,3,0,0,.319,.410,.729,.248
May 1,vs TOR,L 7-4,1,0,0,0,0,0,0,0,0,0,0,.316,.406,.722,.245
