DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs MIN,W 4-2,3.0,1,0,0,0,1,4,3,3,50,11,-,W(2-1),-,3.70
Jul 15,@ CHW,L 10-1,2.0,2,2,2,0,2,1,4,2,36,9,-,-,-,3.94
Jul 10,@ MIN,W 9-4,4.0,1,0,0,0,2,3,6,3,53,14,-,W(1-1),-,3.71
Jul 6,vs BOS,L 10-5,2.1,4,2,2,0,0,1,6,4,45,11,-,-,-,4.08
Jul 2,vs CLE,L 9-3,2.2,3,0,0,0,0,0,7,3,32,10,-,-,-,3.86
Jun 26,@ MIL,L 5-1,2.0,2,0,0,0,1,1,5,2,38,9,-,-,-,4.15
Jun 18,vs TEX,L 6-3,0.2,2,0,0,0,1,0,2,1,12,4,-,-,-,4.41
Jun 15,vs HOU,L 7-3,1.0,1,0,0,0,0,0,2,1,11,3,-,-,-,4.50
Jun 8,@ OAK,L 7-2,2.0,1,1,0,0,0,1,2,4,26,7,-,-,-,4.65
Jun 1,vs OAK,L 16-0,2.0,3,4,4,0,3,2,2,4,48,11,-,-,-,4.97
May 30,vs MIN,W 11-8,0.1,1,0,0,0,1,1,0,1,13,3,-,-,H(2),4.00
May 29,vs MIN,W 2-1,1.0,1,0,0,0,1,0,2,2,15,5,-,-,-,4.05
May 25,@ TEX,L 8-4,2.2,1,0,0,0,1,3,3,3,44,10,-,-,-,4.21
May 20,vs NYY,L 10-1,3.0,4,2,2,0,2,2,3,8,55,15,-,-,-,4.70
May 13,@ CLE,L 11-2,3.0,7,2,2,1,1,2,8,5,62,16,-,-,-,4.50
May 10,@ BAL,L 11-6,2.0,4,2,2,0,1,2,3,4,43,10,-,-,-,4.24
May 5,vs DET,L 3-2,0.1,0,0,0,0,1,0,0,1,6,2,-,-,-,3.60
May 1,@ BOS,W 7-6,0.2,1,0,0,0,0,0,1,2,8,3,-,-,Sv(1),3.68
Apr 29,vs CHW,W 5-4,1.2,2,2,2,0,2,0,3,3,42,9,-,-,BlSv(1),3.86
Apr 26,vs CHW,L 6-3,2.1,2,0,0,0,0,0,5,3,32,9,-,-,-,2.92
Apr 22,@ DET,W 8-5,2.0,2,0,0,0,0,1,3,3,28,7,-,-,H(1),3.60
Apr 18,@ TOR,L 15-5,0.2,0,0,0,0,0,1,0,1,6,2,-,-,-,4.50
Apr 17,@ TOR,L 5-4,0.1,2,1,1,0,1,0,1,2,16,5,-,L(0-1),-,4.91
Apr 14,vs LAA,L 5-3,2.1,1,1,0,0,1,1,2,6,37,10,-,-,-,3.86
Apr 10,vs SEA,L 8-3,2.1,2,0,0,0,0,1,3,4,24,8,-,-,-,5.79
Apr 9,vs SEA,W 10-0,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,11.57
Mar 29,vs CHW,L 14-7,1.1,4,3,3,1,0,0,3,4,17,7,-,-,-,20.25
